POA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
POA6262,8,0,0,7,0,0,0,7,0,22,0,0,0,0,0,0,3,0,0,5,9,3,23,7,7,0,5,5,0,67,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,3,11,46,22,23,20,13,5,9,21,3,168
POA6271,5,21,11,7,9,3,0,4,0,52,13,3,9,20,17,7,0,5,3,77,26,24,161,40,28,17,35,58,7,390,3,0,0,5,6,11,0,12,0,31,3,0,7,8,7,0,3,3,0,38,0,0,0,0,0,0,0,3,0,3,9,3,0,3,3,3,7,7,0,35,83,202,192,101,88,46,48,90,14,869
POA6275,7,4,3,4,4,0,0,3,0,32,3,3,0,5,0,4,0,0,0,26,23,7,41,14,8,4,11,7,0,115,4,0,0,0,3,0,0,3,0,12,3,0,0,3,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,5,6,0,0,3,0,0,0,0,0,6,70,62,47,38,24,25,15,26,5,299
POA6280,99,147,59,79,75,48,21,34,0,563,103,85,90,140,96,45,18,42,3,626,331,111,1328,435,291,196,285,313,53,3347,23,14,19,46,36,49,15,43,0,240,42,20,18,65,63,35,20,42,3,314,14,15,11,11,22,3,8,6,0,82,31,30,42,27,32,29,15,41,29,273,946,1532,1645,945,785,482,406,591,97,7429
POA6281,29,38,19,17,28,19,7,15,0,175,43,24,20,53,37,33,7,23,5,239,99,20,423,89,54,45,67,74,10,878,9,7,3,13,4,15,4,8,0,62,12,3,14,20,19,11,5,5,0,93,6,3,7,3,8,0,0,0,0,23,5,11,15,12,13,13,4,5,3,85,339,576,542,264,220,185,106,184,30,2442
POA6282,4,15,4,3,0,9,0,0,0,36,4,3,7,7,0,5,3,3,0,24,23,4,63,10,8,6,9,12,0,132,0,0,0,0,3,0,0,0,0,8,9,0,3,9,0,0,0,3,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,15,92,136,81,33,27,32,15,27,0,450
POA6284,21,16,4,11,5,7,3,3,0,64,11,5,5,8,7,3,3,6,0,40,41,6,115,24,24,4,17,39,5,275,4,3,3,0,3,5,3,8,0,28,7,0,3,4,0,3,0,3,0,24,0,0,0,0,0,0,0,3,0,8,8,0,7,0,6,4,0,8,3,35,137,165,158,61,73,37,27,85,9,752
POA6285,50,37,24,36,27,18,16,20,3,235,43,34,37,66,34,18,7,31,3,277,147,46,507,107,58,79,63,131,13,1155,6,0,13,18,6,8,8,9,0,74,7,6,20,23,18,14,3,10,3,110,3,6,3,3,0,6,3,11,0,39,14,6,11,23,11,17,11,8,16,118,451,718,664,364,235,235,134,329,46,3184
POA6286,5,3,0,0,0,0,0,0,0,17,3,3,3,3,4,0,3,3,0,18,12,7,27,3,4,3,4,6,0,72,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,3,8,46,59,37,24,20,10,3,26,3,224
POA6288,3,0,0,0,4,0,0,7,0,17,3,3,0,0,0,0,0,0,0,6,17,0,17,3,0,0,0,9,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,14,51,29,22,12,15,0,8,18,0,152
POA6290,6,9,3,3,3,3,0,3,0,28,0,0,0,11,0,5,0,0,0,18,22,3,62,28,4,15,9,28,3,176,0,0,0,4,3,3,0,8,0,21,0,0,6,0,6,3,0,3,0,19,0,0,0,0,0,3,0,0,0,0,0,0,4,3,4,7,0,3,3,25,49,49,79,54,33,39,17,46,7,366
