POA_CODE_2016,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4moSB_FHs_CF_no_C,FoA_4moSB_FHs_CF_C,FoA_4moSB_FHs_OnePF,FoA_4moSB_FHs_Oth_fam,FoA_4moSB_FHs_Tot,FoA_4moSB_Lone_P_H,FoA_4moSB_Group_H,FoA_4moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
POA6000,174,119,51,13,353,180,97,636,79,45,24,3,143,70,57,277,77,26,11,0,114,53,42,207,154,70,31,4,254,123,106,486,137,35,13,3,196,158,39,388,195,41,15,10,257,286,71,617,796,193,69,37,1100,1019,251,2372,0,0,0,0,0,0,0,0,1129,266,99,52,1550,1461,367,3379,3,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,11,8,4,0,0,11,3,0,10,12,4,0,0,12,12,3,32,13,3,0,0,20,23,7,44,1481,464,179,66,2196,1808,575,4571
POA6003,64,60,5,3,136,40,53,225,18,10,0,0,32,43,4,76,96,36,13,3,144,72,27,238,107,45,18,8,172,114,28,314,54,7,12,3,74,81,28,175,97,20,10,6,133,161,54,348,129,22,4,3,162,171,44,371,0,0,0,0,0,0,0,0,274,46,27,12,362,409,123,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,7,3,0,0,12,10,0,20,461,149,53,22,682,573,202,1456
POA6004,43,26,9,4,78,34,16,128,3,0,0,0,3,6,0,13,131,85,12,5,240,84,27,349,135,85,17,10,245,88,31,362,40,3,11,4,50,86,18,154,152,67,18,5,251,178,71,497,1245,326,104,69,1750,1287,331,3363,0,0,0,0,0,0,0,0,1442,401,137,79,2051,1551,413,4018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,11,0,0,0,0,4,4,0,13,0,0,0,0,0,5,3,7,1618,508,161,89,2377,1683,464,4525
POA6005,55,38,18,3,115,54,30,196,41,14,3,3,59,47,14,121,66,14,14,0,98,65,28,189,106,28,15,6,157,112,37,308,24,9,3,0,33,61,10,103,143,27,26,17,209,250,58,518,482,122,46,25,679,647,122,1442,0,0,0,0,0,0,0,0,651,158,72,38,919,952,190,2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,8,820,216,112,49,1193,1127,260,2581
POA6006,569,799,169,35,1570,494,193,2260,59,48,21,3,134,122,21,275,134,104,29,8,272,108,40,417,194,148,45,16,406,232,64,693,45,10,3,3,64,100,22,182,28,4,3,3,34,60,7,106,21,4,0,0,29,65,3,98,0,0,0,0,0,3,0,3,100,18,10,3,123,232,32,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,0,4,3,0,6,7,0,0,0,9,0,0,12,870,968,224,53,2113,962,281,3359
POA6007,400,457,110,20,988,291,140,1422,40,29,14,0,80,63,18,159,220,110,44,9,380,175,72,626,260,133,56,15,459,238,90,788,48,11,5,3,74,122,13,210,61,12,3,3,83,101,22,207,87,15,4,3,113,140,15,266,0,0,0,0,0,0,0,0,190,43,18,6,265,362,49,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,5,7,0,14,4,3,0,0,10,7,0,18,0,0,0,0,4,0,0,3,860,641,182,42,1728,904,280,2911
POA6008,818,1175,236,28,2248,576,135,2962,66,52,24,9,145,100,18,271,292,180,90,13,572,324,77,976,358,228,112,16,719,430,90,1242,109,51,32,3,200,269,39,507,156,40,24,3,226,357,38,618,190,66,31,13,307,404,46,758,0,0,0,0,0,0,0,0,453,158,92,24,730,1030,127,1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,3,3,0,7,7,4,0,0,9,7,0,18,1636,1568,437,71,3712,2045,358,6113
POA6009,1076,1888,284,59,3315,550,163,4021,66,69,31,7,167,135,23,326,134,99,34,13,274,168,113,555,194,166,66,13,441,302,133,879,93,71,29,12,202,203,93,496,67,29,7,6,111,138,56,307,134,30,11,0,178,92,24,288,0,0,0,0,0,0,0,0,289,128,47,23,493,436,169,1097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,9,1568,2188,402,95,4249,1293,472,6012
POA6010,1007,1633,325,46,3006,646,95,3750,154,101,47,11,315,269,24,607,188,193,70,7,461,187,28,670,348,294,119,15,778,459,52,1281,85,11,16,4,118,260,14,390,63,8,17,4,91,184,21,300,114,47,36,3,200,196,40,433,0,0,0,0,0,0,0,0,263,68,66,11,405,639,80,1122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,3,0,0,7,0,0,7,5,5,0,0,13,11,0,29,1622,2003,509,76,4202,1757,219,6182
POA6011,607,943,176,21,1755,392,68,2210,31,31,15,0,82,63,9,147,115,79,21,0,208,82,21,320,144,110,38,0,288,144,28,463,58,9,13,0,83,57,16,151,90,10,11,4,111,169,28,306,27,4,3,0,34,39,6,86,0,0,0,0,0,0,0,0,172,27,20,8,230,265,53,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,4,929,1084,236,35,2280,799,145,3227
