region_id,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6022,1563,1578,3141,63,68,131,17,15,32,14,14,28,12,11,23,11,11,22,452,421,873,0,5,5,3,7,10,0,0,0,0,0,0,509,484,993,113,110,223,6,5,11,691,667,1358,66,60,126,2320,2305,4625
POA6023,4701,4801,9502,222,245,467,68,51,119,48,50,98,30,31,61,14,11,25,1092,1163,2255,3,6,9,5,12,17,12,8,20,3,5,8,1275,1337,2612,549,501,1050,6,12,18,2052,2095,4147,195,187,382,6948,7083,14031
POA6024,4011,4175,8186,196,209,405,60,54,114,54,50,104,46,44,90,13,16,29,1073,1104,2177,4,4,8,14,17,31,9,3,12,0,0,0,1273,1292,2565,422,389,811,13,19,32,1904,1909,3813,237,226,463,6152,6310,12462
POA6025,8356,8539,16895,558,558,1116,122,105,227,103,98,201,101,88,189,30,35,65,2617,2721,5338,17,20,37,19,23,42,6,12,18,0,0,0,3015,3102,6117,1150,1204,2354,32,34,66,4755,4898,9653,705,558,1263,13816,13995,27811
POA6026,6909,7301,14210,319,326,645,62,58,120,51,50,101,58,60,118,11,13,24,1732,1910,3642,7,7,14,3,11,14,6,9,15,0,0,0,1930,2118,4048,709,747,1456,22,21,43,2980,3212,6192,404,418,822,10293,10931,21224
POA6027,11241,11603,22844,735,750,1485,165,171,336,128,138,266,144,147,291,35,36,71,3799,3958,7757,26,20,46,16,27,43,21,23,44,0,3,3,4334,4523,8857,2183,2169,4352,81,86,167,7333,7528,14861,1101,873,1974,19675,20004,39679
POA6028,5012,5110,10122,435,454,889,77,62,139,43,46,89,72,73,145,15,18,33,2058,2153,4211,0,4,4,15,17,32,7,18,25,0,0,0,2287,2391,4678,1334,1348,2682,26,21,47,4082,4214,8296,252,203,455,9346,9527,18873
POA6029,732,792,1524,70,74,144,12,7,19,16,12,28,18,11,29,4,5,9,208,232,440,0,0,0,0,3,3,0,0,0,0,0,0,258,270,528,82,68,150,3,0,3,413,412,825,84,70,154,1229,1274,2503
POA6030,6938,7179,14117,1151,1278,2429,206,222,428,120,118,238,139,158,297,62,54,116,4360,4782,9142,10,3,13,32,40,72,18,21,39,0,3,3,4947,5401,10348,2292,2309,4601,63,64,127,8453,9052,17505,1442,1335,2777,16833,17566,34399
POA6031,1944,2034,3978,210,240,450,38,34,72,38,34,72,41,40,81,9,7,16,1596,1769,3365,6,11,17,6,8,14,3,4,7,0,0,0,1737,1907,3644,799,812,1611,21,22,43,2767,2981,5748,265,228,493,4976,5243,10219
