POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6460,0,0,0,0,0,4,13,14,10,47,0,0,0,0,0,0,0,0,0,0,13,6,10,16,12,8,14,11,9,85,19,21,83,86,87,114,99,59,32,590
POA6461,0,0,0,0,0,0,6,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,6,8,4,0,33,12,19,51,70,70,76,69,29,10,410
POA6462,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,11,3,6,10,14,20,14,12,5,0,88
POA6463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,3,0,3,4,0,20
POA6465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,3,3,5,7,9,0,0,25
POA6466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,8,3,10,13,9,3,3,56
POA6467,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,7,0,0,26
POA6468,0,0,0,0,0,0,7,4,0,16,0,0,0,0,0,0,0,0,0,0,3,3,6,3,5,5,6,0,0,28,3,12,32,52,31,38,22,14,0,194
POA6470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,13
POA6472,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,3,0,0,9,5,4,20,27,36,19,19,3,3,133
POA6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,9,4,6,10,0,0,35
POA6475,0,0,0,0,0,3,7,7,3,25,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,4,3,3,0,33,5,11,38,52,49,85,45,24,7,314
POA6476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,9,12,10,4,0,0,45
POA6477,0,0,0,0,0,3,0,3,3,9,0,0,0,0,5,0,0,0,0,3,0,0,6,8,0,0,3,0,0,27,3,5,35,50,40,26,26,15,8,212
POA6479,0,0,0,0,0,0,12,9,4,26,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,6,10,5,0,42,11,18,83,68,62,82,58,35,13,431
POA6480,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,6,3,8,7,4,3,0,36
POA6484,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,5,0,0,0,23,0,0,20,20,26,20,5,4,0,94
POA6485,0,0,0,0,3,7,9,8,3,33,0,0,0,0,0,0,0,0,0,3,0,0,6,3,10,14,16,12,9,73,6,17,55,39,76,90,79,44,23,417
POA6487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,8,0,4,0,8,17,10,4,3,0,45
POA6488,0,0,0,0,0,3,5,7,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,0,3,3,27,4,4,21,21,35,27,24,12,3,159
POA6489,0,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,9,3,3,0,26,3,7,3,10,12,23,20,5,8,94
POA6490,0,0,0,0,0,3,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,3,0,17,4,20,19,24,31,48,22,17,8,198
POA6501,0,0,0,0,4,5,9,8,6,30,0,0,3,0,0,0,0,0,0,3,11,0,6,14,21,22,12,8,0,104,39,46,95,131,166,145,99,40,9,770
POA6502,0,0,0,0,8,5,5,10,7,35,0,0,0,0,0,0,0,0,0,3,3,3,10,13,12,15,23,7,0,90,25,53,95,125,155,177,163,86,15,891
POA6503,0,4,0,0,4,4,16,31,5,69,0,0,5,0,7,0,0,0,0,14,6,6,25,29,30,35,44,21,7,207,51,97,267,251,315,302,266,120,36,1713
POA6504,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,15,4,6,15,7,33,35,24,17,0,131
POA6505,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,13,12,17,25,16,10,0,98
POA6506,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,3,0,13,3,10,10,11,7,0,52
POA6507,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,8,7,3,0,6,4,46,8,28,61,76,77,88,60,28,12,438
POA6509,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,9,11,4,8,6,0,45,0,3,20,34,40,23,20,14,0,164
POA6510,0,0,0,8,0,12,27,18,15,87,0,0,0,0,0,0,0,3,0,4,8,8,18,24,41,39,29,19,7,190,45,119,216,226,276,274,209,111,41,1520
POA6511,0,0,0,0,0,0,11,20,0,35,0,0,0,0,0,0,0,0,0,0,3,3,15,10,10,6,10,10,0,64,6,19,75,52,70,87,90,47,6,451
POA6512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,3,6,16,20,12,9,4,0,74
POA6513,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,3,3,3,0,8,0,0,0,0,0,16,8,8,22,44,29,32,16,8,3,166
POA6514,0,0,0,0,0,4,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,8,9,16,7,3,0,52,10,20,42,53,88,161,124,39,5,548
POA6515,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,15,0,6,34,35,47,56,36,17,3,233
POA6516,0,0,0,5,5,13,23,31,8,89,0,0,0,0,0,0,0,0,0,0,3,3,18,15,20,42,33,20,3,162,36,52,173,207,242,311,260,125,28,1438
POA6517,0,0,0,0,0,3,4,6,0,15,0,0,0,0,0,0,0,0,0,0,0,6,0,0,14,9,0,3,3,40,4,26,49,44,58,86,34,23,3,325
POA6518,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,11,4,9,24,24,41,22,37,9,0,172
