POA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
POA6720,3,0,3,3,3,6,8,0,0,32,0,0,0,3,0,0,0,0,0,8,6,14,94,55,62,37,6,3,0,288,60,160,504,455,366,201,42,4,0,1793
POA6721,0,0,0,0,6,13,6,8,0,38,0,0,0,0,0,0,0,0,0,3,13,47,161,115,109,85,39,10,3,586,83,228,1047,859,674,435,134,37,4,3500
POA6722,8,3,13,23,34,44,39,17,3,174,0,0,3,3,7,12,21,16,6,65,77,110,380,304,266,162,48,24,10,1385,271,650,2205,1542,1364,799,235,70,31,7160
POA6725,5,8,20,35,36,66,59,38,11,279,0,3,0,9,9,5,7,5,0,47,81,86,291,268,217,207,105,36,14,1317,316,638,1979,1709,1419,1217,493,159,45,7966
POA6726,4,3,4,8,13,17,20,4,3,72,0,0,0,3,3,3,3,0,0,14,30,40,147,133,107,86,50,18,0,611,139,248,893,890,802,634,281,74,9,3967
POA6728,7,10,17,22,40,50,37,20,4,207,4,5,9,10,10,30,24,21,7,113,55,86,191,161,125,85,48,11,11,777,238,450,1027,825,728,636,256,81,24,4266
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,0,3,5,9,12,9,17,3,0,60,0,0,0,0,0,3,0,3,3,10,10,16,37,20,34,19,17,3,0,159,58,102,194,166,165,115,87,23,4,918
POA6743,14,8,22,28,39,47,42,20,3,211,3,7,23,6,13,19,20,10,0,102,42,72,156,119,129,94,42,15,5,676,223,447,1114,914,913,737,273,67,16,4703
POA6751,0,0,0,7,10,11,8,0,3,39,0,0,3,7,3,8,4,3,0,19,15,30,232,170,156,72,14,3,0,687,76,217,1285,1065,741,424,73,9,0,3893
POA6753,3,3,9,13,16,27,9,0,0,82,0,0,0,3,8,0,0,0,0,15,30,117,505,366,296,159,20,5,0,1497,123,473,1940,1476,1104,589,85,13,4,5801
POA6754,0,0,0,3,3,4,3,0,0,9,0,0,0,0,0,0,0,0,0,3,3,15,49,43,43,13,5,0,0,163,22,63,251,302,188,92,14,0,0,941
POA6758,0,0,3,0,4,8,4,0,0,19,0,0,0,0,0,0,0,0,0,6,3,15,90,62,58,27,5,0,0,261,19,110,571,417,341,178,25,0,0,1654
POA6760,0,0,0,3,0,4,4,4,0,20,0,0,0,0,4,4,5,0,0,15,3,12,31,16,15,15,6,0,0,99,18,45,136,86,77,70,43,10,3,486
POA6762,0,3,3,9,3,4,5,0,0,29,0,0,0,0,0,7,6,3,0,14,4,7,55,44,41,21,4,0,0,178,11,42,275,188,139,86,24,3,0,773
POA6765,5,3,8,11,20,11,12,3,0,79,0,0,3,3,3,8,9,9,11,48,26,21,53,37,45,23,10,3,0,223,94,145,347,227,221,147,71,20,9,1283
POA6770,17,16,25,24,31,48,25,3,3,192,3,3,3,3,6,17,17,16,0,65,72,66,166,127,86,52,31,17,3,616,173,244,532,392,310,272,111,38,4,2077
