region_id,Sme_Usl_ad_1_yr_ago_as_2011_M,Sme_Usl_ad_1_yr_ago_as_2011_F,Sme_Usl_ad_1_yr_ago_as_2011_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6000,2698,2146,4844,270,235,505,67,47,114,55,41,96,69,45,114,19,17,36,595,499,1094,9,0,9,7,4,11,6,3,9,0,0,0,827,656,1483,550,435,985,22,15,37,1669,1341,3010,829,477,1306,5196,3964,9160
POA6003,909,764,1673,68,72,140,11,13,24,21,10,31,10,14,24,3,4,7,210,168,378,0,0,0,7,0,7,3,0,3,0,0,0,265,209,474,135,130,265,9,3,12,477,414,891,206,153,359,1592,1331,2923
POA6004,2299,1904,4203,234,200,434,46,44,90,40,34,74,56,47,103,17,14,31,514,479,993,7,0,7,6,4,10,6,3,9,0,0,0,692,625,1317,449,388,837,5,7,12,1380,1220,2600,764,543,1307,4443,3667,8110
POA6005,1483,1298,2781,114,101,215,32,30,62,34,39,73,20,17,37,3,5,8,377,330,707,4,3,7,4,3,7,6,3,9,0,0,0,480,430,910,235,195,430,5,10,15,834,736,1570,433,341,774,2750,2375,5125
POA6006,3129,3242,6371,76,78,154,20,20,40,16,25,41,12,13,25,8,7,15,483,542,1025,0,0,0,4,4,8,3,3,6,0,0,0,546,614,1160,90,98,188,9,6,15,721,796,1517,303,227,530,4153,4265,8418
POA6007,2246,2466,4712,84,69,153,20,7,27,25,29,54,20,16,36,8,7,15,368,386,754,0,0,0,0,0,0,8,8,16,0,0,0,449,453,902,156,159,315,7,5,12,696,686,1382,295,258,553,3237,3410,6647
POA6008,4917,5181,10098,192,221,413,43,57,100,60,67,127,30,29,59,10,8,18,621,663,1284,6,4,10,6,6,12,3,5,8,0,0,0,779,839,1618,317,327,644,4,5,9,1292,1392,2684,461,436,897,6670,7009,13679
POA6009,6248,6605,12853,383,329,712,22,33,55,43,41,84,24,18,42,14,11,25,603,628,1231,4,5,9,3,4,7,3,6,9,0,0,0,716,746,1462,313,382,695,7,6,13,1419,1463,2882,350,358,708,8017,8426,16443
POA6010,5640,6321,11961,143,170,313,42,32,74,34,35,69,44,51,95,4,11,15,695,694,1389,3,3,6,15,6,21,8,5,13,0,0,0,845,837,1682,225,254,479,6,5,11,1219,1266,2485,563,344,907,7422,7931,15353
POA6011,3115,3375,6490,150,176,326,45,35,80,17,25,42,26,19,45,3,6,9,310,357,667,3,0,3,3,3,6,3,0,3,0,0,0,410,445,855,178,181,359,3,7,10,741,809,1550,400,406,806,4256,4590,8846
POA6012,3036,3555,6591,126,149,275,27,25,52,18,21,39,10,13,23,3,13,16,274,412,686,0,5,5,8,7,15,4,6,10,0,3,3,344,505,849,142,173,315,9,16,25,621,843,1464,238,217,455,3895,4615,8510
