POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6562,460,1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,3,0,0,5,11,0,3,463,1154,81,..,546,1154
POA6564,131,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,303,23,..,160,303
POA6566,1237,2776,12,16,3,4,17,20,0,3,0,0,0,3,0,0,3,5,12,14,10,20,0,0,0,0,24,36,7,17,1286,2858,305,..,1595,2858
POA6567,171,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,4,0,174,383,74,..,248,383
POA6568,91,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,215,35,..,127,215
POA6569,105,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,111,253,23,..,132,253
POA6571,32,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,71,14,..,46,71
POA6572,19,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,54,3,..,27,54
POA6574,24,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,28,67,6,..,38,67
POA6575,45,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,5,0,0,49,119,18,..,64,119
POA6603,431,1011,8,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,5,9,0,0,0,0,0,4,8,17,0,0,452,1039,124,..,575,1039
POA6605,14,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,6,..,28,40
POA6606,73,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,76,159,30,..,103,159
POA6608,50,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,127,15,..,65,127
POA6609,259,668,14,23,0,0,14,23,3,7,0,0,0,0,0,0,3,7,9,13,0,0,0,0,5,10,15,26,7,21,296,747,62,..,358,747
POA6612,62,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,61,150,22,..,86,150
POA6613,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,14,..,28,47
POA6614,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,7,..,15,18
POA6616,26,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,0,24,59,7,..,36,59
POA6620,113,273,4,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,3,3,5,0,0,120,287,34,..,149,287
POA6623,231,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,235,568,81,..,319,568
POA6625,16,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,43,7,..,22,43
POA6627,17,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65,8,..,29,65
POA6628,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,31,5,..,13,31
POA6630,182,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,3,4,10,12,24,6,21,205,504,80,..,285,504
POA6631,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,29,0,..,16,29
POA6632,17,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,63,6,..,27,63
POA6635,53,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,5,0,0,3,6,0,0,60,155,10,..,74,155
POA6638,127,308,5,10,0,0,5,10,0,0,0,0,0,0,0,0,0,0,6,7,0,3,0,0,3,5,6,15,5,8,143,340,110,..,261,340
POA6639,32,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,110,24,..,64,110
POA6640,61,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,3,7,11,4,20,67,139,50,..,114,139
POA6642,176,491,0,0,0,0,0,0,22,39,0,0,0,3,0,0,23,38,3,33,0,0,0,0,0,3,8,39,12,30,219,603,114,..,333,603
POA6646,87,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7,6,4,15,95,305,50,..,147,305
POA6701,1445,3881,144,225,5,6,145,225,39,73,0,0,0,0,0,0,46,73,155,279,13,28,18,37,0,3,189,339,25,48,1852,4575,372,..,2225,4575
POA6705,55,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,8,7,0,6,60,203,16,..,74,203
POA6707,803,2156,39,75,0,3,43,75,0,0,0,0,0,0,0,0,0,0,69,127,3,3,17,38,0,0,85,171,3,11,939,2422,318,..,1263,2422
POA6710,224,580,16,35,0,0,16,35,14,21,15,21,0,0,0,0,27,37,31,55,0,0,3,7,5,13,40,75,6,5,314,739,131,..,444,739
POA6711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA6712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,..,0,3
POA6713,302,964,0,9,0,0,0,9,12,24,6,5,0,0,0,0,15,34,4,7,0,0,0,0,0,0,3,7,3,3,330,1012,155,..,485,1012
POA6714,4110,12440,422,843,58,123,486,963,115,188,16,13,53,81,0,0,179,288,58,111,5,17,11,15,0,3,73,155,17,34,4865,13875,1683,..,6546,13875
POA6716,153,474,70,116,0,0,70,116,3,0,0,0,0,0,0,0,3,0,7,12,0,0,0,0,0,0,6,8,0,0,229,609,65,..,295,609
POA6718,136,479,53,186,0,0,53,186,6,5,0,0,0,0,0,0,6,5,5,12,0,0,0,0,3,4,15,22,8,27,212,724,86,..,297,724
POA6720,562,1847,173,329,0,0,173,329,4,12,0,0,0,0,0,0,4,12,16,35,0,0,0,0,3,3,16,44,10,13,764,2238,266,..,1034,2238
POA6721,923,2672,48,91,34,99,82,195,260,439,38,59,0,0,0,0,297,498,46,76,3,10,3,40,6,5,58,130,15,20,1369,3516,601,..,1972,3516
POA6722,2323,6796,149,342,104,285,255,624,166,318,0,4,42,84,0,0,213,411,33,59,3,7,4,7,0,0,38,74,22,41,2857,7938,1551,..,4406,7938
POA6725,2497,7647,188,369,111,253,306,617,197,380,5,5,0,5,3,3,200,396,199,358,0,3,37,61,22,68,259,485,87,162,3348,9312,515,..,3867,9312
POA6726,1385,4078,31,60,43,79,75,141,119,253,0,0,0,0,0,6,122,254,159,302,0,0,0,3,3,8,161,312,23,54,1769,4843,241,..,2003,4843
POA6728,1317,4565,181,360,7,8,188,370,10,17,0,0,0,0,0,0,10,17,43,81,7,11,24,45,9,24,77,162,6,25,1605,5141,526,..,2127,5141
POA6731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA6740,283,1004,20,56,0,0,20,56,7,16,0,0,0,0,0,0,7,16,11,15,0,4,3,3,0,6,13,34,18,46,348,1147,83,..,430,1147
POA6743,1309,4021,159,345,31,60,185,401,79,143,0,0,0,0,0,0,79,143,206,364,7,12,28,61,84,195,327,632,26,45,1923,5247,499,..,2422,5247
POA6751,886,2607,22,54,6,10,28,64,25,31,0,0,0,0,0,3,20,30,23,32,3,6,5,5,0,0,25,47,8,11,978,2761,328,..,1304,2761
POA6753,1213,3706,53,111,10,14,68,127,19,30,0,0,0,0,0,0,19,30,0,9,0,0,0,0,5,12,6,18,18,29,1322,3912,962,..,2281,3912
POA6754,362,1091,34,48,0,0,34,48,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,398,1148,238,..,637,1148
POA6758,34,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,139,6,..,39,139
POA6760,118,409,0,0,0,0,0,0,3,8,0,0,0,0,0,0,3,8,5,11,0,0,0,0,8,17,13,30,0,3,135,452,54,..,191,452
POA6762,52,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,258,16,..,69,258
POA6765,302,1168,11,32,5,22,13,50,73,160,0,0,0,0,0,0,73,160,14,29,0,0,13,41,5,10,31,77,4,8,426,1463,80,..,511,1463
POA6770,454,1720,86,199,15,23,102,225,18,46,0,0,0,0,0,0,19,49,13,24,0,0,14,25,13,31,34,85,5,23,615,2099,235,..,850,2099
