POA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
POA6023,4914,14055,242,425,15,34,262,460,6,12,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,7,0,7,3,5,5186,14537,386,..,5574,14537
POA6024,4562,11962,315,624,35,44,347,671,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,3,0,0,4919,12635,376,..,5292,12635
POA6025,9681,26461,782,1408,175,410,961,1821,103,152,4,12,0,0,0,0,113,158,0,0,0,0,0,0,0,0,5,3,17,23,10766,28470,1053,..,11814,28470
POA6026,6876,19656,683,1218,31,77,716,1296,76,102,0,0,0,0,3,3,81,107,9,12,82,105,3,6,3,10,92,129,3,9,7769,21198,488,..,8255,21198
POA6027,12537,34713,719,1322,672,1523,1395,2846,92,156,269,494,348,631,3,5,716,1284,0,3,3,8,0,3,13,36,19,47,29,57,14686,38950,1506,..,16189,38950
POA6028,6610,20518,318,634,52,158,369,792,59,103,93,155,0,0,0,3,152,268,0,0,55,71,0,0,3,8,60,80,11,25,7191,21676,550,..,7743,21676
POA6029,860,2385,61,104,55,103,121,207,0,0,5,12,0,0,0,0,5,12,0,0,0,0,0,0,0,3,0,3,3,7,990,2613,111,..,1101,2613
POA6030,11245,32684,1546,3050,263,557,1806,3607,13,17,35,70,8,16,0,0,53,102,0,3,4,9,0,0,0,0,3,15,11,24,13121,36430,1550,..,14673,36430
POA6031,4872,15070,317,667,17,29,339,702,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,10,3,12,0,6,5209,15790,345,..,5560,15790
POA6032,59,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,170,3,..,65,170
POA6033,125,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,391,10,..,135,391
POA6034,415,1140,152,359,0,0,152,359,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,566,1507,112,..,676,1507
POA6035,2805,7684,68,147,18,35,87,178,5,6,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,10,20,2910,7895,450,..,3357,7895
POA6036,4762,14035,149,296,9,5,157,306,49,72,0,0,0,0,0,0,49,72,0,0,0,0,0,0,0,3,0,3,7,21,4980,14436,419,..,5397,14436
POA6037,1017,2607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,29,0,0,10,32,3,17,1027,2658,156,..,1188,2658
POA6038,2033,5576,71,142,0,0,76,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,2110,5731,310,..,2422,5731
POA6041,534,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,5,0,3,5,9,3,7,538,1347,471,..,1010,1347
POA6042,29,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,29,53,47,..,80,53
POA6043,72,162,5,3,3,14,5,17,6,9,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,3,3,90,190,320,..,410,190
POA6044,426,916,26,54,0,6,27,57,0,6,0,0,0,0,0,0,3,5,3,5,0,0,14,40,0,0,19,42,9,25,487,1054,923,..,1410,1054
POA6050,3312,9199,598,997,543,1091,1140,2086,503,807,411,593,386,577,0,5,1306,1984,0,3,0,0,4,5,14,28,20,33,6,17,5776,13322,711,..,6488,13322
POA6051,1742,4325,614,1175,1334,2627,1948,3798,965,1627,454,727,514,881,3,3,1928,3236,0,0,0,0,0,0,3,6,0,4,18,37,5645,11406,1261,..,6909,11406
POA6052,3154,8253,425,844,201,433,622,1273,223,374,197,305,85,89,0,0,503,766,0,0,0,0,0,0,3,3,3,3,6,14,4295,10310,464,..,4760,10310
POA6053,4387,11126,910,1583,97,246,1012,1831,119,213,77,154,0,0,0,0,201,365,0,0,0,0,0,0,3,4,3,7,11,28,5612,13362,659,..,6264,13362
POA6054,6182,16031,1118,2123,187,413,1302,2537,207,328,31,45,34,46,0,0,272,419,0,0,0,3,0,0,4,5,4,6,16,33,7776,19029,836,..,8607,19029
POA6055,6036,16948,712,1669,34,78,746,1744,6,11,0,0,0,0,0,0,6,11,110,162,44,71,0,0,11,24,159,261,20,61,6980,19026,709,..,7685,19026
POA6056,11703,30666,1955,3634,401,866,2355,4503,118,174,171,303,24,35,0,0,311,519,51,77,12,12,0,11,17,43,86,143,44,93,14495,35927,1758,..,16249,35927
POA6057,5730,15186,150,295,5,6,155,297,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,3,4,9,13,5895,15514,464,..,6359,15514
POA6058,4137,10963,463,766,9,18,477,788,0,0,0,0,0,0,0,0,0,0,56,72,0,0,0,0,0,0,59,79,8,25,4674,11846,444,..,5122,11846
POA6059,6285,17288,2161,4133,171,429,2331,4569,292,422,35,43,0,0,0,0,320,468,0,3,3,3,0,0,4,8,5,17,11,30,8966,22364,928,..,9890,22364
POA6060,3354,8315,4233,7928,1130,2606,5358,10532,1377,2403,108,193,26,44,0,0,1516,2636,0,0,0,0,0,3,0,3,0,5,31,87,10268,21570,1549,..,11810,21570
POA6061,6948,19627,6238,14112,666,1541,6907,15658,189,348,0,0,0,0,3,3,194,352,0,0,0,0,0,0,0,9,0,9,51,124,14100,35767,1709,..,15809,35767
POA6062,9852,26497,1724,3778,204,435,1933,4214,40,60,0,6,0,0,0,0,43,67,0,5,0,0,0,0,6,12,5,13,33,88,11867,30886,1318,..,13180,30886
POA6063,4120,12835,320,685,18,27,333,709,37,41,3,0,0,0,0,0,37,43,0,0,0,0,0,0,0,7,0,7,5,16,4499,13609,332,..,4834,13609
POA6064,8812,26693,1254,2506,205,446,1459,2951,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,5,33,10287,29688,740,..,11024,29688
POA6065,17936,53994,1964,4302,131,397,2098,4701,14,22,0,0,0,0,0,4,13,26,61,77,74,94,0,0,4,19,137,192,20,36,20201,58949,1465,..,21664,58949
POA6066,5688,17360,297,563,38,67,330,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6022,17992,392,..,6414,17992
POA6067,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,..,0,3
POA6068,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,..,3,7
POA6069,10915,33361,1378,2879,164,344,1546,3220,21,47,92,175,0,0,0,0,107,224,0,0,0,0,3,3,0,0,7,15,14,35,12588,36848,1103,..,13690,36848
POA6070,1262,3411,10,25,0,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,1283,3451,101,..,1387,3451
POA6071,1175,3168,13,24,0,0,13,24,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,3,8,0,0,1198,3205,98,..,1295,3205
POA6072,276,757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,762,25,..,309,762
POA6073,1047,2677,83,108,0,0,83,108,0,0,0,0,0,0,0,0,0,0,14,15,0,0,0,0,0,0,14,15,6,13,1151,2815,103,..,1256,2815
POA6074,341,916,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,341,921,36,..,375,921
POA6076,7223,19293,338,490,32,56,375,549,44,54,0,0,0,0,0,0,50,61,3,6,0,0,9,19,27,90,37,119,26,63,7711,20084,633,..,8346,20084
POA6077,489,1353,5,7,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,494,1366,30,..,526,1366
POA6078,277,837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,281,837,26,..,311,837
POA6079,11,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27,0,..,14,27
POA6081,1537,4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,1546,4344,101,..,1645,4344
POA6082,1079,2995,4,14,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,10,0,0,1093,3017,115,..,1204,3017
POA6083,1137,3092,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,4,3,0,0,20,45,0,5,25,57,9,16,1177,3169,150,..,1324,3169
POA6084,2501,7159,0,11,0,0,0,11,0,4,0,0,0,0,0,0,3,4,3,4,0,0,28,70,0,0,32,77,14,27,2550,7275,259,..,2809,7275
POA6090,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,..,0,7
POA6100,2591,6453,729,1585,1041,2288,1778,3872,224,390,281,528,989,1827,0,0,1498,2747,0,0,0,0,0,0,4,6,4,6,13,32,5878,13113,1128,..,7008,13113
POA6101,4035,10150,1419,2971,154,345,1569,3318,426,872,243,427,51,79,0,0,724,1380,0,0,0,3,0,0,14,30,12,33,31,59,6367,14938,834,..,7203,14938
POA6102,2306,6089,1528,3599,366,938,1888,4543,306,468,86,137,207,261,0,0,595,866,0,0,0,0,0,0,0,3,0,3,35,85,4829,11583,905,..,5728,11583
POA6103,1821,4647,592,1189,394,971,991,2161,186,328,434,734,635,1099,0,0,1252,2159,0,0,0,0,0,0,0,4,0,4,12,23,4080,8989,652,..,4729,8989
POA6104,3976,10093,658,1270,390,863,1041,2131,102,187,11,17,46,82,0,0,159,281,3,10,3,12,0,0,4,19,13,35,20,53,5216,12591,765,..,5981,12591
POA6105,4051,10645,882,2114,273,617,1157,2732,137,204,11,18,0,0,0,3,149,224,0,0,0,0,0,0,5,8,5,8,17,40,5369,13642,676,..,6043,13642
POA6106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA6107,12025,34890,2007,5041,250,626,2260,5671,192,439,43,108,28,44,0,3,266,594,0,0,3,10,3,11,23,54,27,78,46,124,14616,41357,1813,..,16432,41357
POA6108,7285,20895,616,1206,29,40,647,1244,28,39,48,114,0,0,0,0,70,157,0,3,0,0,0,0,3,10,4,11,8,13,8014,22318,682,..,8699,22318
POA6109,3362,9761,457,895,24,52,480,949,96,221,30,42,0,0,0,0,122,268,102,142,0,0,0,5,61,173,167,314,15,43,4152,11330,400,..,4552,11330
POA6110,12147,35190,1335,2621,48,122,1386,2741,136,305,0,0,0,0,0,0,136,305,3,3,0,0,0,0,4,17,6,20,42,81,13713,38333,1313,..,15023,38333
POA6111,7429,19703,701,1423,13,33,717,1452,49,76,28,47,0,0,0,3,77,131,57,77,3,4,0,0,3,4,68,81,20,48,8306,21418,806,..,9108,21418
POA6112,16482,47611,2426,5090,58,139,2479,5228,106,216,36,65,0,0,0,0,140,283,3,4,0,0,0,0,11,39,19,45,30,79,19157,53245,2002,..,21159,53245
POA6121,892,2824,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,12,0,0,894,2844,62,..,958,2844
POA6122,5371,16086,76,144,0,3,78,147,15,16,0,0,0,0,0,0,15,16,0,0,0,0,3,11,0,3,3,10,14,44,5473,16300,527,..,6004,16300
POA6123,500,1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,503,1407,36,..,538,1407
POA6124,400,1072,4,9,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,4,9,0,3,408,1089,48,..,459,1089
POA6125,1015,2808,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,6,13,6,27,1038,2846,83,..,1112,2846
POA6126,94,231,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,235,17,..,116,235
POA6147,4619,12921,585,1166,77,163,664,1333,130,258,0,0,0,0,0,0,131,260,0,0,0,0,0,3,0,0,0,3,7,21,5426,14536,540,..,5961,14536
POA6148,5243,14622,1022,2097,33,94,1056,2182,41,103,0,0,0,0,0,3,42,105,0,8,0,0,0,0,0,3,3,9,3,8,6345,16934,673,..,7024,16934
POA6149,5632,16317,524,1028,19,45,541,1075,169,201,0,0,87,134,0,0,258,338,0,0,0,0,0,0,0,4,0,4,13,22,6445,17759,514,..,6960,17759
POA6150,3612,10917,430,763,62,164,491,925,0,0,49,77,0,0,0,0,49,77,0,0,0,3,0,0,0,0,0,3,7,29,4160,11943,336,..,4491,11943
POA6151,3027,8455,442,828,1766,3386,2211,4220,284,476,380,652,643,1111,0,0,1312,2236,0,0,0,0,0,0,0,5,0,5,17,32,6569,14947,1301,..,7866,14947
POA6152,5101,13754,2117,3908,1584,3363,3700,7275,566,1007,235,394,132,200,0,0,932,1601,0,3,0,0,0,0,3,9,6,10,45,104,9776,22741,1299,..,11076,22741
POA6153,5226,14079,949,1942,736,1916,1689,3858,186,315,100,159,162,310,0,0,449,781,0,3,0,0,0,0,3,8,3,15,25,70,7393,18805,1011,..,8406,18805
POA6154,2740,7586,792,1379,164,397,956,1774,40,44,3,3,0,0,0,0,40,47,0,3,0,0,0,0,0,3,0,6,4,11,3740,9422,366,..,4103,9422
POA6155,14095,45050,1055,2757,93,279,1149,3034,363,856,0,0,0,0,0,4,364,858,0,0,0,3,0,3,5,13,7,25,13,21,15624,48992,1088,..,16715,48992
POA6156,4740,12816,899,1675,371,884,1270,2559,111,145,58,87,0,0,0,0,176,226,0,3,0,0,0,0,0,0,0,6,17,54,6198,15666,688,..,6888,15666
POA6157,3308,8605,1794,3090,248,535,2045,3625,181,225,30,33,3,4,0,0,215,264,0,0,0,0,0,0,0,0,0,0,18,41,5581,12533,684,..,6261,12533
POA6158,1809,5168,203,390,320,638,528,1034,64,98,132,170,168,263,0,0,361,532,0,0,0,0,0,0,13,12,12,11,5,12,2712,6762,408,..,3123,6762
POA6159,438,1116,108,219,459,868,563,1089,35,67,65,139,245,454,0,0,350,655,0,0,0,0,0,0,0,0,0,0,3,3,1357,2867,258,..,1621,2867
POA6160,1415,3394,599,1150,633,1184,1234,2334,164,243,243,371,290,426,0,0,700,1036,0,0,0,0,0,0,10,13,10,13,24,46,3380,6820,697,..,4079,6820
POA6161,19,52,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,37,73,174,..,211,73
POA6162,3121,7806,497,915,314,690,819,1597,97,156,160,241,12,24,3,4,279,427,0,0,88,130,3,8,14,24,106,163,48,77,4370,10063,675,..,5047,10063
POA6163,14775,38143,2721,4960,591,1273,3309,6237,329,576,410,696,324,562,4,3,1063,1832,0,8,17,26,0,12,0,0,15,39,108,168,19273,46419,2298,..,21574,46419
POA6164,16248,48759,1428,3159,290,627,1718,3781,129,187,246,439,428,715,0,0,798,1342,0,4,0,7,0,3,3,8,6,13,26,57,18796,53953,1828,..,20628,53953
POA6165,21,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,69,0,..,27,69
POA6166,2988,8298,167,338,31,79,190,411,0,4,0,0,0,0,0,0,0,4,65,91,58,88,0,0,0,0,124,185,5,8,3304,8911,357,..,3661,8911
POA6167,7820,21347,450,854,113,232,564,1088,284,442,125,230,0,0,0,0,411,667,3,3,0,0,0,3,64,180,66,191,17,44,8879,23334,1020,..,9896,23334
POA6168,7194,17457,1055,1580,433,736,1486,2322,435,668,7,8,128,207,0,0,562,881,111,161,11,18,0,3,5,9,123,195,11,18,9372,20874,1630,..,11003,20874
POA6169,11681,30296,383,656,49,74,431,730,378,542,8,6,0,0,0,0,380,545,3,7,0,4,0,0,14,45,19,60,13,18,12529,31648,1896,..,14427,31648
POA6170,3802,11235,119,265,6,19,129,285,19,32,6,13,0,0,0,0,30,43,0,0,0,0,0,0,0,0,0,0,26,64,3983,11634,456,..,4442,11634
POA6171,9443,27707,398,760,24,62,430,825,0,0,0,0,0,0,0,0,0,0,36,55,4,14,3,14,5,9,46,90,29,80,9946,28700,874,..,10817,28700
POA6172,3960,11994,268,458,14,27,280,488,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4241,12483,398,..,4638,12483
POA6173,3475,11042,52,133,12,23,59,149,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,7,0,0,3543,11206,351,..,3890,11206
POA6174,1126,3187,102,243,0,0,102,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,1231,3431,280,..,1513,3431
POA6175,1162,3440,9,26,0,0,14,28,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1181,3468,200,..,1379,3468
POA6176,440,1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,441,1241,33,..,478,1241
POA6180,1742,4856,29,64,0,0,29,64,3,4,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,4,1778,4932,206,..,1983,4932
POA6181,143,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,471,0,..,144,471
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
POA6207,334,893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,13,24,0,0,12,29,0,0,346,925,43,..,392,925
POA6208,3940,9972,197,307,9,19,203,322,16,42,0,0,0,0,0,0,16,42,74,103,11,22,8,8,3,3,92,132,9,17,4270,10488,993,..,5257,10488
POA6209,532,1455,146,209,0,0,146,209,0,0,0,0,0,0,0,0,0,0,11,13,59,90,0,0,0,0,68,101,3,11,750,1773,119,..,868,1773
POA6210,20811,52552,2988,4937,935,1796,3928,6734,863,1254,141,264,218,414,0,3,1221,1937,108,161,27,50,11,17,6,24,155,248,57,112,26178,61575,7303,..,33485,61575
POA6211,2322,6102,77,110,18,34,97,152,0,0,0,0,25,51,0,0,30,57,31,42,30,38,0,0,0,0,60,80,8,22,2515,6407,954,..,3471,6407
POA6213,239,583,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,4,4,0,5,3,6,11,18,0,0,256,603,97,..,349,603
POA6214,219,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,564,24,..,241,564
POA6215,1323,3315,29,62,0,3,34,64,61,93,3,9,0,0,0,0,62,101,12,27,0,0,5,13,5,10,27,45,15,25,1452,3550,450,..,1905,3550
POA6218,142,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0,3,142,362,44,..,183,362
POA6220,1503,3908,94,180,10,24,103,200,15,27,0,0,0,0,0,0,15,27,3,7,0,0,3,5,3,3,10,13,14,25,1647,4174,330,..,1981,4174
POA6221,95,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,91,255,18,..,106,255
POA6223,67,178,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,72,187,13,..,84,187
POA6224,399,1025,14,25,0,0,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,7,10,14,425,1063,60,..,485,1063
POA6225,3222,7900,113,149,0,0,113,149,18,20,0,0,0,0,0,0,18,20,17,14,0,0,0,0,6,20,21,33,11,26,3389,8125,546,..,3933,8125
POA6226,238,713,7,14,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,35,254,763,24,..,278,763
POA6227,252,721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,723,35,..,289,723
POA6228,62,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,150,6,..,71,150
POA6229,38,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,34,13,20,0,0,0,0,37,58,4,3,80,157,3,..,84,157
POA6230,12632,32953,1883,3263,386,739,2268,4009,700,1003,82,150,37,66,0,0,827,1222,56,81,71,110,5,9,9,16,135,214,32,77,15900,38477,2491,..,18387,38477
POA6232,3472,9319,236,423,3,4,233,429,0,3,0,0,0,0,0,0,0,3,4,7,30,40,0,0,0,0,37,47,10,18,3751,9813,399,..,4158,9813
POA6233,5983,16470,229,413,3,8,235,419,40,73,0,0,0,0,0,0,40,73,59,89,10,16,0,0,0,0,73,107,12,25,6337,17097,817,..,7156,17097
POA6236,692,1859,5,17,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,6,4,9,708,1891,80,..,779,1891
POA6237,828,2259,4,11,0,0,4,11,5,14,0,0,0,0,0,0,5,14,3,7,0,8,0,9,3,7,9,27,4,7,849,2314,92,..,941,2314
POA6239,1471,3697,49,76,0,0,55,81,4,4,0,0,0,0,0,0,4,4,0,0,0,0,3,14,0,0,7,13,14,21,1546,3817,228,..,1773,3817
POA6240,46,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,106,11,..,57,106
POA6243,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,54,3,..,29,54
POA6244,551,1264,6,11,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,9,3,0,7,13,0,4,570,1285,164,..,729,1285
POA6251,142,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,147,335,30,..,174,335
POA6252,52,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,54,130,19,..,75,130
POA6253,247,514,4,6,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,7,19,8,8,263,541,119,..,383,541
POA6254,206,454,6,9,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,0,0,210,470,40,..,252,470
POA6255,1482,3404,41,51,0,0,41,51,12,13,0,0,0,0,0,0,12,13,3,13,3,3,0,0,0,6,13,17,6,9,1554,3494,319,..,1875,3494
POA6256,139,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,139,350,34,..,174,350
POA6258,2247,5546,97,147,0,0,98,147,101,143,0,0,0,0,0,0,101,143,6,13,0,0,0,0,0,3,11,18,7,13,2467,5870,489,..,2955,5870
POA6260,491,1187,14,24,0,0,14,24,3,3,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,10,3,6,522,1230,164,..,683,1230
POA6262,269,611,5,4,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,6,3,4,8,19,0,0,10,25,4,3,292,646,311,..,601,646
POA6271,1127,2845,43,62,0,0,43,62,7,12,0,0,0,0,0,3,6,14,0,0,0,0,0,0,0,0,0,0,5,13,1181,2937,238,..,1425,2937
POA6275,498,1104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,9,3,4,8,20,20,38,0,5,523,1149,229,..,753,1149
POA6280,8636,22417,910,1476,93,188,1004,1668,25,39,0,0,0,0,6,5,33,47,71,128,277,431,13,30,12,30,372,621,32,84,10078,24839,2354,..,12434,24839
POA6281,2247,5863,57,95,53,124,109,215,5,5,0,3,0,0,0,0,3,12,20,24,35,48,10,20,4,0,60,88,14,36,2436,6219,1853,..,4289,6219
POA6282,436,1097,8,5,0,3,8,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,5,10,3,3,448,1116,515,..,964,1116
POA6284,690,1841,6,18,0,3,8,20,0,4,0,0,0,0,0,0,0,4,10,16,0,0,3,0,3,6,11,20,11,16,720,1903,264,..,987,1903
POA6285,2955,7653,111,212,28,45,145,255,12,20,0,0,0,0,0,0,12,20,20,40,12,39,3,7,5,15,49,98,20,46,3171,8066,940,..,4117,8066
POA6286,206,482,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,9,7,10,21,231,516,113,..,345,516
POA6288,185,450,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,3,6,5,26,190,482,81,..,272,482
POA6290,624,1269,12,24,0,0,12,24,47,60,0,0,0,0,0,0,47,60,33,46,3,0,4,9,0,0,36,56,6,23,732,1425,672,..,1403,1425
POA6302,1293,2956,38,54,5,4,42,62,28,41,0,0,0,0,0,0,28,41,6,15,0,0,0,0,0,0,6,13,23,69,1399,3136,361,..,1757,3136
POA6304,638,1418,3,3,0,0,3,3,14,20,0,0,0,0,0,0,14,20,0,3,0,0,0,0,0,0,3,7,8,15,661,1457,172,..,832,1457
POA6306,355,832,7,11,0,0,7,11,11,22,0,0,0,0,0,0,11,22,8,9,0,0,0,0,0,0,8,9,0,9,386,879,103,..,495,879
POA6308,579,1315,3,0,0,0,3,0,22,23,0,0,0,0,0,0,22,23,0,0,0,0,0,0,3,5,3,5,12,26,614,1379,146,..,760,1379
POA6309,93,200,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,210,23,..,125,210
POA6311,204,478,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,4,3,211,489,32,..,247,489
POA6312,1547,3836,96,191,0,0,96,191,17,25,0,0,0,0,0,0,17,25,8,11,0,0,0,0,49,64,59,81,8,9,1729,4140,267,..,1995,4140
