region_id,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
POA6221,3,0,0,0,0,3,3,4,0,13,0,0,3,0,0,0,0,0,0,3,5,0,9,0,3,0,8,6,0,31,8,5,5,0,3,3,3,4,0,31,10,0,0,0,0,3,4,5,0,22,9,0,0,0,3,0,0,4,0,16,3,0,0,0,3,0,0,0,0,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,41,5,17,0,12,9,18,23,0,125,0,0,0,3,0,3,0,0,0,6,3,3,0,0,0,0,0,3,0,9,0,3,0,0,4,3,0,0,0,10,7,3,0,3,5,0,3,8,0,29,7,5,0,3,4,0,0,0,0,19,3,3,5,0,3,3,0,0,0,17,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,5,9,19,9,3,11,0,96
POA6224,0,0,5,0,0,0,0,11,0,16,0,0,8,0,0,0,5,5,3,21,7,0,13,0,3,0,12,10,0,45,5,3,17,3,3,3,17,9,3,63,17,3,24,0,0,3,25,10,0,82,8,3,11,0,0,0,13,5,0,40,4,3,3,0,0,3,0,3,0,16,0,3,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,41,15,81,3,6,9,72,53,9,289,0,0,0,4,0,8,0,5,0,17,3,0,3,0,8,3,0,4,0,21,0,6,4,6,5,4,3,5,0,33,5,9,4,12,8,7,0,9,3,57,5,11,3,8,17,5,0,7,3,59,7,6,0,6,6,3,3,3,0,34,3,0,0,3,3,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,14,39,47,33,6,33,6,233
POA6225,3,0,91,3,0,24,5,58,3,187,4,10,131,5,0,5,13,43,0,211,11,32,231,6,7,0,86,104,12,489,43,31,226,16,11,0,123,82,15,547,32,36,214,11,15,10,214,85,16,633,27,27,110,13,18,9,150,47,16,417,10,9,20,4,0,0,12,8,0,63,3,0,0,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,3,136,145,1023,58,51,48,606,427,62,2556,0,0,14,21,20,74,0,21,4,154,4,6,12,22,36,27,0,27,0,134,19,41,19,38,46,32,10,41,5,251,30,56,28,72,77,47,9,75,8,402,31,57,29,67,76,40,19,83,5,407,14,29,10,47,42,17,7,47,4,217,7,10,0,8,0,5,3,3,3,39,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,108,199,112,275,297,242,48,297,29,1607
POA6226,0,0,8,0,0,3,0,4,0,15,0,0,6,3,0,0,3,4,0,16,0,3,14,0,0,0,3,3,0,23,8,3,20,0,0,5,9,0,0,45,13,13,11,0,0,6,8,4,0,55,11,0,7,0,0,0,7,6,0,31,3,0,0,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,19,66,3,0,14,33,21,0,194,0,0,4,4,3,4,0,0,0,15,0,0,0,4,5,0,0,0,0,9,0,3,0,3,7,3,0,3,0,19,8,8,3,3,7,5,0,3,0,37,3,11,4,3,11,0,5,10,0,47,4,7,0,3,5,0,0,3,0,22,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,11,20,38,12,5,19,0,152
POA6227,0,0,0,0,0,0,0,3,3,6,0,0,4,0,0,3,3,0,0,10,3,3,17,0,0,3,5,8,0,39,9,6,12,0,0,0,8,5,0,40,0,3,5,0,0,0,9,4,0,21,3,3,3,0,3,0,0,0,0,12,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,21,41,0,3,6,25,20,3,134,0,0,0,6,0,8,0,0,0,14,3,0,3,3,0,0,0,3,0,12,4,3,0,3,8,0,3,3,0,24,3,6,3,7,7,5,0,3,0,34,4,3,0,0,5,3,0,3,0,18,0,3,0,0,4,3,0,4,0,14,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,15,6,19,24,19,3,19,0,119
POA6229,0,0,5,0,0,0,3,3,0,11,0,0,0,0,0,0,0,3,0,3,4,0,13,0,0,0,6,3,0,26,10,5,9,0,0,0,6,3,3,36,13,0,0,0,0,3,12,6,0,34,8,0,5,0,0,0,8,4,0,25,3,3,0,3,0,0,3,0,0,12,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,38,11,32,3,0,3,38,22,3,150,3,0,0,3,0,0,0,3,0,9,0,0,0,0,3,0,0,3,0,6,0,3,0,3,4,3,4,3,0,20,4,5,0,0,10,0,0,3,0,22,6,0,0,0,8,3,0,0,0,17,7,4,0,0,4,3,0,0,0,18,4,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,0,6,32,9,4,12,0,99
POA6230,10,12,229,37,3,128,32,198,11,660,35,62,471,22,18,67,124,228,7,1034,179,298,811,66,69,101,301,348,20,2193,323,322,702,74,98,95,404,279,32,2329,373,388,605,78,104,87,421,232,40,2328,247,261,378,52,84,69,290,178,26,1585,40,58,62,11,15,28,40,47,11,312,4,10,4,0,3,3,0,4,4,32,0,0,0,0,0,0,0,0,0,0,1211,1411,3262,340,394,578,1612,1514,151,10473,11,7,50,135,99,340,5,71,5,723,52,101,66,158,180,160,26,84,7,834,118,409,121,218,366,172,37,163,17,1621,148,466,104,292,479,240,41,185,20,1975,164,445,85,343,550,219,27,241,26,2100,111,260,56,194,293,139,15,140,12,1220,11,34,4,22,33,15,3,15,3,140,5,4,0,5,4,3,0,0,0,21,0,7,0,0,0,0,0,0,0,7,620,1733,486,1367,2004,1288,154,899,90,8641
POA6232,0,0,84,6,4,45,5,48,3,195,6,7,129,7,8,19,24,55,3,258,58,38,243,12,14,19,117,92,12,605,62,60,179,12,27,19,104,72,10,545,69,49,171,17,20,21,120,60,7,534,45,36,92,13,22,13,77,38,3,339,4,4,9,0,5,5,10,7,0,44,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,244,194,907,67,100,141,457,375,41,2526,4,0,16,28,25,75,3,14,4,169,14,18,31,39,66,44,11,19,4,246,32,77,22,70,127,50,14,32,5,429,43,88,34,75,114,70,12,53,5,494,26,64,20,92,108,71,13,67,0,461,11,30,14,37,62,35,3,37,3,232,0,3,0,4,6,3,3,3,0,22,0,3,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,130,283,137,345,508,348,59,228,24,2062
POA6233,5,7,99,11,4,57,24,71,3,281,15,12,152,10,7,20,38,73,0,327,50,64,320,14,21,28,149,172,14,832,131,128,327,37,38,26,183,113,21,1004,161,135,307,33,48,23,201,87,15,1010,111,87,167,17,40,24,128,56,3,633,21,19,11,4,6,11,18,10,4,104,3,3,0,0,0,0,0,3,4,13,0,0,0,0,0,0,0,0,0,0,497,455,1383,126,164,189,741,585,64,4204,3,0,20,47,31,139,3,25,0,268,11,29,27,52,68,38,10,23,4,262,39,135,35,70,153,66,20,76,12,606,68,179,64,141,210,90,22,73,7,854,81,176,42,145,240,121,19,85,7,916,43,94,16,80,130,47,8,61,3,482,4,8,3,5,11,8,0,9,0,48,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,249,621,207,540,843,509,82,352,36,3439
POA6236,0,0,19,0,0,11,0,8,0,38,0,0,17,0,0,4,3,4,4,32,4,3,19,3,3,3,5,10,0,50,34,17,36,0,4,3,26,14,0,134,39,23,28,8,5,3,33,19,0,158,35,14,23,3,5,4,20,4,3,111,16,0,10,0,0,3,4,0,0,33,3,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,131,57,152,14,17,31,94,59,7,562,0,0,4,10,0,12,0,8,0,34,3,3,0,7,3,3,0,3,0,22,6,9,4,3,13,4,0,3,0,42,11,20,9,15,28,16,6,7,0,112,19,31,14,17,34,16,5,11,0,147,19,20,4,10,13,7,0,6,0,79,5,3,0,0,0,0,3,3,0,14,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,66,86,35,62,91,58,14,41,0,453
