POA_CODE_2016,Sme_Usl_ad_1_yr_ago_as_2016_M,Sme_Usl_ad_1_yr_ago_as_2016_F,Sme_Usl_ad_1_yr_ago_as_2016_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA6000,3064,2635,5696,398,376,776,61,34,95,34,27,69,35,37,73,10,11,29,865,769,1634,6,3,12,4,4,12,9,4,6,0,0,0,1032,891,1921,466,508,976,22,21,44,1919,1792,3711,1043,849,1887,6018,5280,11301
POA6003,910,836,1746,97,103,196,7,6,13,12,14,25,14,11,19,4,0,3,264,251,520,0,0,3,0,0,0,3,0,3,0,0,0,306,289,596,110,114,219,8,3,14,517,511,1022,382,332,711,1806,1673,3482
POA6004,2865,2558,5419,421,363,787,46,46,85,38,32,68,36,41,78,15,11,28,699,669,1373,7,7,9,11,4,14,0,0,0,0,0,0,853,812,1658,474,494,968,15,12,29,1762,1679,3447,878,746,1624,5502,4987,10487
POA6005,1496,1439,2934,179,158,340,19,14,34,15,23,41,22,28,48,6,0,6,431,386,815,0,3,6,5,6,12,0,3,4,0,0,0,500,458,961,221,215,430,17,12,28,913,841,1755,481,404,885,2891,2689,5575
POA6006,3208,3287,6493,96,107,200,7,20,27,9,11,21,7,4,9,4,7,7,491,528,1021,0,0,0,6,5,12,0,0,0,0,0,0,530,572,1099,74,73,153,20,10,25,713,762,1481,353,332,681,4269,4379,8650
POA6007,2341,2434,4772,113,119,227,11,19,26,16,21,29,11,10,21,7,3,10,480,526,1011,0,0,0,3,4,3,0,0,0,0,0,0,526,581,1106,98,111,206,6,10,16,743,814,1551,355,364,714,3433,3608,7041
POA6008,5188,5424,10612,278,305,581,39,46,81,36,52,84,14,13,23,5,12,21,743,823,1558,0,4,3,9,10,16,0,0,3,0,0,0,843,948,1791,234,265,496,25,23,42,1380,1536,2918,691,731,1420,7257,7699,14955
POA6009,6572,6816,13388,492,443,934,40,34,73,31,42,76,43,28,70,12,16,27,817,771,1587,6,3,9,3,0,4,4,3,9,0,0,0,962,894,1861,495,512,1009,8,15,19,1956,1869,3820,611,590,1198,9134,9278,18413
POA6010,6127,6448,12575,174,190,362,29,25,57,26,26,46,21,23,41,8,3,14,841,860,1697,0,3,3,9,13,21,3,5,6,0,0,0,938,961,1901,195,186,379,13,13,27,1318,1348,2666,687,768,1459,8139,8562,16698
POA6011,3195,3446,6642,117,135,251,28,33,61,28,29,62,13,8,23,6,3,7,407,472,874,0,0,0,3,0,3,0,4,6,0,0,0,486,549,1035,98,132,228,7,10,20,709,824,1537,379,378,754,4282,4650,8932
POA6012,2911,3421,6331,155,188,346,19,23,43,17,15,31,10,8,20,3,0,4,343,412,756,0,0,0,5,3,10,0,0,0,0,0,0,398,470,865,132,140,268,0,6,12,689,805,1496,421,443,864,4019,4669,8691
