POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6438,..,75,75,51,5,58,24,0,25,14,0,14,6,0,6,15,0,15,111,82,190
POA6440,..,56,56,50,3,53,17,0,17,19,0,19,11,0,11,17,0,17,116,63,175
POA6442,..,214,214,240,13,260,150,0,146,128,0,128,68,0,68,30,0,30,611,232,846
POA6443,..,154,154,92,5,97,28,0,27,11,0,16,10,0,10,7,0,7,148,160,307
POA6445,..,11,11,13,0,16,5,0,5,12,0,12,6,0,6,4,0,4,43,15,58
POA6446,..,7,7,13,0,18,4,0,4,7,0,7,3,0,3,5,0,5,28,8,39
POA6447,..,12,12,22,0,22,8,0,8,8,0,8,3,0,3,0,0,0,41,12,50
POA6448,..,21,21,40,4,44,12,0,12,17,0,17,20,0,20,3,0,3,89,28,113
POA6450,..,1237,1237,1546,108,1652,638,9,650,633,4,637,281,0,287,141,0,141,3245,1359,4601
POA6452,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6460,..,104,104,98,6,102,37,0,37,32,0,32,12,0,12,8,0,8,182,107,293
POA6461,..,63,63,77,3,78,25,0,25,19,0,19,15,0,15,3,0,3,146,66,211
POA6462,..,13,13,14,0,18,3,0,3,7,0,7,7,0,7,3,0,3,35,11,45
POA6463,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
POA6465,..,5,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,5,13
POA6466,..,8,8,16,0,16,0,0,0,3,0,3,0,0,0,0,0,0,20,8,26
POA6467,..,4,4,10,0,10,3,0,3,0,0,0,0,0,0,0,0,0,13,4,11
POA6468,..,26,26,27,0,26,7,0,7,11,0,11,8,0,8,0,0,0,55,22,80
POA6470,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
POA6472,..,17,17,20,0,20,9,0,11,11,0,11,5,0,5,0,0,0,49,15,66
POA6473,..,0,0,7,0,8,4,0,4,4,0,4,0,0,0,0,0,0,13,0,13
POA6475,..,48,48,65,3,63,17,0,18,13,0,13,11,0,11,3,0,3,115,56,162
POA6476,..,3,3,12,0,15,3,0,3,0,0,0,0,0,0,0,0,0,14,4,21
POA6477,..,37,37,36,3,37,14,0,14,14,0,14,8,0,8,3,0,3,64,38,107
POA6479,..,52,52,88,0,87,21,0,21,27,0,27,11,0,11,5,0,5,154,49,202
POA6480,..,4,4,5,0,4,0,0,0,0,0,0,3,0,3,0,0,0,13,3,12
POA6484,..,9,9,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,7,14
POA6485,..,91,91,60,9,64,17,0,20,15,0,15,11,0,11,0,0,0,105,97,203
POA6487,..,9,9,11,0,11,0,0,0,3,0,3,0,0,0,0,0,0,14,9,16
POA6488,..,29,29,32,0,34,7,0,7,4,0,4,7,0,7,4,0,4,47,35,79
POA6489,..,13,13,14,0,14,4,0,4,3,0,3,0,0,0,0,0,0,24,14,37
POA6490,..,27,27,30,0,36,10,0,10,14,0,14,10,0,10,3,0,3,66,32,97
POA6501,..,54,54,110,8,115,47,0,47,53,0,52,22,0,22,22,0,22,253,67,316
POA6502,..,84,84,184,12,198,51,0,51,47,0,47,19,0,19,12,0,12,321,100,419
POA6503,..,172,172,259,18,275,86,6,91,104,4,105,58,0,58,35,3,36,550,192,744
POA6504,..,10,10,23,4,30,8,0,8,8,0,8,3,0,3,0,0,0,48,14,59
POA6505,..,15,15,15,0,15,5,0,5,12,0,12,0,0,0,0,0,0,35,15,49
POA6506,..,8,8,6,3,8,6,0,6,0,0,0,0,0,0,0,0,0,15,10,21
POA6507,..,42,42,83,4,87,21,0,21,25,0,25,9,0,9,4,0,4,138,40,184
POA6509,..,18,18,15,0,15,6,0,6,15,0,15,5,0,5,0,0,0,40,16,53
POA6510,..,209,209,232,18,253,93,4,96,89,0,90,46,0,46,23,0,23,483,234,718
POA6511,..,63,63,84,6,90,20,0,18,25,0,23,3,3,6,0,0,0,135,70,206
POA6512,..,8,8,12,0,12,3,0,3,3,0,3,4,0,4,0,0,0,26,15,36
POA6513,..,18,18,22,0,22,10,0,10,12,0,12,10,0,10,3,0,3,51,18,73
POA6514,..,89,89,126,3,126,13,0,13,20,0,20,14,0,14,5,0,5,166,90,262
POA6515,..,44,44,55,0,56,10,0,10,12,0,12,3,0,3,0,0,0,79,51,129
POA6516,..,205,205,274,17,292,78,3,79,84,0,84,26,0,26,6,0,6,470,223,697
POA6517,..,62,62,63,8,68,13,0,13,12,0,12,6,0,6,3,0,3,96,62,162
POA6518,..,24,24,38,0,36,15,0,15,13,0,13,4,0,4,0,0,0,64,22,87
POA6519,..,67,67,79,0,79,24,0,24,26,0,26,11,0,11,3,0,3,151,66,216
POA6521,..,28,28,61,0,66,17,0,18,15,0,15,5,0,5,3,0,3,107,31,141
POA6522,..,52,52,65,5,64,24,0,27,23,0,23,10,0,10,3,0,3,127,56,180
POA6525,..,389,389,570,28,593,163,8,167,152,0,157,75,0,75,25,0,25,987,420,1404
POA6528,..,34,34,56,3,64,21,0,21,20,0,20,6,0,6,3,0,3,107,35,145
POA6530,..,3055,3055,3840,309,4148,1698,52,1747,1652,9,1663,716,0,723,362,0,362,8275,3426,11697
POA6532,..,403,403,778,30,809,334,4,341,383,0,384,176,0,176,59,0,59,1728,435,2165
POA6535,..,179,179,265,13,279,62,0,62,58,0,59,37,0,37,11,0,11,429,197,621
POA6536,..,200,200,250,12,261,69,0,69,64,0,64,23,0,23,7,0,7,406,216,622
POA6537,..,143,143,127,12,139,25,3,27,43,0,43,17,0,17,10,0,10,213,156,372
POA6556,..,138,138,224,13,235,130,3,132,117,3,118,56,0,56,24,0,24,546,157,702
POA6558,..,57,57,85,0,92,55,0,55,46,0,46,18,0,18,5,0,5,212,54,268
POA6560,..,136,136,162,13,176,57,3,58,73,0,73,31,0,31,16,0,16,341,154,492
POA6562,..,104,104,180,12,193,64,0,64,60,0,60,19,0,19,20,0,20,348,115,463
POA6564,..,30,30,59,3,60,14,0,14,8,0,8,9,0,9,3,0,3,94,33,129
POA6566,..,353,353,554,29,580,161,3,164,92,0,92,61,0,61,34,0,34,907,377,1286
POA6567,..,46,46,85,4,83,15,0,15,14,0,14,7,0,7,3,0,3,126,52,174
POA6568,..,21,21,36,0,37,13,0,13,13,0,13,0,0,0,3,0,3,67,28,92
POA6569,..,39,39,31,3,32,7,0,7,12,0,12,5,0,5,3,0,3,63,43,111
POA6571,..,10,10,14,0,14,0,0,0,9,0,9,0,0,0,0,0,0,20,10,32
POA6572,..,3,3,11,0,11,3,0,3,3,0,3,0,0,0,4,0,4,18,3,19
POA6574,..,6,6,11,0,11,3,0,3,0,0,0,9,0,9,0,0,0,20,6,28
POA6575,..,10,10,18,0,18,5,0,5,11,0,11,6,0,6,0,0,0,32,10,49
POA6603,..,140,140,145,15,156,49,3,55,65,0,65,25,0,25,10,0,10,296,157,452
POA6605,..,4,4,4,0,4,0,0,0,3,0,3,4,0,4,0,0,0,11,5,16
POA6606,..,24,24,25,0,26,6,0,7,7,0,7,4,0,4,0,0,0,46,28,76
POA6608,..,12,12,12,0,17,7,0,7,4,0,4,0,0,0,4,0,4,32,12,50
POA6609,..,82,82,99,7,107,43,3,44,39,0,39,21,0,21,10,0,10,207,88,296
POA6612,..,20,20,21,0,21,6,0,6,5,0,5,7,0,7,3,0,3,43,20,61
POA6613,..,4,4,3,0,3,0,0,0,3,0,3,3,0,3,0,0,0,15,4,20
POA6614,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9
POA6616,..,13,13,7,0,7,0,0,0,4,0,4,3,0,3,0,0,0,17,13,24
POA6620,..,38,38,41,3,42,11,0,11,14,0,14,13,0,13,4,0,4,77,42,120
POA6623,..,82,82,78,3,79,34,0,34,17,0,17,17,0,17,13,0,13,155,86,235
POA6625,..,7,7,5,0,5,4,0,4,0,0,0,3,0,3,0,0,0,11,7,16
POA6627,..,3,3,7,0,7,0,0,0,0,0,0,6,0,6,0,0,0,15,3,17
POA6628,..,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9
POA6630,..,73,73,63,3,62,21,0,21,26,0,26,8,0,8,11,0,11,132,75,205
POA6631,..,5,5,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,5,12
POA6632,..,0,0,5,0,5,0,0,0,9,0,9,7,0,7,0,0,0,15,0,17
POA6635,..,26,26,12,0,12,4,0,4,4,0,4,3,0,3,13,0,13,37,26,60
POA6638,..,53,53,51,9,53,7,0,7,16,0,16,4,0,4,11,0,11,88,59,143
POA6639,..,14,14,14,4,15,3,0,3,0,0,0,0,0,0,0,0,0,19,15,38
POA6640,..,34,34,19,3,23,7,0,8,0,0,0,6,0,6,0,0,0,30,37,67
POA6642,..,78,78,58,8,69,22,5,25,24,0,24,14,0,14,12,0,12,132,89,219
POA6646,..,33,33,24,0,28,4,0,4,10,0,14,9,0,9,14,0,14,62,35,95
POA6701,..,583,583,548,56,604,253,6,258,223,0,228,105,0,107,67,0,71,1196,649,1852
POA6705,..,16,16,14,3,11,9,0,11,10,0,10,4,0,4,8,0,8,46,20,60
POA6707,..,246,246,305,30,337,129,6,139,150,3,149,53,0,54,22,0,22,653,289,939
POA6710,..,105,105,103,7,114,37,4,39,34,0,33,19,0,19,8,0,8,194,115,314
POA6711,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6712,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6713,..,46,46,87,3,88,62,3,60,78,0,78,32,0,32,14,0,14,277,57,330
POA6714,..,977,977,1309,141,1449,805,37,842,950,9,960,433,3,435,201,3,202,3690,1175,4865
POA6716,..,56,56,63,0,69,36,3,34,41,0,41,19,0,19,9,0,9,172,54,229
POA6718,..,54,54,43,3,42,29,0,29,32,0,32,19,0,16,35,0,35,153,59,212
POA6720,..,149,149,207,12,219,118,4,121,167,0,167,82,0,82,26,0,26,603,164,764
POA6721,..,350,350,457,31,493,171,12,182,209,3,212,92,0,94,40,0,40,968,398,1369
POA6722,..,622,622,787,83,862,480,15,502,464,7,477,239,0,240,153,0,153,2124,727,2857
POA6725,..,875,875,914,118,1029,471,33,503,494,14,511,256,4,259,174,0,176,2305,1048,3348
POA6726,..,419,419,535,46,585,276,17,294,265,7,269,130,3,129,75,3,75,1268,496,1769
POA6728,..,403,403,404,27,432,213,3,221,212,0,212,138,0,138,200,0,199,1170,434,1605
POA6731,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6733,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6740,..,105,105,67,10,77,53,0,53,39,0,39,21,0,21,46,0,46,228,119,348
POA6743,..,494,494,567,71,640,268,21,290,256,5,260,136,0,137,109,0,112,1336,591,1923
POA6751,..,233,233,245,9,254,138,4,143,216,0,216,80,0,80,45,0,45,727,250,978
POA6753,..,288,288,354,22,374,190,9,203,244,0,249,137,0,136,80,0,80,1004,312,1322
POA6754,..,92,92,81,8,92,52,0,52,95,0,95,44,0,44,16,0,16,296,102,398
POA6758,..,13,13,9,0,12,0,0,0,3,0,3,0,0,0,7,0,7,25,12,37
POA6760,..,50,50,27,0,28,13,0,13,14,0,14,11,0,11,29,0,30,85,46,135
POA6762,..,10,10,3,0,3,5,0,5,5,0,5,13,0,13,16,0,16,45,10,50
POA6765,..,100,100,89,6,97,65,6,69,54,3,54,33,0,33,65,0,65,314,117,426
POA6770,..,177,177,121,9,136,84,4,84,62,0,66,51,0,51,103,0,103,425,192,615
