POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA6104,..,1473,1473,1561,232,1789,791,82,876,648,35,683,246,16,264,130,6,129,3367,1845,5216
POA6105,..,1486,1486,1505,205,1710,819,62,879,695,43,737,311,24,340,215,9,220,3541,1829,5369
POA6106,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6107,..,3041,3041,3833,547,4378,2476,262,2734,2344,112,2452,1117,80,1205,761,40,803,10536,4088,14616
POA6108,..,1535,1535,2455,173,2627,1421,47,1470,1335,20,1355,630,3,636,384,8,392,6232,1786,8014
POA6109,..,1052,1052,1121,131,1250,692,27,716,535,17,552,284,9,301,260,15,276,2892,1252,4152
POA6110,..,2996,2996,3694,317,4013,2362,45,2412,2407,21,2429,1145,22,1161,683,11,695,10289,3420,13713
POA6111,..,1915,1915,2716,195,2912,1407,31,1438,1189,8,1198,526,0,531,310,0,313,6151,2155,8306
POA6112,..,3687,3687,5624,460,6079,3610,83,3700,3389,15,3409,1438,4,1438,844,4,849,14899,4258,19157
POA6121,..,81,81,269,16,279,169,3,177,194,0,194,96,0,96,66,0,66,799,94,894
POA6122,..,697,697,1662,90,1754,1059,12,1071,1158,5,1164,501,0,501,291,0,295,4674,804,5473
POA6123,..,73,73,179,11,198,84,0,81,90,0,90,46,0,46,23,0,23,414,91,503
POA6124,..,74,74,146,14,158,62,0,62,67,0,67,28,0,28,20,0,20,325,87,408
POA6125,..,157,157,394,14,411,164,0,164,179,0,179,72,0,72,53,0,53,859,174,1038
POA6126,..,27,27,42,0,42,10,0,10,14,0,14,7,0,7,3,0,3,75,27,99
POA6147,..,1271,1271,1564,150,1715,924,39,961,811,17,834,391,14,401,236,10,243,3926,1497,5426
POA6148,..,1415,1415,1898,111,2009,948,46,995,1250,23,1270,476,15,490,166,3,167,4747,1606,6345
POA6149,..,1119,1119,2055,80,2134,1126,23,1149,1341,21,1358,491,5,494,185,3,189,5197,1253,6445
POA6150,..,626,626,1301,58,1358,730,37,769,850,31,883,342,20,362,157,8,161,3371,784,4160
POA6151,..,2026,2026,2091,264,2352,844,82,925,870,29,896,281,9,296,74,0,74,4158,2405,6569
POA6152,..,2925,2925,3036,357,3398,1413,162,1574,1221,82,1303,383,15,399,155,15,177,6215,3560,9776
POA6153,..,1692,1692,2419,142,2563,1173,51,1230,1283,34,1311,450,9,459,138,3,137,5467,1923,7393
POA6154,..,1007,1007,1094,54,1148,550,15,572,663,10,676,255,3,258,78,0,75,2644,1099,3740
POA6155,..,1867,1867,3939,215,4158,2969,79,3047,4053,43,4094,1632,11,1641,800,14,814,13394,2228,15624
POA6156,..,1594,1594,1822,136,1957,943,48,987,1096,14,1105,400,6,406,139,3,145,4404,1796,6198
POA6157,..,1844,1844,1701,143,1842,774,29,803,770,3,775,244,3,249,67,0,67,3561,2015,5581
POA6158,..,677,677,841,66,910,397,20,414,479,8,492,175,0,175,41,0,43,1942,773,2712
POA6159,..,435,435,504,43,552,175,16,192,134,7,136,45,3,45,7,0,7,859,495,1357
POA6160,..,1266,1266,1090,147,1236,402,63,459,289,28,311,87,6,92,16,0,17,1872,1502,3380
POA6161,..,16,16,10,3,12,0,3,3,3,0,3,0,0,0,0,0,0,19,22,37
POA6162,..,1291,1291,1353,149,1507,663,61,724,582,18,606,182,4,192,56,3,57,2841,1528,4370
POA6163,..,5199,5199,6187,612,6797,2996,174,3169,2639,72,2709,974,23,998,388,9,397,13172,6099,19273
POA6164,..,2965,2965,5287,421,5708,3540,104,3644,4247,36,4278,1541,20,1559,632,9,637,15253,3546,18796
POA6165,..,6,6,10,0,13,4,0,4,0,0,0,3,0,3,0,0,0,21,6,22
POA6166,..,610,610,1067,51,1120,558,11,570,655,6,659,257,0,262,91,3,94,2622,681,3304
POA6167,..,2139,2139,2578,252,2833,1516,29,1546,1393,12,1400,614,0,614,346,3,349,6449,2433,8879
POA6168,..,3016,3016,3236,250,3488,1286,45,1323,931,12,938,363,6,370,234,0,234,6047,3327,9372
POA6169,..,2910,2910,4187,288,4479,1998,33,2027,1900,12,1912,811,0,813,383,0,383,9282,3242,12529
POA6170,..,556,556,1188,96,1285,824,21,844,784,7,788,322,3,326,184,0,187,3304,680,3983
POA6171,..,1451,1451,2884,219,3105,1795,39,1831,2205,15,2220,917,4,917,415,0,415,8217,1723,9946
POA6172,..,586,586,1166,77,1238,844,9,849,917,0,919,440,0,441,201,0,201,3568,676,4241
POA6173,..,305,305,825,42,865,733,7,743,1029,3,1032,441,0,441,152,0,152,3179,357,3543
POA6174,..,224,224,322,40,360,247,3,250,257,0,257,105,0,105,43,0,43,971,260,1231
POA6175,..,157,157,340,10,354,219,0,220,281,0,281,119,0,126,47,0,47,1012,171,1181
POA6176,..,66,66,135,4,146,102,0,102,78,0,78,32,0,32,13,0,13,368,77,441
POA6180,..,277,277,560,38,599,330,8,335,338,3,339,152,0,152,76,0,76,1457,320,1778
