region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6477,40,73,0,0,0,3,0,6,28,110,28,119,0,0,0,0,8,27,8,27,36,146,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,3,0,3,3,9,0,0,79,228
POA6479,91,176,0,0,0,6,0,8,37,146,37,160,0,0,8,25,11,29,19,54,56,214,0,0,0,0,0,0,4,15,4,15,0,0,0,0,3,7,3,7,7,22,0,0,154,412
POA6484,9,17,0,0,0,0,0,0,7,17,7,17,0,0,0,0,0,3,0,3,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,37
POA6485,62,124,0,0,3,8,3,8,32,123,38,139,0,0,3,11,7,18,10,29,48,168,0,0,0,0,0,0,14,40,14,40,0,0,0,0,3,3,3,3,17,43,3,3,130,338
POA6488,54,106,0,0,6,20,3,6,20,74,29,100,0,8,0,0,3,9,3,17,32,117,0,0,0,0,0,0,7,29,7,29,0,0,0,0,3,3,3,3,10,32,3,4,99,259
POA6490,29,50,0,6,4,14,0,0,9,37,13,57,0,4,0,0,9,20,9,24,22,81,0,0,4,10,0,11,4,4,8,25,0,0,0,3,0,3,0,6,8,31,0,0,59,162
POA6501,128,246,6,42,12,55,11,50,73,280,102,427,6,19,4,20,28,79,38,118,140,545,0,8,0,6,5,0,9,36,14,50,4,3,3,6,4,11,11,20,25,70,0,3,293,864
POA6502,148,279,3,23,12,50,7,28,43,170,65,271,3,9,11,31,23,73,37,113,102,384,0,0,7,18,7,21,13,37,27,76,0,0,0,6,14,29,14,35,41,111,0,4,291,778
POA6503,258,511,9,41,32,138,12,56,138,536,191,771,5,19,10,32,38,117,53,168,244,939,0,0,5,15,0,3,27,80,32,98,0,3,3,3,17,28,20,34,52,132,5,6,559,1588
POA6505,45,87,3,13,6,23,3,7,9,56,21,99,0,3,5,8,5,17,10,28,31,127,0,0,0,0,0,4,0,5,0,9,0,0,0,0,0,0,0,0,0,9,0,0,76,223
POA6507,69,130,0,0,0,0,3,4,34,129,37,133,0,0,3,5,7,19,10,24,47,157,0,0,0,0,0,0,4,11,4,11,0,0,0,0,0,5,0,5,4,16,4,3,124,306
POA6509,36,77,0,0,5,11,0,4,28,89,33,104,0,3,0,3,7,18,7,24,40,128,0,0,0,0,0,0,0,6,0,6,0,0,0,0,5,6,5,6,5,12,0,4,81,221
POA6510,227,435,6,24,24,109,8,48,136,535,174,716,8,30,9,20,39,114,56,164,230,880,0,14,7,19,5,15,38,113,50,161,0,3,7,9,24,51,31,63,81,224,3,0,541,1539
POA6511,85,166,0,0,0,5,3,16,21,82,24,103,0,0,0,0,7,16,7,16,31,119,0,0,0,0,0,4,12,23,12,27,0,0,0,0,3,9,3,9,15,36,0,3,131,324
POA6513,19,36,0,5,0,3,4,0,22,86,26,94,0,0,0,4,0,7,0,11,26,105,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,3,0,3,3,11,3,3,51,155
POA6514,101,195,0,0,4,14,0,6,25,98,29,118,0,0,0,3,12,29,12,32,41,150,0,0,3,6,3,12,11,29,17,47,0,0,0,0,3,7,3,7,20,54,0,0,162,399
POA6515,65,121,0,0,0,8,0,5,34,146,34,159,3,12,3,6,14,33,20,51,54,210,0,0,0,0,0,0,4,14,4,14,0,0,0,0,0,3,0,3,4,17,4,5,127,353
POA6516,195,382,0,7,11,27,10,30,108,440,129,504,8,15,0,3,11,32,19,50,148,554,0,0,5,15,0,3,26,75,31,93,0,0,0,3,10,22,10,25,41,118,5,6,389,1060
POA6517,54,101,0,0,4,14,4,11,34,133,42,158,0,0,0,0,6,13,6,13,48,171,3,3,0,0,0,0,3,10,6,13,0,0,3,3,0,3,3,6,9,19,0,0,111,291
POA6518,13,24,0,0,0,5,0,0,10,27,10,32,0,0,3,3,0,0,3,3,13,35,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,0,3,3,6,0,3,29,68
POA6519,86,165,0,0,9,21,0,5,49,204,58,230,3,0,0,11,0,0,3,11,61,241,0,0,0,3,3,8,14,36,17,47,0,0,0,0,4,7,4,7,21,54,0,3,168,463
POA6521,50,98,0,5,10,27,0,0,19,77,29,109,0,0,5,10,9,19,14,29,43,138,0,0,0,0,0,0,3,13,3,13,0,0,0,0,3,6,3,6,6,19,3,3,102,258
POA6522,55,111,4,4,0,4,0,15,41,165,45,188,0,0,0,0,9,21,9,21,54,209,0,0,4,15,0,9,8,16,12,40,0,0,0,0,6,12,6,12,18,52,3,8,130,380
POA6525,483,911,5,27,30,140,14,61,245,973,294,1201,12,43,24,71,62,161,98,275,392,1476,0,4,9,28,6,26,57,158,72,216,0,4,10,16,22,43,32,63,104,279,5,9,984,2675
POA6528,40,74,0,0,0,12,5,10,15,61,20,83,0,5,4,7,5,20,9,32,29,115,0,0,0,4,0,0,4,13,4,17,0,0,0,0,8,18,8,18,12,35,0,0,81,224
POA6530,3219,6213,69,392,313,1445,183,842,2051,8002,2616,10681,138,564,200,588,611,1801,949,2953,3565,13634,24,108,119,423,79,273,760,2134,982,2938,50,158,92,196,403,847,545,1201,1527,4139,108,215,8419,24201
POA6532,679,1301,16,76,53,245,34,151,447,1727,550,2199,28,96,26,81,112,327,166,504,716,2703,3,12,8,35,8,27,66,170,85,244,8,25,11,18,41,89,60,132,145,376,8,20,1548,4400
POA6535,244,459,0,6,13,48,5,26,69,275,87,355,5,15,10,33,22,58,37,106,124,461,0,0,3,7,3,19,29,92,35,118,0,0,7,11,23,46,30,57,65,175,5,11,438,1106
POA6536,228,432,5,14,15,64,6,21,101,398,127,497,0,10,6,13,16,45,22,68,149,565,0,0,4,17,0,7,18,33,22,57,4,0,3,12,6,21,13,33,35,90,3,5,415,1092
POA6537,101,201,0,6,3,9,3,8,35,121,41,144,0,0,3,4,4,19,7,23,48,167,0,0,0,8,0,0,14,30,14,38,0,0,0,0,8,13,8,13,22,51,0,3,171,422
POA6556,207,406,7,29,26,116,5,40,126,489,164,674,19,73,29,96,36,110,84,279,248,953,0,7,7,24,5,7,25,66,37,104,3,7,10,16,29,56,42,79,79,183,0,6,534,1548
POA6558,97,191,5,15,10,47,6,29,44,171,65,262,7,34,6,24,17,51,30,109,95,371,4,5,4,8,0,0,12,41,20,54,0,0,0,0,3,10,3,10,23,64,3,3,218,629
POA6560,126,244,7,35,3,22,17,67,72,304,99,428,6,22,7,20,25,87,38,129,137,557,0,11,8,23,7,25,31,86,46,145,3,6,7,13,24,52,34,71,80,216,3,3,346,1020
POA6562,181,351,3,32,3,18,4,9,75,281,85,340,5,19,4,10,21,58,30,87,115,427,0,0,0,0,0,6,25,73,25,79,0,0,0,0,10,22,10,22,35,101,3,8,334,887
POA6564,48,96,0,0,0,8,5,12,16,51,21,71,0,3,3,6,7,26,10,35,31,106,0,0,0,0,5,11,6,18,11,29,0,0,0,3,7,9,7,12,18,41,0,0,97,243
POA6566,454,874,3,14,28,128,18,81,150,573,199,796,8,30,22,78,60,169,90,277,289,1073,3,4,7,28,3,14,73,193,86,239,5,13,10,22,29,60,44,95,130,334,8,14,881,2295
POA6567,71,128,0,0,0,11,0,0,23,91,23,102,3,4,3,7,8,24,14,35,37,137,0,0,3,10,0,0,3,15,6,25,0,0,3,4,3,4,6,8,12,33,0,0,120,298
POA6568,25,48,0,0,4,16,0,7,24,104,28,127,3,4,0,0,3,13,6,17,34,144,0,0,0,0,0,0,3,4,3,4,3,3,0,0,0,3,3,6,6,10,0,0,65,202
POA6569,41,76,0,0,3,12,0,0,28,103,31,115,0,0,0,0,3,8,3,8,34,123,0,0,0,0,0,0,3,18,3,18,0,0,0,0,3,5,3,5,6,23,3,4,84,226
POA6575,34,57,0,0,4,13,0,0,22,91,26,104,0,0,3,3,3,7,6,10,32,114,0,0,0,0,0,0,0,6,0,6,0,0,0,0,3,10,3,10,3,16,0,0,69,187
POA6603,121,234,3,19,10,33,4,9,86,344,103,405,0,0,4,6,17,44,21,50,124,455,0,0,4,14,3,30,21,60,28,104,0,7,0,3,7,11,7,21,35,125,3,5,283,819
POA6606,47,91,0,0,3,8,3,5,26,101,32,114,0,0,0,3,4,9,4,12,36,126,0,0,0,0,0,4,0,6,0,10,0,0,0,0,5,9,5,9,5,19,4,5,92,241
POA6608,31,60,0,0,5,16,0,3,17,73,22,92,0,0,0,0,12,35,12,35,34,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,8,5,8,0,0,70,195
POA6609,60,121,3,24,6,25,3,29,39,139,51,217,3,12,3,5,12,34,18,51,69,268,0,0,0,5,0,0,8,14,8,19,0,0,0,0,5,8,5,8,13,27,0,0,142,416
POA6612,30,57,3,8,0,5,0,0,20,80,23,93,0,0,0,4,6,10,6,14,29,107,0,0,0,0,0,0,4,16,4,16,0,0,0,0,0,4,0,4,4,20,4,4,67,188
POA6620,22,42,3,11,0,3,0,0,18,72,21,86,0,0,0,0,4,5,4,5,25,91,0,0,0,0,0,3,6,11,6,14,0,0,0,0,0,4,0,4,6,18,0,0,53,151
POA6623,126,250,3,11,11,52,4,18,99,399,117,480,4,15,4,9,15,36,23,60,140,540,0,0,4,9,0,0,21,61,25,70,4,3,0,0,6,15,10,18,35,88,0,3,301,881
POA6628,14,35,0,0,3,5,0,0,24,96,27,101,0,3,0,0,5,12,5,15,32,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,3,7,4,3,53,161
POA6630,48,97,0,0,3,17,3,14,21,86,27,117,0,3,3,3,3,10,6,16,33,133,0,0,3,11,4,3,8,39,15,53,0,0,0,0,12,30,12,30,27,83,0,0,108,313
POA6635,29,62,0,0,3,7,3,18,12,51,18,76,4,3,0,0,4,16,8,19,26,95,0,0,0,0,4,16,5,22,9,38,0,0,3,3,3,3,6,6,15,44,0,3,70,204
POA6638,47,97,0,11,3,17,5,20,31,115,39,163,0,0,3,8,8,25,11,33,50,196,0,0,0,8,0,18,18,51,18,77,0,0,0,0,7,8,7,8,25,85,10,12,132,390
POA6639,19,37,0,0,0,4,0,0,4,8,4,12,0,3,0,0,4,12,4,15,8,27,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,27,67
POA6640,32,62,0,0,0,0,0,15,11,38,11,53,0,0,0,0,4,15,4,15,15,68,0,0,3,10,3,6,3,11,9,27,0,0,0,0,0,3,0,3,9,30,0,4,56,164
POA6642,81,159,3,4,6,26,3,20,42,191,54,241,0,0,3,11,12,38,15,49,69,290,0,0,0,0,4,19,26,74,30,93,0,0,0,5,15,31,15,36,45,129,5,13,200,591
POA6646,24,57,0,6,0,10,0,22,26,103,26,141,0,0,0,4,4,5,4,9,30,150,0,4,0,0,9,36,16,57,25,97,0,0,3,5,11,30,14,35,39,132,3,0,96,339
POA6701,569,1101,6,26,42,187,29,137,358,1420,435,1770,15,45,11,46,88,267,114,358,549,2128,0,12,10,44,28,104,116,331,154,491,6,23,9,18,63,138,78,179,232,670,19,44,1369,3943
POA6705,18,34,0,0,0,0,0,7,14,57,14,64,0,0,0,0,5,5,5,5,19,69,0,0,0,0,4,20,14,55,18,75,0,0,0,0,0,3,0,3,18,78,0,0,55,181
POA6707,302,594,0,9,21,76,6,34,183,662,210,781,4,4,7,24,23,60,34,88,244,869,0,0,3,6,0,0,40,105,43,111,0,0,5,9,16,38,21,47,64,158,0,3,610,1624
POA6710,79,157,0,0,3,17,4,17,48,191,55,225,0,4,0,0,10,29,10,33,65,258,0,6,0,0,3,10,21,58,24,74,0,0,0,0,13,19,13,19,37,93,3,10,184,518
POA6713,102,192,0,0,12,48,6,19,92,342,110,409,8,24,10,27,24,77,42,128,152,537,3,4,0,3,0,0,5,19,8,26,0,0,0,3,3,7,3,10,11,36,3,6,268,771
POA6714,1247,2446,25,132,127,557,87,391,1217,4767,1456,5847,40,158,77,229,224,721,341,1108,1797,6955,5,16,10,39,4,19,151,401,170,475,3,18,17,37,84,173,104,228,274,703,33,69,3351,10173
POA6716,43,83,0,0,8,20,10,44,64,248,82,312,3,3,0,0,3,6,6,9,88,321,0,0,0,0,0,0,8,20,8,20,0,0,0,0,0,0,0,0,8,20,0,0,139,424
POA6718,67,133,3,16,5,52,9,26,32,125,49,219,3,9,0,0,11,44,14,53,63,272,0,0,0,16,14,59,20,52,34,127,0,0,5,7,20,48,25,55,59,182,14,40,203,627
POA6720,121,236,6,35,21,98,19,88,166,649,212,870,6,17,6,15,35,120,47,152,259,1022,0,0,3,8,3,29,28,92,34,129,0,0,4,9,13,25,17,34,51,163,3,7,434,1428
POA6721,359,706,4,18,21,94,14,72,307,1183,346,1367,13,61,13,25,60,186,86,272,432,1639,0,0,0,5,4,8,22,57,26,70,4,7,0,5,20,42,24,54,50,124,14,33,855,2502
POA6722,720,1410,17,100,56,264,56,267,661,2587,790,3218,23,94,42,121,138,438,203,653,993,3871,0,12,13,37,23,93,138,408,174,550,9,24,15,37,76,171,100,232,274,782,55,112,2042,6175
POA6725,705,1389,23,138,52,235,51,262,683,2712,809,3347,16,73,30,80,94,321,140,474,949,3821,3,4,16,61,45,177,252,750,316,992,5,17,11,15,105,255,121,287,437,1279,47,115,2138,6604
POA6726,505,964,9,43,39,182,30,133,341,1324,419,1682,5,28,33,88,56,176,94,292,513,1974,3,31,16,52,17,68,130,355,166,506,7,13,16,29,54,119,77,161,243,667,11,28,1272,3633
POA6728,313,627,6,30,18,99,55,296,311,1337,390,1762,0,0,8,18,39,140,47,158,437,1920,4,23,12,45,28,153,163,531,207,752,3,5,7,11,62,187,72,203,279,955,35,103,1064,3605
POA6740,83,172,0,0,3,27,15,65,88,427,106,519,0,3,0,7,6,18,6,28,112,547,0,9,5,41,13,61,69,218,87,329,4,3,0,3,14,44,18,50,105,379,22,39,322,1137
POA6743,592,1137,12,70,30,137,33,168,400,1607,475,1982,8,40,18,42,43,131,69,213,544,2195,5,19,13,61,29,164,138,416,185,660,3,15,8,12,45,116,56,143,241,803,17,48,1394,4183
POA6751,259,510,10,36,29,134,16,80,381,1503,436,1753,12,33,8,24,27,88,47,145,483,1898,4,8,3,21,7,24,44,118,58,171,0,4,0,4,22,38,22,46,80,217,3,10,825,2635
POA6753,357,704,14,89,50,218,40,208,456,1817,560,2332,16,53,12,43,77,258,105,354,665,2686,0,3,6,16,4,37,59,158,69,214,4,6,0,4,21,45,25,55,94,269,6,21,1122,3680
POA6754,116,223,5,15,4,26,11,40,144,584,164,665,3,11,3,11,10,31,16,53,180,718,0,0,0,4,0,5,16,43,16,52,0,0,0,0,8,14,8,14,24,66,4,6,324,1013
POA6758,15,29,0,0,0,0,3,24,12,50,15,74,0,0,0,0,0,12,0,12,15,86,0,0,0,0,0,6,9,16,9,22,0,0,0,0,3,4,3,4,12,26,0,3,42,144
POA6760,16,24,0,0,0,10,4,44,27,115,31,169,0,0,0,0,6,12,6,12,37,181,0,0,0,13,7,52,20,78,27,143,0,0,0,0,7,28,7,28,34,171,6,18,93,394
POA6762,9,21,0,0,0,10,3,14,18,80,21,104,0,5,0,0,4,12,4,17,25,121,0,0,0,3,3,25,16,45,19,73,0,0,0,0,6,22,6,22,25,95,3,3,62,240
POA6765,81,173,3,18,3,19,12,64,74,333,92,434,3,9,3,8,10,57,16,74,108,508,0,9,0,4,15,65,66,211,81,289,0,6,0,0,23,55,23,61,104,350,22,51,315,1082
POA6770,132,290,7,43,14,108,29,225,175,793,225,1169,0,13,3,7,26,97,29,117,254,1286,3,11,6,42,37,197,120,426,166,676,3,9,0,7,42,116,45,132,211,808,27,63,624,2447
POA6907,9,21,0,0,3,5,0,0,0,9,3,14,0,0,3,7,0,0,3,7,6,21,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,7,18,52
