region_id,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6333,726,1410,11,42,42,196,16,66,311,1192,380,1496,12,34,26,81,68,198,106,313,486,1809,3,13,20,55,7,26,119,301,149,395,4,9,19,38,43,89,66,136,215,531,10,22,1437,3772
POA6335,86,166,3,18,5,33,5,25,73,288,86,364,0,0,0,0,10,41,10,41,96,405,0,3,0,3,0,0,14,52,14,58,4,5,3,0,4,11,11,16,25,74,3,3,210,648
POA6336,36,70,0,0,3,6,3,3,15,72,21,81,0,0,3,4,3,6,6,10,27,91,0,0,0,0,0,0,4,13,4,13,0,0,0,3,4,5,4,8,8,21,0,0,71,182
POA6337,55,105,0,0,5,12,0,5,43,164,48,181,3,8,3,5,14,38,20,51,68,232,0,0,0,0,3,3,10,22,13,25,0,0,0,3,3,8,3,11,16,36,0,0,139,373
POA6338,75,145,0,0,7,23,0,0,72,280,79,303,0,3,7,10,10,32,17,45,96,348,0,0,0,0,0,0,0,8,0,8,0,0,0,0,6,7,6,7,6,15,4,5,181,513
POA6341,42,80,0,0,7,14,0,0,23,102,30,116,0,3,5,11,0,4,5,18,35,134,0,0,0,3,0,0,0,3,0,6,0,0,0,0,4,0,4,0,4,6,4,3,85,223
POA6343,29,63,3,3,6,19,0,0,22,100,31,122,0,0,0,0,0,6,0,6,31,128,0,0,0,0,0,0,3,3,3,3,0,0,3,3,3,3,6,6,9,9,0,0,69,200
POA6346,69,126,0,3,5,20,0,4,49,192,54,219,0,5,0,0,12,30,12,35,66,254,0,0,0,0,3,8,8,28,11,36,0,0,0,3,5,5,5,8,16,44,3,4,154,428
POA6348,177,346,0,0,3,10,3,7,132,538,138,555,0,0,0,9,17,41,17,50,155,605,0,0,0,4,5,13,8,22,13,39,0,3,0,0,8,16,8,19,21,58,0,5,353,1014
POA6350,37,67,3,7,3,3,0,0,5,31,11,41,0,0,0,0,3,12,3,12,14,53,0,0,0,0,0,0,6,18,6,18,0,4,0,0,4,3,4,7,10,25,0,0,61,145
POA6352,57,112,0,0,3,10,0,3,44,170,47,183,0,3,0,0,6,17,6,20,53,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,4,114,319
POA6353,99,193,0,3,12,43,3,12,57,213,72,271,0,3,3,6,12,33,15,42,87,313,0,0,0,0,0,4,7,22,7,26,0,3,0,0,6,7,6,10,13,36,3,4,202,546
POA6355,110,208,0,0,6,11,0,0,86,339,92,350,0,3,3,3,10,31,13,37,105,387,0,0,0,0,0,0,4,20,4,20,0,0,0,0,5,7,5,7,9,27,0,6,224,628
POA6358,42,85,0,0,0,3,0,0,20,66,20,69,0,0,0,4,5,13,5,17,25,86,0,0,0,0,0,0,3,8,3,8,0,0,0,0,3,3,3,3,6,11,0,0,73,182
POA6359,42,82,3,8,3,8,0,5,39,151,45,172,0,0,3,3,0,5,3,8,48,180,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,0,3,0,3,5,0,3,93,270
POA6365,82,162,0,5,3,19,3,4,48,197,54,225,0,0,5,11,8,18,13,29,67,254,0,0,4,13,0,0,5,21,9,34,0,0,0,0,3,6,3,6,12,40,4,6,165,462
POA6367,35,64,0,0,6,12,0,6,17,75,23,93,0,0,0,0,0,4,0,4,23,97,0,0,0,7,0,4,7,24,7,35,0,0,0,0,4,6,4,6,11,41,3,3,72,205
POA6368,36,62,0,8,0,0,0,0,18,65,18,73,0,0,0,3,5,11,5,14,23,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,4,59,159
POA6369,96,194,0,0,3,19,4,16,39,153,46,188,0,0,3,6,14,41,17,47,63,235,0,0,5,10,0,4,4,11,9,25,4,0,0,3,5,11,9,14,18,39,0,3,177,471
POA6370,69,129,0,7,6,30,0,0,36,144,42,181,0,0,7,19,4,7,11,26,53,207,0,0,0,0,3,4,18,51,21,55,0,0,3,3,9,17,12,20,33,75,0,3,155,414
POA6373,34,66,0,6,4,14,0,0,23,75,27,95,4,4,0,3,5,22,9,29,36,124,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,70,194
POA6375,129,253,0,0,3,16,0,0,44,179,47,195,0,0,6,6,9,32,15,38,62,233,0,0,0,0,0,0,15,50,15,50,3,3,0,3,8,19,11,25,26,75,3,3,220,564
POA6383,169,323,0,10,4,19,3,20,62,238,69,287,0,0,3,6,16,54,19,60,88,347,0,0,0,0,4,26,26,68,30,94,0,0,0,3,4,10,4,13,34,107,4,7,295,784
POA6386,31,55,4,3,3,6,0,0,23,111,30,120,3,9,0,3,3,12,6,24,36,144,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,67,203
POA6390,186,352,6,20,22,76,10,50,121,482,159,628,9,26,11,38,27,82,47,146,206,774,0,0,3,17,3,14,31,76,37,107,3,3,5,7,5,18,13,28,50,135,6,10,448,1271
POA6391,147,289,3,7,0,8,0,0,70,280,73,295,3,17,12,26,10,26,25,69,98,364,0,0,0,0,0,0,12,31,12,31,0,0,6,7,6,22,12,29,24,60,0,0,269,713
POA6392,74,141,3,8,4,19,0,4,43,169,50,200,0,3,0,4,10,17,10,24,60,224,0,0,0,0,0,3,6,19,6,22,0,0,3,3,3,5,6,8,12,30,0,0,146,395
POA6393,63,122,0,0,5,10,0,6,37,138,42,154,0,0,0,3,7,21,7,24,49,178,0,0,3,3,0,0,0,3,3,6,0,0,0,0,3,7,3,7,6,13,0,0,118,313
POA6394,57,108,3,8,3,17,3,4,34,147,43,176,3,3,3,0,10,38,16,41,59,217,0,0,0,4,0,0,0,3,0,7,0,0,0,9,6,9,6,18,6,25,0,0,122,350
POA6395,204,399,0,0,17,61,6,31,104,414,127,506,0,7,9,17,28,86,37,110,164,616,0,0,4,13,3,8,31,90,38,111,0,0,5,13,12,22,17,35,55,146,6,9,429,1170
POA6396,34,71,0,0,4,4,3,6,32,126,39,136,0,0,3,8,3,12,6,20,45,156,0,0,0,0,0,0,4,8,4,8,0,0,0,0,9,14,9,14,13,22,0,0,92,249
POA6397,35,66,0,5,3,3,0,3,23,88,26,99,0,6,0,3,5,8,5,17,31,116,0,0,0,0,0,5,6,7,6,12,3,0,0,0,0,6,3,6,9,18,0,4,75,204
POA6398,92,177,0,0,0,3,0,0,39,152,39,155,0,5,3,9,5,12,8,26,47,181,0,0,0,3,0,3,10,28,10,34,0,0,0,0,8,12,8,12,18,46,0,0,157,404
POA6401,804,1574,12,79,72,319,41,191,442,1745,567,2334,26,91,24,77,121,374,171,542,738,2876,4,9,12,64,17,66,165,482,198,621,6,24,16,30,113,251,135,305,333,926,31,59,1906,5435
POA6403,25,55,0,4,0,7,0,3,16,59,16,73,0,0,0,0,4,11,4,11,20,84,0,0,0,0,0,0,6,13,6,13,0,7,0,0,3,5,3,12,9,25,0,0,54,164
