POA_CODE_2016,MOL_SAL_Oth_SOLSE_NWorNAA,MOL_SAL_Oth_SOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_SOLSE_VWorW,MOL_SAL_Tot_SOLSE_NWorNAA,MOL_SAL_Tot_SOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_SOLSE_VWorW,MOL_Spanish_SOLSE_NWorNAA,MOL_Spanish_SOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_SOLSE_VWorW,MOL_Tamil_SOLSE_NWorNAA,MOL_Tamil_SOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_SOLSE_VWorW,MOL_Thai_SOLSE_NWorNAA,MOL_Thai_SOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_SOLSE_VWorW,MOL_Turkish_SOLSE_NWorNAA,MOL_Turkish_SOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_SOLSE_VWorW,MOL_Vietnamese_SOLSE_NWorNAA,MOL_Vietnamese_SOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_SOLSE_VWorW,MOL_Oth_SOLSE_NWorNAA,MOL_Oth_SOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_SOLSE_VWorW,MOL_Tot_SOLSE_NWorNAA,MOL_Tot_SOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LSatH_NS_SEO,M_LSatH_NS_SOLSE_VWorW,M_LSatH_NS_SOLSE_NWorNAA,M_LSatH_NS_SOLSE_Tot,M_LSatH_NS_NS,M_LSatH_NS_Tot,M_Tot_SEO,M_Tot_SOLSE_VWorW,M_Tot_SOLSE_NWorNAA,M_Tot_SOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_SOLSE_VWorW,FSEO_SOLSE_NWorNAA,FSEO_SOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_SOLSE_VWorW,FOL_Afrikaans_SOLSE_NWorNAA,FOL_Afrikaans_SOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_SOLSE_VWorW,FOL_Arabic_SOLSE_NWorNAA,FOL_Arabic_SOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_SOLSE_VWorW,FOL_AIndLng_SOLSE_NWorNAA,FOL_AIndLng_SOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Cantones_SEO,FOL_CL_Cantones_SOLSE_VWorW,FOL_CL_Cantones_SOLSE_NWorNAA,FOL_CL_Cantones_SOLSE_Tot,FOL_CL_Cantones_NS,FOL_CL_Cantones_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_SOLSE_VWorW,FOL_CL_Mandarin_SOLSE_NWorNAA,FOL_CL_Mandarin_SOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_SOLSE_VWorW,FOL_CL_Oth_SOLSE_NWorNAA,FOL_CL_Oth_SOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_SOLSE_VWorW,FOL_CL_Tot_SOLSE_NWorNAA,FOL_CL_Tot_SOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_SOLSE_VWorW,FOL_Croatian_SOLSE_NWorNAA,FOL_Croatian_SOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_Dutch_SEO,FOL_Dutch_SOLSE_VWorW,FOL_Dutch_SOLSE_NWorNAA,FOL_Dutch_SOLSE_Tot,FOL_Dutch_NS,FOL_Dutch_Tot,FOL_French_SEO,FOL_French_SOLSE_VWorW,FOL_French_SOLSE_NWorNAA,FOL_French_SOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_SOLSE_VWorW,FOL_German_SOLSE_NWorNAA,FOL_German_SOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_SOLSE_VWorW,FOL_Greek_SOLSE_NWorNAA,FOL_Greek_SOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_SOLSE_VWorW,FOL_IAL_Bengali_SOLSE_NWorNAA,FOL_IAL_Bengali_SOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_SOLSE_VWorW,FOL_IAL_Hindi_SOLSE_NWorNAA,FOL_IAL_Hindi_SOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_SOLSE_VWorW,FOL_IAL_Punjabi_SOLSE_NWorNAA,FOL_IAL_Punjabi_SOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhalese_SEO,FOL_IAL_Sinhalese_SOLSE_VWorW,FOL_IAL_Sinhale_SOLSE_NWorNAA,FOL_IAL_Sinhalese_SOLSE_Tot,FOL_IAL_Sinhalese_NS,FOL_IAL_Sinhalese_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_SOLSE_VWorW,FOL_IAL_Urdu_SOLSE_NWorNAA,FOL_IAL_Urdu_SOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_SOLSE_VWorW,FOL_IAL_Oth_SOLSE_NWorNAA,FOL_IAL_Oth_SOLSE_Tot,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_SOLSE_VWorW,FOL_IAL_Tot_SOLSE_NWorNAA,FOL_IAL_Tot_SOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_SOLSE_VWorW,FOL_Italian_SOLSE_NWorNAA,FOL_Italian_SOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japanese_SEO,FOL_Japanese_SOLSE_VWorW,FOL_Japanese_SOLSE_NWorNAA,FOL_Japanese_SOLSE_Tot,FOL_Japanese_NS,FOL_Japanese_Tot,FOL_Korean_SEO,FOL_Korean_SOLSE_VWorW,FOL_Korean_SOLSE_NWorNAA,FOL_Korean_SOLSE_Tot
POA6000,0,29,0,29,..,124,3,120,0,120,..,68,3,75,0,75,..,31,0,36,0,36,..,18,7,22,0,22,..,4,3,5,0,5,..,73,18,90,0,87,..,197,32,231,4,232,..,1579,300,1879,11,1891,..,22,3,23,938,963,3229,1600,299,1902,956,6083,2572,..,..,..,..,2572,..,11,0,11,0,11,..,26,8,35,0,35,..,9,0,9,0,9,..,112,28,137,3,140,..,296,117,413,3,420,..,15,4,24,0,24,..,423,154,572,6,578,..,5,0,9,0,9,..,10,0,10,0,17,..,59,0,58,0,58,..,44,0,42,0,42,..,7,6,14,0,14,..,15,0,15,0,15,..,49,3,49,0,50,..,9,0,14,0,14,..,10,0,10,0,10,..,10,4,14,0,14,..,48,10,58,0,58,..,139,15,156,0,152,..,92,24,112,0,112,..,60,15,74,3,81,..,86,36,116
POA6003,0,0,0,0,..,15,0,13,0,13,..,33,0,39,0,39,..,4,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,13,5,23,0,23,..,52,3,59,0,59,..,385,92,475,4,477,..,4,0,4,344,346,992,390,92,475,346,1822,877,..,..,..,..,877,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,37,15,51,0,51,..,56,26,84,0,84,..,5,0,8,0,8,..,99,44,141,0,141,..,0,3,3,0,3,..,5,0,5,0,5,..,18,0,18,0,18,..,12,0,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,17,0,17,..,19,0,21,0,21,..,33,7,37,0,34,..,17,3,24,0,24,..,32,27,55
POA6004,0,35,0,35,..,104,0,105,0,105,..,91,7,99,0,100,..,26,0,25,0,25,..,26,3,32,0,32,..,8,0,12,0,12,..,43,5,46,0,46,..,240,27,265,3,270,..,1680,228,1915,13,1925,..,15,0,20,811,827,2801,1704,230,1931,823,5559,2244,..,..,..,..,2244,..,7,0,7,0,7,..,33,11,43,0,43,..,0,0,0,0,0,..,109,29,135,0,142,..,328,83,408,3,412,..,36,8,39,0,39,..,472,116,582,3,588,..,7,0,7,0,7,..,8,0,8,0,8,..,68,6,68,0,68,..,24,0,24,0,24,..,12,0,12,0,12,..,13,3,17,0,17,..,74,0,78,0,78,..,3,0,3,0,3,..,9,0,9,0,9,..,22,4,28,0,24,..,55,4,56,0,62,..,178,18,192,3,191,..,58,3,61,0,56,..,53,36,88,0,88,..,97,46,141
POA6005,0,5,0,5,..,26,0,32,0,32,..,53,3,62,0,62,..,16,0,16,0,16,..,4,0,4,0,4,..,9,0,9,0,9,..,12,0,13,0,13,..,113,14,127,3,135,..,708,107,813,16,829,..,5,0,5,410,410,1672,713,107,816,424,2908,1496,..,..,..,..,1496,..,8,0,8,0,8,..,9,0,9,0,9,..,0,0,0,0,0,..,42,16,56,0,55,..,97,26,122,0,123,..,11,3,10,0,10,..,149,38,188,3,188,..,0,0,0,0,0,..,10,0,10,0,10,..,33,0,33,0,33,..,21,0,21,0,20,..,7,3,15,3,17,..,7,0,9,0,9,..,26,4,30,0,30,..,7,0,7,0,7,..,3,0,3,0,3,..,3,0,3,0,3,..,24,4,26,0,26,..,63,9,67,0,67,..,46,8,53,7,52,..,19,12,28,0,32,..,37,9,50
POA6006,0,0,0,0,..,19,0,19,0,19,..,37,3,37,0,37,..,4,0,4,0,4,..,3,0,4,0,4,..,6,0,7,0,7,..,73,17,93,0,93,..,92,14,109,0,113,..,729,131,858,6,866,..,3,0,3,276,275,3175,736,131,864,279,4323,3134,..,..,..,..,3134,..,6,0,6,0,6,..,10,3,17,0,17,..,0,0,0,0,0,..,39,13,50,0,50,..,46,14,60,0,60,..,16,0,16,0,16,..,102,27,127,0,127,..,16,3,16,0,16,..,13,0,13,0,13,..,33,0,33,0,33,..,14,0,14,0,14,..,32,18,51,0,51,..,3,0,3,0,3,..,10,0,10,0,10,..,3,0,3,0,3,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,16,0,16,0,16,..,202,75,273,5,281,..,17,3,21,0,21,..,16,3,18
POA6007,0,0,0,0,..,8,0,8,0,8,..,23,3,24,0,24,..,0,0,0,0,0,..,0,7,5,0,5,..,0,0,0,0,0,..,19,9,23,0,23,..,92,6,104,3,106,..,499,68,569,10,575,..,13,4,16,269,280,2623,511,74,583,272,3482,2714,..,..,..,..,2714,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,0,0,..,17,8,23,0,23,..,44,8,54,0,54,..,10,0,18,0,18,..,77,18,93,0,93,..,12,0,9,0,9,..,7,0,7,0,7,..,35,0,34,3,36,..,30,0,31,0,31,..,16,0,24,0,24,..,0,3,7,0,7,..,18,0,21,0,19,..,0,0,0,0,0,..,7,0,7,0,7,..,4,0,4,0,4,..,20,0,20,0,20,..,52,0,60,0,61,..,94,17,114,3,114,..,31,6,35,0,35,..,19,0,19
POA6008,0,12,0,12,..,30,4,34,0,34,..,65,11,73,0,73,..,19,0,19,0,19,..,15,0,20,0,20,..,3,0,3,0,3,..,16,3,18,0,18,..,134,16,154,3,156,..,1028,100,1126,11,1140,..,21,4,29,533,558,5651,1052,106,1158,545,7348,5818,..,..,..,..,5818,..,21,0,21,0,25,..,13,0,15,0,15,..,0,0,0,0,0,..,67,5,72,0,69,..,167,32,200,3,201,..,20,6,23,0,23,..,253,45,296,0,296,..,7,0,9,0,9,..,28,8,38,0,38,..,97,5,96,3,102,..,56,0,56,0,57,..,27,3,26,0,26,..,13,0,14,0,14,..,20,0,24,0,19,..,12,0,12,0,10,..,11,0,8,0,8,..,9,0,10,0,10,..,19,7,22,0,22,..,79,8,87,0,87,..,63,6,66,0,69,..,55,28,81,0,81,..,31,11,40
POA6009,3,45,0,45,..,144,11,156,0,156,..,34,0,35,0,35,..,37,0,37,0,37,..,13,0,14,0,14,..,0,0,0,0,0,..,28,3,32,0,32,..,150,19,169,3,172,..,1974,203,2169,13,2182,..,17,6,20,408,436,6596,1991,205,2197,420,9212,6622,..,..,..,..,6622,..,34,0,36,0,41,..,33,10,47,0,43,..,0,0,0,0,0,..,222,28,248,0,248,..,695,83,776,7,777,..,71,8,79,0,79,..,988,123,1105,3,1111,..,14,0,14,0,14,..,28,0,28,0,28,..,96,0,96,0,99,..,50,0,51,0,51,..,37,3,41,0,40,..,16,4,24,0,24,..,30,3,32,0,32,..,8,0,8,0,8,..,38,3,43,0,43,..,26,4,28,0,30,..,19,0,19,0,19,..,139,13,147,0,153,..,60,0,63,0,65,..,37,9,48,0,48,..,22,8,22
POA6010,0,16,0,16,..,34,0,32,0,32,..,52,3,55,0,55,..,10,0,10,0,10,..,10,0,12,0,12,..,3,0,3,0,3,..,10,0,8,0,8,..,104,8,117,0,117,..,870,70,943,4,950,..,15,0,15,550,560,6696,879,70,956,552,8200,6965,..,..,..,..,6965,..,24,0,24,0,24,..,11,3,14,0,14,..,0,0,0,0,0,..,52,12,58,0,58,..,130,27,156,0,156,..,7,6,13,0,13,..,192,37,228,0,228,..,10,0,10,0,10,..,18,0,18,0,18,..,79,0,77,0,77,..,60,0,60,0,60,..,32,0,27,0,27,..,7,0,7,0,7,..,21,0,21,0,21,..,3,0,3,0,3,..,12,0,11,0,11,..,4,0,11,0,11,..,21,0,18,0,18,..,65,3,68,0,68,..,70,3,78,0,78,..,53,12,62,0,62,..,12,8,18
POA6011,0,4,0,4,..,10,0,10,0,10,..,8,3,11,0,11,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,3,0,3,..,34,3,36,0,36,..,284,24,301,0,302,..,6,0,9,287,299,3706,290,21,310,292,4313,4054,..,..,..,..,4054,..,18,0,18,0,16,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,21,0,21,..,30,3,35,0,35,..,0,0,0,0,0,..,50,3,53,0,53,..,3,0,3,0,3,..,15,0,15,0,13,..,39,0,47,0,47,..,30,0,30,0,30,..,16,0,16,0,16,..,0,0,3,0,3,..,3,0,5,0,5,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,4,0,4,0,4,..,11,0,13,0,13,..,39,0,42,0,42,..,11,4,9,0,9,..,0,0,0
