POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6174,278,535,13,58,63,300,10,55,298,1121,390,1536,22,87,36,103,59,195,116,389,508,1923,0,4,14,56,8,29,110,306,132,390,3,13,22,46,37,82,58,145,197,532,11,18,988,3017
POA6175,308,588,14,74,63,266,18,99,323,1240,416,1683,21,93,39,133,87,259,148,479,565,2160,4,22,13,36,10,35,63,184,82,275,9,21,10,27,42,91,58,135,145,411,8,21,1031,3187
POA6176,145,285,4,45,10,40,9,46,115,404,137,540,5,31,15,53,29,88,57,178,193,710,0,0,3,17,0,8,14,45,21,66,0,4,4,3,8,20,15,31,37,99,0,3,376,1099
POA6180,540,1041,11,70,63,276,22,110,480,1828,576,2280,17,56,42,142,91,262,145,464,722,2748,0,3,21,77,7,31,109,313,140,431,10,19,16,29,49,114,76,168,210,598,16,28,1489,4417
POA6181,49,95,3,14,11,40,3,8,27,126,42,194,5,23,10,32,22,60,34,114,79,307,0,0,0,0,0,0,4,15,4,15,0,0,3,3,5,10,9,16,13,31,0,3,138,428
POA6182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6207,119,240,0,5,17,72,4,32,65,255,89,368,12,40,7,34,33,92,50,165,135,529,0,0,0,4,0,0,13,25,15,30,0,3,0,4,9,11,10,15,23,48,3,4,283,822
POA6208,1561,3051,18,106,113,521,31,145,660,2544,826,3326,57,221,76,246,231,686,360,1158,1185,4482,3,20,45,167,19,73,234,665,304,919,22,59,37,84,161,325,216,473,525,1388,30,53,3297,8978
POA6209,243,485,3,35,26,107,11,54,73,288,111,488,20,86,15,37,44,135,77,261,192,743,0,0,5,22,3,9,34,92,40,126,0,3,8,15,26,56,40,81,79,204,3,8,518,1438
POA6210,8646,16833,143,791,645,2960,237,1052,3566,13433,4598,18232,347,1377,533,1762,1262,3815,2147,6958,6739,25190,43,180,240,874,127,453,1356,3691,1761,5194,123,407,260,565,935,1955,1317,2924,3079,8116,210,443,18679,50585
