POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA6315,271,522,3,17,16,77,9,34,92,393,120,523,7,29,12,25,21,66,35,125,159,645,0,0,3,12,3,8,34,92,36,113,0,8,7,11,24,47,32,64,70,183,8,11,514,1363
POA6316,41,79,0,0,3,9,0,0,22,103,28,112,4,10,0,5,7,23,13,37,39,152,0,0,0,0,0,0,7,18,7,18,0,0,0,0,3,4,3,4,9,21,0,0,88,250
POA6317,438,875,7,43,36,172,17,77,208,833,266,1129,15,55,15,48,81,263,112,371,380,1498,4,19,10,43,6,35,70,206,88,300,4,18,4,13,47,81,53,114,147,417,24,47,989,2842
POA6318,52,104,4,13,3,11,0,0,31,138,41,164,3,13,3,4,7,29,17,51,57,215,0,0,3,11,0,0,9,23,10,32,0,0,0,0,4,12,4,12,20,46,0,0,131,362
POA6320,65,123,0,0,8,31,0,10,34,157,46,194,5,15,0,3,9,15,8,34,54,233,0,0,0,5,3,14,13,45,18,58,0,0,0,3,5,14,4,14,25,75,4,14,144,441
POA6321,62,129,0,0,6,21,0,3,34,157,43,182,0,0,0,3,9,31,14,34,51,216,0,0,0,0,0,0,3,19,3,19,0,0,0,3,3,9,3,13,8,28,3,5,134,377
POA6322,43,87,0,0,0,6,0,0,8,45,9,50,0,3,0,0,6,13,6,24,21,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,7,8,8,10,0,3,66,171
POA6323,165,323,3,22,3,28,4,10,40,158,52,219,4,16,8,18,19,55,25,86,80,310,0,0,0,0,3,12,23,57,22,63,0,4,4,6,15,25,19,34,40,102,3,5,288,735
POA6324,429,842,7,25,38,176,12,49,182,733,238,989,14,48,24,72,54,162,88,286,325,1276,0,0,7,34,3,14,61,162,72,216,3,20,12,35,32,70,54,118,128,336,13,29,897,2485
POA6326,61,116,3,10,3,17,6,18,29,109,34,159,0,8,0,6,19,63,24,74,59,235,0,9,0,0,0,0,0,8,7,14,0,0,0,0,4,16,5,21,14,30,0,0,139,380
POA6327,42,79,3,11,5,27,0,9,20,66,25,106,0,0,0,0,7,25,7,25,32,127,0,0,0,0,0,0,3,11,3,11,0,0,0,0,3,11,3,11,8,19,0,0,74,222
POA6328,57,119,0,5,0,3,0,9,29,121,36,141,0,0,6,16,8,24,9,38,45,176,0,0,0,10,0,5,4,4,4,14,0,6,0,0,3,3,3,10,10,26,0,0,120,324
POA6330,4222,8288,87,483,388,1823,141,658,1983,7809,2599,10778,130,512,231,736,630,1972,985,3228,3584,14003,22,108,103,369,65,255,563,1554,764,2281,47,146,114,246,487,1042,652,1432,1411,3715,125,247,9338,26258
POA6333,792,1541,6,29,57,249,15,46,326,1242,396,1567,14,39,43,141,92,241,148,421,545,1994,3,4,23,85,3,10,88,221,117,329,5,25,33,72,44,95,88,189,206,512,8,23,1552,4070
POA6335,85,159,4,16,7,20,6,18,59,213,67,269,5,12,0,0,12,44,17,59,84,328,0,0,0,0,0,3,12,32,7,37,0,0,0,0,10,23,10,23,22,62,4,10,192,560
POA6336,34,71,0,0,0,3,0,0,23,97,27,99,0,0,0,0,7,11,7,11,29,110,0,4,0,5,0,0,7,14,7,21,0,0,0,0,6,10,4,11,12,29,0,4,79,215
POA6337,58,120,0,3,4,16,0,0,41,177,51,192,4,5,0,0,6,29,13,32,62,228,0,0,0,6,0,3,4,23,13,33,0,0,0,4,5,14,8,21,19,52,0,4,139,403
POA6338,94,180,0,0,4,20,0,0,45,169,51,189,0,0,0,5,9,30,12,36,60,225,0,0,0,0,0,0,5,18,5,18,0,0,3,4,0,0,3,4,6,16,3,3,161,430
POA6341,41,71,0,3,4,14,0,0,24,90,27,103,0,0,3,3,6,23,11,33,39,135,0,0,0,0,0,0,4,7,4,7,0,0,0,0,0,0,0,0,4,7,0,0,79,213
POA6343,17,36,0,4,0,13,0,0,21,95,27,110,0,0,0,3,7,15,5,16,34,127,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,3,0,3,8,10,0,0,58,175
POA6346,93,172,0,0,5,12,3,13,42,168,51,195,0,0,3,11,16,35,20,44,66,243,0,0,0,3,0,6,6,14,9,21,0,0,0,0,4,19,11,18,14,40,0,5,174,455
POA6348,118,231,0,0,0,11,3,18,48,181,52,213,0,3,0,7,9,27,14,37,64,253,0,4,0,0,0,4,7,25,12,33,0,0,0,0,7,17,7,17,18,46,0,0,202,528
POA6350,49,98,0,0,0,3,0,0,22,82,21,80,0,0,0,3,8,11,7,13,28,98,0,0,0,0,0,0,3,4,3,4,0,0,0,0,3,5,3,10,10,12,0,0,86,203
POA6351,6,13,0,0,0,3,0,0,10,48,16,50,0,5,0,0,0,4,0,12,13,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,72
POA6352,17,37,0,0,0,3,0,0,13,59,13,67,0,0,0,0,3,6,3,6,20,73,0,0,0,4,0,0,5,9,7,12,0,0,0,0,0,0,0,0,7,12,0,0,42,121
POA6353,90,186,0,6,3,3,7,12,57,227,67,252,0,4,5,13,8,31,17,52,82,305,0,6,0,0,0,0,12,29,14,34,0,0,0,0,7,17,7,17,17,50,0,3,191,542
POA6355,44,82,0,0,0,3,0,0,39,155,44,162,0,0,3,8,8,29,16,36,58,196,0,0,0,0,0,0,6,8,6,8,0,0,0,0,3,3,3,3,6,14,0,0,105,289
POA6356,10,18,0,0,0,0,0,0,14,45,14,45,0,0,0,0,0,3,0,3,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,25,69
POA6357,7,22,0,0,0,4,0,0,5,28,7,26,0,0,0,0,0,3,0,3,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51
POA6358,17,36,0,0,0,0,0,0,3,25,3,25,0,0,0,0,0,3,0,3,4,27,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,5,3,5,3,3,0,3,34,75
POA6359,49,100,0,0,7,15,0,0,34,131,37,143,0,3,3,4,4,16,8,28,48,172,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,0,0,0,4,18,0,0,108,289
POA6361,18,31,0,0,0,0,0,4,8,38,9,39,0,0,0,0,0,0,0,0,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,31,81
POA6363,12,26,0,0,0,3,0,0,10,44,15,46,0,0,0,0,0,0,0,0,15,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,30,84
POA6365,80,154,0,0,0,3,3,4,42,166,44,171,0,4,0,0,5,17,9,15,51,192,0,0,0,0,0,0,3,11,3,11,0,0,0,0,8,9,7,12,11,23,0,0,141,363
POA6367,40,76,0,3,3,19,0,5,19,72,27,98,0,3,0,3,10,16,6,26,38,119,0,3,0,4,0,6,9,22,9,33,0,0,0,0,4,4,4,4,13,40,0,3,90,235
POA6368,12,21,0,0,0,0,0,0,9,25,9,25,0,4,0,4,3,3,3,10,12,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,65
POA6369,103,201,0,0,4,14,0,11,43,153,43,181,3,13,0,0,14,34,14,49,64,229,0,3,0,3,0,8,7,26,7,32,0,0,0,0,0,7,0,7,13,41,3,3,183,476
POA6370,62,117,0,9,3,12,3,11,34,144,37,172,0,0,3,8,5,17,8,26,47,201,0,0,0,3,0,4,3,9,7,20,0,3,0,3,0,8,7,13,12,29,0,0,122,350
POA6372,12,32,0,0,3,4,0,0,3,18,5,28,0,0,0,3,0,3,3,6,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,8,3,6,0,0,28,69
POA6373,12,19,0,0,0,0,0,7,6,35,11,40,0,4,3,3,0,0,3,6,16,45,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,0,8,0,0,23,76
POA6375,137,270,0,0,6,26,3,15,53,204,62,247,0,7,6,13,9,26,18,42,75,290,0,0,3,15,0,4,15,56,20,76,0,0,3,6,4,15,8,22,29,94,3,3,253,664
POA6383,136,269,0,4,8,21,0,4,38,152,45,182,0,9,3,13,17,34,20,54,69,237,0,0,0,0,0,4,23,70,24,71,0,0,0,0,14,32,14,32,42,105,5,13,249,620
POA6384,4,4,0,0,0,0,0,0,4,19,4,19,0,4,0,0,0,0,3,9,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28
POA6385,5,7,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21
POA6386,9,20,0,0,0,4,0,0,3,17,3,16,0,0,0,0,0,12,3,9,11,29,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,7,4,7,3,11,0,3,28,65
POA6390,187,371,0,19,10,52,4,11,145,562,166,647,4,12,10,30,36,102,46,144,214,791,0,0,6,17,0,0,35,92,43,108,0,3,0,3,23,49,29,58,71,161,0,5,473,1325
POA6391,135,269,0,0,13,32,0,0,77,305,86,339,0,0,3,4,20,52,22,57,103,399,0,0,3,9,0,0,8,27,10,33,0,0,0,3,14,26,10,27,27,55,0,3,264,729
POA6392,75,148,0,7,3,9,0,0,30,126,30,144,0,0,3,7,4,14,7,24,41,162,0,0,0,3,0,0,9,29,8,30,0,0,3,5,3,3,3,7,13,36,0,3,127,343
POA6393,16,26,0,0,0,0,0,0,10,31,7,35,0,0,0,3,0,0,0,4,14,39,0,0,0,8,0,0,0,0,0,5,0,0,0,0,3,3,3,3,3,9,0,3,32,82
POA6394,79,156,0,0,7,29,5,19,29,120,45,166,3,3,0,4,9,17,10,30,49,192,0,0,0,0,0,0,3,9,3,9,0,0,0,3,0,0,3,3,4,12,0,0,136,359
POA6395,200,397,0,7,11,46,7,29,114,449,129,530,3,17,3,13,25,81,36,110,168,644,0,0,0,9,3,4,35,102,34,110,0,0,0,4,13,32,21,39,53,151,4,9,427,1190
POA6396,42,84,0,0,3,5,4,12,27,110,35,126,0,0,0,3,4,13,7,15,41,143,0,0,0,0,0,0,3,5,3,5,0,0,0,0,3,5,3,5,7,11,0,0,87,232
POA6397,15,26,0,0,0,0,0,0,3,19,3,19,0,4,0,0,0,0,0,4,3,20,0,0,0,0,0,7,3,9,0,8,0,0,0,0,0,3,0,3,3,17,0,0,28,62
POA6398,92,180,3,17,5,20,0,0,20,82,28,113,0,7,3,7,3,9,6,28,38,139,0,0,0,0,0,0,3,10,3,10,0,5,0,0,4,6,4,13,12,21,0,0,141,347
POA6401,815,1599,17,77,74,375,23,118,407,1604,521,2173,25,91,41,120,132,410,196,617,714,2791,4,19,26,106,22,79,159,474,211,673,14,29,21,48,128,273,162,346,368,1023,23,47,1920,5453
POA6403,19,32,0,0,3,18,0,0,5,23,11,43,3,8,0,3,8,23,13,33,18,76,0,0,0,0,0,3,4,7,3,13,0,0,0,0,0,0,0,0,3,13,0,3,42,124
POA6405,47,85,0,5,4,8,0,6,27,108,28,131,3,9,0,0,3,19,11,26,41,153,0,0,0,0,0,3,0,5,5,13,0,0,0,0,3,7,3,7,8,22,0,0,88,259
POA6407,113,215,0,4,9,44,0,7,67,269,79,322,0,4,4,8,31,92,34,97,109,424,0,3,3,12,0,0,11,40,17,55,3,10,0,0,11,22,10,31,33,90,5,10,256,734
POA6409,35,66,0,3,3,14,0,5,30,123,36,149,0,3,0,3,4,12,6,15,45,170,0,0,0,3,0,0,3,11,3,14,0,0,0,0,5,15,5,15,11,34,3,3,89,269
POA6410,125,248,0,0,11,53,7,40,59,209,76,308,4,10,4,15,10,36,21,53,96,366,0,3,7,26,3,13,22,62,35,100,0,3,3,7,12,31,17,41,50,141,6,8,275,759
POA6411,22,47,0,6,0,0,0,0,4,20,5,25,0,3,0,7,3,18,10,20,14,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,93
POA6412,10,18,0,0,0,4,0,0,0,12,3,14,0,0,0,3,0,3,3,6,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,17,39
POA6413,9,18,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,4,0,4,4,14,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,3,0,3,4,9,0,0,18,38
POA6414,13,27,0,0,0,0,0,0,7,24,7,24,0,3,0,0,0,0,0,3,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,54
POA6415,342,669,8,64,22,107,10,40,175,692,213,895,12,40,15,44,37,123,65,210,278,1103,3,11,12,38,9,36,46,130,68,222,0,3,11,21,28,64,39,86,109,305,9,22,737,2099
POA6418,98,190,0,0,3,24,4,13,43,182,55,216,0,3,3,5,9,25,15,36,66,248,0,0,0,3,0,0,10,25,14,33,0,0,0,0,7,15,7,15,21,44,0,0,182,486
POA6419,6,18,0,7,0,0,0,0,4,25,7,29,0,0,0,3,0,0,0,3,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,48
POA6420,11,17,0,0,0,6,0,3,9,26,8,37,0,0,0,3,4,6,6,17,12,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,27,67
POA6421,15,35,0,0,0,0,0,0,16,52,16,52,0,0,0,3,0,5,3,3,12,54,0,0,0,0,0,0,5,12,6,14,0,0,0,0,0,4,0,4,5,18,0,0,37,105
POA6422,9,14,0,0,0,0,0,0,8,26,8,26,0,0,0,4,0,0,0,4,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,42
POA6423,23,53,0,0,0,3,0,4,6,30,9,40,0,3,0,0,0,5,3,12,9,54,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,7,0,7,4,11,0,0,40,111
POA6424,10,24,0,0,3,7,0,0,4,18,7,22,0,0,0,0,3,3,3,3,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,52
POA6425,18,37,0,0,0,3,0,0,3,21,4,22,0,0,0,0,0,4,0,4,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,56
POA6426,101,194,0,0,0,7,0,5,49,190,50,200,0,3,4,12,12,40,19,52,66,257,0,5,0,8,0,0,16,41,19,56,0,3,3,7,19,32,25,46,41,96,0,7,215,545
POA6427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6428,6,9,0,0,0,4,0,0,9,28,5,31,0,0,0,3,4,11,5,11,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,49
POA6429,80,166,3,9,7,31,4,19,46,181,59,231,7,17,0,4,14,42,18,61,72,289,0,0,0,3,3,11,32,92,35,113,0,0,0,0,16,36,16,36,52,147,4,8,213,611
POA6430,1967,3816,48,280,261,1177,124,585,1826,7094,2261,9144,101,415,143,443,360,1116,601,1980,2863,11115,9,46,40,146,23,95,339,950,413,1244,23,72,41,94,191,421,261,583,673,1821,84,178,5592,16941
POA6431,58,125,0,0,6,19,13,66,64,242,72,319,0,3,4,9,7,38,15,50,87,372,0,0,0,3,4,31,22,60,30,98,0,0,3,4,16,33,13,38,45,137,14,42,202,673
POA6432,543,1076,14,81,41,189,45,221,469,1811,571,2301,24,98,27,78,118,364,160,535,733,2834,0,13,16,52,19,73,154,450,191,589,9,36,20,40,106,219,129,294,318,884,26,57,1626,4852
POA6434,7,5,0,0,0,3,0,0,3,15,3,16,0,0,0,0,3,8,3,8,9,27,0,0,0,0,3,18,0,3,6,23,0,0,0,0,0,0,0,0,6,22,0,0,15,61
POA6436,6,13,0,3,0,0,0,0,3,20,8,20,0,4,0,3,0,0,0,9,8,26,0,0,0,3,0,3,3,7,3,15,0,0,0,0,3,4,3,4,9,16,0,0,17,57
POA6437,32,61,0,0,3,10,0,5,38,159,48,174,0,3,0,0,0,3,3,10,46,187,0,0,0,0,0,0,6,25,11,21,0,0,0,0,4,10,4,10,12,32,0,0,93,270
POA6438,50,97,0,4,3,7,8,25,17,77,30,115,0,3,0,4,8,29,9,31,39,153,0,4,0,0,3,18,16,45,20,62,0,0,0,0,6,18,6,18,25,84,3,5,117,335
POA6440,52,98,3,10,7,21,5,19,27,118,37,166,0,0,0,0,4,20,5,25,39,191,0,0,0,8,0,13,19,60,23,87,0,0,4,3,3,16,6,19,33,100,0,5,124,392
POA6442,212,405,7,43,28,138,20,81,193,733,243,992,10,22,21,62,33,101,61,191,310,1187,0,0,4,14,3,12,60,164,65,192,3,5,3,10,19,46,32,67,93,252,3,7,618,1855
POA6443,80,150,0,0,3,11,0,0,27,113,30,124,0,3,0,0,9,24,7,26,40,151,0,0,0,7,4,12,17,51,24,68,0,0,0,0,9,23,10,21,38,85,4,3,151,386
POA6445,18,32,0,0,0,7,0,0,16,57,15,62,0,0,0,0,4,22,5,22,21,83,0,0,0,0,0,0,3,13,3,13,0,0,0,0,3,6,3,6,6,18,0,0,41,128
POA6446,10,29,0,0,0,0,0,0,12,49,12,49,0,4,0,0,0,3,3,7,14,53,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,3,0,3,3,4,0,0,31,83
POA6447,18,32,0,0,5,15,0,6,11,54,19,69,0,0,3,8,3,4,5,14,21,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,3,10,3,10,0,0,43,126
POA6448,37,75,3,12,3,23,5,23,27,105,32,160,4,14,3,6,4,17,12,35,44,196,0,0,0,4,0,4,0,7,3,13,0,0,0,3,0,0,0,3,8,18,0,3,90,284
POA6450,1382,2703,33,161,158,714,38,167,780,3083,1006,4126,60,226,93,284,227,675,381,1186,1389,5308,6,17,32,120,24,76,217,598,270,811,10,39,38,82,149,302,197,420,471,1236,42,89,3288,9335
POA6452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6460,91,182,0,0,0,3,0,0,48,211,54,209,3,11,4,7,15,33,20,51,69,267,0,0,3,8,0,3,16,31,17,47,0,3,0,3,5,13,8,16,21,60,3,4,186,511
POA6461,70,137,0,3,3,12,0,4,37,154,42,175,0,3,0,6,9,21,14,33,53,206,0,9,0,0,0,4,11,27,9,36,0,3,0,3,7,11,8,18,18,58,3,0,148,401
POA6462,18,34,0,0,3,20,0,12,11,40,16,67,0,0,0,0,3,5,3,5,14,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,108
POA6463,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14
POA6465,4,4,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,5,0,5,4,12,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,18
POA6466,18,29,0,0,0,3,0,0,3,12,6,15,0,0,0,0,0,3,0,3,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,49
POA6467,5,8,0,0,0,0,0,0,3,9,3,9,0,0,0,3,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,10,26
POA6468,26,49,0,0,0,10,0,0,18,55,16,68,4,15,3,3,3,11,9,32,27,93,0,0,0,3,0,0,6,13,8,19,0,0,0,0,4,8,4,8,7,26,0,0,60,170
POA6470,0,8,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16
POA6472,18,33,0,0,3,12,0,3,23,76,28,90,0,0,0,3,4,6,4,6,28,98,0,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,4,5,0,0,50,136
POA6473,7,18,0,0,0,0,0,0,4,15,5,17,0,0,0,0,0,4,0,4,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,31
POA6475,52,103,0,0,4,13,0,3,32,126,36,140,3,9,3,7,3,0,10,19,45,159,0,0,0,0,0,4,7,13,8,16,0,0,0,3,9,8,6,15,14,34,0,3,112,294
POA6476,10,24,0,0,0,0,0,0,3,20,3,20,0,0,0,0,0,3,0,3,4,20,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,14,44
POA6477,26,57,0,0,4,3,0,4,21,74,19,84,0,0,0,10,8,17,10,25,29,109,0,0,0,0,0,0,3,12,3,12,0,0,3,0,0,3,3,7,10,22,0,0,71,182
POA6479,79,160,0,0,5,23,3,8,45,171,51,203,0,0,0,0,8,24,8,24,61,227,0,0,0,0,0,6,6,15,6,20,0,0,0,0,5,13,5,13,13,37,0,4,158,419
POA6480,4,4,0,0,0,5,0,6,3,11,3,19,0,3,0,0,0,5,4,10,6,29,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,3,11,38
POA6484,4,5,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,4,3,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15
POA6485,59,111,0,0,0,3,3,17,21,95,29,115,0,3,0,0,8,28,12,32,37,147,0,0,0,5,0,3,6,18,5,23,0,0,0,0,0,4,0,4,14,36,0,0,111,291
POA6487,5,12,0,0,0,0,0,7,0,7,0,7,0,0,0,0,0,3,4,8,3,13,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,12,33
POA6488,28,58,0,0,3,5,0,0,8,31,12,43,0,0,0,0,3,8,3,8,10,45,0,0,0,0,0,0,3,16,3,16,0,0,0,0,3,5,3,5,5,16,0,3,49,122
POA6489,13,24,0,0,0,0,0,0,3,19,3,19,0,0,0,0,0,3,0,3,3,19,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,22,52
POA6490,32,61,0,3,4,9,3,13,14,54,18,79,0,3,0,3,3,9,10,18,26,99,0,0,0,0,0,0,3,15,3,15,0,0,0,3,0,3,0,5,5,17,0,3,67,186
POA6501,116,229,4,16,17,69,6,38,49,190,78,309,8,46,4,20,27,81,46,149,118,456,0,4,0,3,0,4,7,28,14,45,3,4,0,3,13,25,17,35,30,73,0,0,264,756
POA6502,176,344,3,9,8,49,8,25,60,235,79,321,6,12,5,16,22,60,28,87,110,406,0,0,3,17,7,10,12,39,20,69,0,0,3,3,9,21,14,25,36,89,3,4,325,844
POA6503,283,559,0,3,27,130,7,46,117,477,162,658,7,38,22,57,39,113,67,205,223,863,3,10,8,16,0,11,36,93,46,133,0,0,4,4,10,19,13,30,58,159,6,15,575,1595
POA6504,25,53,3,11,3,6,0,0,8,19,6,34,3,8,0,0,3,12,5,22,18,55,0,0,3,6,0,0,0,3,3,8,0,0,0,0,0,0,0,0,3,8,0,0,47,119
POA6505,21,38,0,0,0,0,0,5,7,16,9,27,0,3,0,5,3,15,5,27,14,49,0,0,0,0,0,0,0,6,0,6,0,0,0,3,0,0,0,3,4,6,0,0,37,90
POA6506,14,19,0,0,0,0,0,0,0,7,0,7,0,0,0,0,3,14,3,14,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,20,43
POA6507,86,161,0,6,3,12,3,13,33,125,36,160,0,7,0,0,6,29,10,34,47,188,0,0,0,0,0,0,0,4,0,4,0,0,0,3,4,10,6,8,5,13,3,9,142,372
POA6509,18,35,0,0,0,3,0,5,19,65,21,75,0,0,0,3,0,3,3,6,20,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,113
POA6510,208,409,3,10,14,67,13,59,110,447,141,582,6,28,18,42,42,124,65,195,204,775,0,5,0,10,3,13,37,106,47,139,0,0,3,4,28,58,32,64,73,201,7,10,491,1400
POA6511,87,162,0,0,0,0,6,18,23,88,29,106,0,0,0,6,6,14,10,25,40,129,0,0,0,0,0,0,5,11,5,11,0,0,0,3,8,13,10,11,11,22,0,3,134,323
POA6512,13,24,0,0,0,6,0,0,8,36,13,45,0,0,0,4,0,0,0,4,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,77
POA6513,22,41,0,0,3,11,3,7,17,68,22,89,3,5,3,7,5,9,7,27,27,117,0,0,0,0,0,3,0,3,3,5,0,0,0,0,3,3,6,7,4,10,0,0,52,169
POA6514,113,217,0,3,4,11,0,6,24,112,33,133,3,10,0,0,3,20,10,23,37,155,0,0,0,0,0,0,7,19,7,19,0,5,0,0,11,13,13,21,17,41,0,4,170,412
POA6515,50,103,0,0,0,3,0,9,18,62,18,73,0,0,0,0,3,19,3,19,23,85,0,0,3,14,0,0,0,3,3,16,0,0,0,0,3,3,3,8,5,21,0,0,83,210
POA6516,251,481,7,17,13,42,0,3,103,372,114,438,3,15,13,22,27,76,44,116,157,554,0,3,4,21,0,4,29,75,37,102,0,7,5,7,22,38,28,49,64,156,4,3,477,1195
POA6517,56,112,0,0,3,13,0,0,23,89,23,107,0,3,3,6,7,16,8,22,34,130,0,0,0,0,0,0,6,13,8,14,0,0,0,0,0,3,0,3,6,17,0,3,100,258
POA6518,35,65,0,0,3,10,0,0,14,47,14,58,0,4,0,4,3,8,8,16,22,76,0,0,0,0,0,0,3,11,9,18,0,0,0,0,0,0,3,3,7,16,0,3,65,160
POA6519,67,135,0,0,3,6,3,11,46,188,51,208,0,4,4,5,0,11,9,18,61,228,3,17,0,3,3,10,7,25,14,52,0,0,0,0,10,11,10,11,22,66,3,8,152,431
