POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA6427,77,11,94,0,0,0,0,0,0,0,0,0,3,0,3,30,8,36,19,4,27,18,3,19,11,3,13,0,0,0,0,0,0,0,0,0,73,10,85,5,0,4,6,0,4,0,0,0,0,0,0,6,0,4,37,9,42,24,3,23,50,9,61,5,0,8,38,11,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,30,7,0,15,14,3,17,3,0,3,0,0,0,0,0,0,0,0,0,314,49,365
POA6428,28,29,54,0,3,8,8,7,11,0,0,0,0,0,3,3,3,3,4,3,9,0,0,4,7,3,4,0,3,3,0,0,0,0,0,0,24,27,53,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,27,28,54,0,0,0,28,30,52,0,0,0,28,28,54,0,0,0,8,7,11,0,0,0,0,0,0,0,0,0,12,10,22,3,3,3,9,3,7,0,3,3,0,0,0,0,0,0,24,29,54,0,0,0
POA6429,532,458,992,40,25,64,65,67,136,35,26,65,32,26,52,57,48,105,49,63,112,85,75,157,84,76,157,63,36,98,17,11,32,3,0,3,485,416,900,47,44,89,127,141,267,0,0,0,3,3,4,131,138,267,384,330,712,66,54,118,434,365,796,41,39,76,429,365,792,3,6,9,60,53,114,19,14,34,0,3,4,7,8,15,86,94,183,53,53,111,128,110,242,51,33,80,29,18,46,0,0,0,435,371,806,101,92,188
POA6430,11768,10975,22746,1043,960,1998,1658,1665,3321,680,689,1365,806,703,1506,2075,2037,4109,1784,1696,3477,1686,1436,3117,1233,1047,2282,571,430,997,203,243,442,42,78,122,11015,10425,21445,749,547,1298,563,649,1215,11,15,24,11,25,36,587,684,1276,7638,7119,14755,2949,2863,5814,9218,8608,17829,1438,1434,2875,8724,8154,16883,196,174,365,1480,1483,2963,419,437,862,131,104,234,283,479,763,3640,3944,7584,1165,1044,2214,2380,1880,4258,488,344,832,275,218,494,36,22,58,10166,9773,19944,1872,1209,3087
POA6431,586,420,1012,38,27,68,69,43,109,42,42,83,54,46,102,108,86,193,98,60,162,84,48,136,63,44,105,28,14,42,0,3,9,4,0,4,524,385,915,61,37,96,336,321,654,0,0,0,3,9,10,339,328,663,465,369,837,77,33,107,190,71,267,341,319,664,495,385,880,7,4,10,55,33,90,9,8,13,0,4,4,9,13,23,134,91,225,36,36,75,108,66,182,49,34,83,54,54,106,14,3,16,394,368,758,625,144,767
POA6432,3752,3340,7092,280,283,559,510,485,995,224,203,422,283,241,523,596,568,1166,541,472,1019,555,495,1048,488,353,847,219,159,373,47,68,114,11,22,28,3468,3151,6618,287,186,473,415,418,833,4,3,13,13,10,20,428,435,867,2558,2290,4848,684,623,1308,2941,2672,5612,269,278,553,2744,2511,5257,41,62,102,440,418,863,99,99,202,15,23,39,32,118,143,794,889,1687,394,331,731,951,736,1693,197,144,337,102,67,173,8,10,20,3105,2913,6024,644,446,1097
POA6434,118,49,174,3,4,10,3,4,5,7,3,13,3,8,13,36,11,50,22,7,31,19,8,24,14,10,22,6,0,7,0,0,0,0,0,0,122,47,171,0,3,3,22,21,46,0,0,0,0,0,0,22,25,51,82,38,119,24,6,25,96,40,130,20,13,28,98,39,142,0,0,0,3,4,5,0,0,0,0,0,0,0,3,4,40,16,56,18,3,17,31,17,47,4,7,10,9,0,8,0,0,0,55,46,105,146,27,179
POA6436,60,51,107,4,0,3,6,9,15,3,4,8,4,3,4,7,3,14,5,7,11,7,7,17,8,4,17,9,8,14,0,0,0,0,0,0,49,51,102,7,3,8,19,22,48,0,0,0,0,0,3,25,27,48,36,36,77,3,4,9,38,40,82,5,5,9,40,45,80,0,0,0,4,7,15,0,3,3,0,0,0,0,0,0,11,11,22,7,4,11,12,7,18,0,5,5,0,0,0,0,0,0,43,41,87,40,21,61
POA6437,373,214,584,31,26,54,27,36,61,8,4,9,14,7,18,99,55,159,70,34,113,75,32,105,36,13,48,10,3,19,0,0,0,0,0,0,359,189,551,10,18,32,15,4,18,0,0,0,0,0,0,15,4,18,183,121,309,71,47,115,239,158,395,20,18,40,220,137,363,0,3,7,27,30,55,3,0,5,0,0,0,12,11,18,98,61,161,32,24,56,61,31,90,12,9,20,3,3,9,0,0,0,159,156,318,880,142,1016
POA6438,511,313,831,24,26,44,42,30,68,19,10,33,36,23,59,129,71,197,97,34,138,78,52,128,53,39,92,25,18,45,12,4,14,5,0,5,468,298,771,43,18,60,85,94,178,0,0,0,0,3,4,91,91,184,300,200,507,89,46,139,357,226,577,42,28,75,343,219,564,0,3,5,28,17,48,3,0,6,3,3,4,12,10,23,159,96,259,55,24,78,92,40,138,18,22,37,12,11,23,3,0,9,229,218,442,780,225,1007
