POA_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
POA6466,31,32,67,4,0,3,0,3,3,0,0,0,3,0,3,7,6,8,0,0,3,3,6,10,6,10,13,7,3,9,0,0,3,0,3,3,33,24,60,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,29,20,52,0,8,8,31,23,55,0,0,0,29,25,53,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,17,10,20,3,0,4,11,9,21,0,0,0,0,0,0,0,0,0,33,25,52,3,3,9
POA6467,18,17,32,0,3,6,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,3,6,3,0,3,4,0,7,0,0,0,0,0,0,11,17,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,22,3,3,8,14,11,28,0,0,0,13,10,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,3,0,4,3,3,6,0,0,0,4,0,4,0,0,0,11,17,30,0,0,0
POA6468,147,103,250,8,8,20,20,7,28,4,3,8,9,4,12,13,11,32,30,18,52,12,15,31,28,10,38,16,12,22,9,3,14,0,0,0,126,86,215,21,14,31,6,0,5,0,0,0,0,0,0,6,0,5,109,75,180,18,15,36,116,91,204,6,4,13,115,86,195,0,0,0,17,7,30,3,3,4,0,0,0,0,8,8,50,37,86,8,9,14,24,20,47,6,4,16,12,3,16,0,0,0,116,89,203,17,13,30
POA6470,9,6,18,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,0,3,0,0,0,0,0,0,9,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,3,0,3,12,6,15,0,0,0,10,6,14,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,12,6,15,0,0,0
POA6472,96,79,177,5,3,15,18,15,36,0,3,5,0,4,4,11,11,20,6,15,27,21,15,36,11,4,19,11,4,19,3,3,3,3,0,3,90,74,165,6,11,12,0,3,3,0,0,0,0,0,0,0,3,3,81,68,149,9,6,12,91,71,165,0,0,0,86,69,157,3,0,3,21,15,30,0,0,0,0,0,0,0,3,3,36,40,75,7,3,10,22,16,35,0,0,0,4,3,4,0,0,0,90,68,163,22,6,32
POA6473,21,23,43,0,3,8,0,0,0,0,0,0,0,0,0,5,3,11,3,3,9,3,3,4,3,4,6,3,3,10,0,0,0,0,0,0,17,21,37,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,13,18,39,3,0,3,18,19,41,0,0,0,15,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,17,0,0,3,5,7,13,3,0,3,0,0,0,0,0,0,17,21,37,0,3,6
POA6475,211,189,399,11,17,25,31,22,52,4,7,13,5,7,11,20,22,38,25,21,52,26,18,49,47,38,85,23,17,46,7,17,24,4,4,7,182,179,364,22,8,33,4,11,10,0,0,0,0,0,0,4,11,10,171,155,329,19,19,44,195,181,379,0,0,0,187,173,357,0,0,3,33,22,52,3,6,7,0,0,0,0,3,3,54,64,120,20,15,33,49,44,94,11,9,18,19,4,25,0,0,0,187,176,363,13,14,27
POA6476,27,31,53,0,3,6,0,3,10,0,0,0,0,0,0,0,8,10,5,0,9,4,7,12,7,3,10,3,0,4,0,0,0,0,0,0,27,25,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,50,3,0,7,28,30,50,0,0,0,27,31,53,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,9,15,21,0,3,0,12,4,12,4,0,4,0,0,0,0,0,0,26,30,56,0,0,0
POA6477,155,120,273,17,16,29,11,12,25,9,0,6,0,5,5,20,16,35,29,21,50,27,15,40,17,14,26,14,12,26,12,8,15,3,4,8,135,116,250,13,10,20,0,0,3,0,0,0,0,0,0,0,0,3,116,97,209,13,16,27,134,110,243,0,0,3,121,98,224,3,0,5,8,9,21,4,0,8,0,0,0,0,7,3,49,40,91,14,7,19,25,26,51,14,4,17,4,3,9,0,0,3,129,107,233,21,10,35
POA6479,292,260,548,24,24,47,38,32,72,9,3,12,8,9,18,41,38,83,41,28,68,30,36,62,43,38,82,29,24,58,19,21,35,6,3,13,256,239,499,31,16,48,9,19,29,0,0,0,0,0,0,9,19,29,230,205,436,28,31,59,258,231,491,3,11,11,256,221,478,4,3,7,36,28,63,4,0,3,0,0,0,3,7,9,72,84,153,30,21,50,76,59,135,15,8,24,10,12,26,0,0,0,256,238,489,26,19,42
POA6480,22,25,49,0,0,0,3,7,8,0,0,3,0,0,4,0,5,6,0,4,3,6,8,8,3,0,7,3,0,4,3,0,3,0,0,0,22,25,48,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,19,33,6,6,14,19,24,43,0,0,0,21,21,42,0,0,0,4,3,5,0,0,0,0,0,0,0,3,3,10,14,17,0,0,0,7,3,9,3,0,3,4,0,4,0,0,0,18,22,46,0,3,5
POA6484,75,24,96,0,0,0,0,0,0,0,0,0,0,0,0,18,3,20,20,0,20,21,5,26,15,4,20,3,0,5,3,0,4,0,0,0,72,19,90,3,3,5,3,0,3,0,0,0,0,0,0,3,0,3,36,14,51,23,4,21,56,19,69,6,0,6,50,14,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,30,6,3,15,18,3,22,3,0,8,4,0,4,0,0,0,21,7,31,177,42,225
POA6485,260,232,498,15,4,23,23,23,50,6,3,9,8,8,17,28,24,55,13,24,39,45,30,76,45,42,90,44,34,79,21,29,44,5,17,23,252,217,467,10,16,26,10,3,8,0,0,0,0,0,0,10,3,8,201,170,372,22,30,51,224,204,421,6,4,8,222,193,416,3,4,3,15,24,43,0,0,4,0,0,0,3,4,9,73,73,141,25,11,39,48,46,93,25,15,36,15,13,33,0,3,3,217,199,412,46,39,84
POA6487,35,14,50,0,0,0,3,3,6,0,0,0,3,0,4,0,0,0,3,0,8,10,9,17,8,0,10,3,0,4,0,0,3,0,0,0,30,14,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,36,4,3,8,29,16,41,0,0,0,21,11,40,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,10,4,21,4,0,4,3,7,5,0,0,0,0,0,0,0,0,0,27,19,40,7,0,10
POA6488,99,96,193,3,4,10,11,18,23,4,0,8,0,3,4,10,9,21,12,12,21,21,18,35,18,11,27,13,12,24,4,9,12,0,0,3,92,88,184,7,4,15,6,9,14,0,0,0,0,0,0,6,15,17,75,66,145,11,9,21,85,80,171,0,0,0,89,73,164,0,0,0,4,14,21,0,0,0,0,0,0,0,0,0,24,16,42,10,8,16,24,18,45,9,5,18,12,7,13,0,0,0,83,80,166,15,17,27
POA6489,57,43,104,0,0,3,6,0,6,3,0,3,5,3,7,0,0,3,4,4,10,10,5,12,15,8,23,10,6,20,3,0,5,3,5,8,50,38,92,5,3,11,0,0,3,0,0,0,0,0,0,0,0,3,42,32,71,8,5,16,48,34,77,0,3,5,44,35,81,0,0,0,6,0,6,3,0,3,0,0,0,0,0,0,14,8,23,4,0,9,15,11,19,6,0,5,3,3,6,0,0,0,42,32,67,11,9,20
POA6490,132,118,257,7,12,19,17,8,28,9,9,13,12,10,20,14,9,19,4,19,24,19,16,31,28,24,48,14,4,22,9,7,17,8,0,8,118,108,229,13,12,20,5,11,19,0,0,0,0,0,0,5,11,19,102,101,203,20,15,28,116,104,228,4,3,11,115,106,226,3,0,3,18,5,25,0,4,8,3,3,6,0,3,3,39,37,75,10,13,23,33,39,70,7,8,15,6,3,6,0,0,0,118,110,227,12,9,19
POA6501,497,466,968,17,22,38,71,60,133,43,23,67,29,17,46,49,46,95,70,64,131,85,82,166,74,69,145,46,52,99,23,22,40,3,3,9,467,443,907,35,24,57,7,10,13,0,0,0,0,0,0,7,10,13,347,317,662,84,102,190,431,422,855,15,6,25,414,395,813,3,4,5,58,57,116,25,16,38,3,8,15,0,10,13,108,138,240,58,54,120,128,111,242,40,20,58,18,10,30,0,0,3,432,425,859,41,29,70
POA6502,593,593,1183,24,31,56,79,88,167,55,38,90,21,32,53,42,55,95,67,60,125,80,80,155,85,89,177,89,81,163,53,32,86,0,8,15,542,557,1096,45,36,84,38,41,76,0,0,0,0,0,3,41,40,81,445,421,863,102,117,225,527,515,1044,25,32,53,513,503,1023,3,9,9,70,82,150,44,29,76,3,3,4,0,17,23,138,176,316,64,66,126,165,139,306,46,25,69,30,13,40,0,0,3,491,497,997,81,87,165
POA6503,1140,1044,2177,79,50,129,137,145,275,51,56,106,58,44,103,136,130,267,124,130,251,150,164,315,173,133,302,142,121,266,62,61,120,22,12,36,1055,984,2042,84,56,137,18,20,39,0,0,0,0,0,0,18,24,43,736,685,1422,264,236,497,905,860,1761,133,101,231,908,858,1765,14,5,20,118,123,248,34,40,77,4,10,21,7,21,30,302,365,664,96,92,190,284,223,510,71,39,108,37,33,73,10,5,14,980,935,1913,124,92,224
POA6504,79,81,157,3,0,4,4,10,13,3,5,14,3,0,6,11,3,15,4,4,7,10,19,33,22,12,35,10,14,24,5,8,17,0,0,0,66,73,144,6,3,14,0,0,0,0,0,0,0,0,0,0,0,0,50,60,114,16,16,26,66,73,138,3,4,3,72,71,139,0,0,0,4,10,13,3,9,6,0,0,0,0,3,3,23,26,54,12,15,21,21,9,30,4,6,11,5,0,5,0,0,0,65,71,137,7,5,8
POA6505,62,50,114,3,8,9,3,3,7,3,0,3,3,4,6,6,6,13,6,3,12,13,10,17,16,12,25,9,9,16,6,3,10,0,0,0,58,49,107,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,56,48,105,0,4,9,56,47,112,0,0,0,59,48,107,0,0,0,3,3,7,3,0,3,0,0,0,0,3,3,25,19,42,9,4,11,16,16,29,3,0,5,5,0,3,0,0,0,56,50,103,6,5,7
POA6506,31,23,59,0,3,4,0,0,0,0,0,3,0,0,0,8,5,13,4,0,3,3,4,10,5,4,10,7,7,11,3,4,7,0,0,0,30,23,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,16,43,3,7,10,26,25,47,0,0,0,24,21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,21,3,0,3,8,6,11,0,0,4,0,0,3,0,0,0,26,25,51,3,3,3
POA6507,307,230,536,33,11,44,28,21,48,14,7,13,18,13,28,33,24,61,41,38,76,43,34,77,49,36,88,33,27,60,19,10,28,3,4,12,286,208,498,16,19,38,8,4,11,0,0,0,0,0,0,8,4,11,231,162,397,47,35,78,267,193,456,18,9,30,247,188,439,8,0,7,24,16,44,6,0,6,0,0,0,5,4,5,103,110,218,41,18,56,69,36,98,9,7,22,3,4,7,0,0,0,240,191,431,165,40,209
POA6509,122,80,205,9,3,13,10,19,26,4,0,4,0,0,3,11,12,20,22,13,34,29,17,40,14,4,23,12,7,20,12,3,14,0,0,0,111,74,188,9,10,20,0,0,0,0,0,0,0,0,0,0,0,0,75,50,126,11,23,35,76,54,135,6,12,18,78,55,133,3,0,3,6,16,21,3,0,3,0,0,0,3,0,3,45,37,80,6,9,12,16,5,22,3,0,3,0,0,3,0,0,0,69,70,137,66,17,84
POA6510,1006,968,1976,77,62,133,128,140,266,53,43,103,69,53,119,104,114,216,118,112,226,136,139,276,138,131,274,108,97,209,57,50,111,16,22,41,953,920,1870,57,45,103,112,118,234,0,0,0,0,0,3,115,122,238,782,725,1505,115,117,234,876,835,1719,39,32,71,858,816,1675,14,12,26,109,110,215,30,36,62,6,4,16,7,27,30,268,319,588,121,87,206,226,176,400,54,47,104,44,36,87,3,0,4,882,828,1718,153,139,297
POA6511,292,235,527,15,15,25,27,11,44,7,7,13,8,13,19,41,33,75,26,19,52,42,31,70,48,43,89,50,39,90,22,23,47,5,4,6,253,207,457,39,28,72,11,9,11,0,0,0,0,0,0,11,9,11,212,165,371,38,39,80,234,194,428,14,10,32,235,190,421,3,3,5,21,12,36,4,4,7,0,0,0,0,6,6,52,68,125,30,35,65,82,58,137,21,10,33,17,21,39,0,0,0,233,189,429,60,68,130
POA6512,51,44,97,4,3,5,9,7,14,0,0,0,3,0,3,3,0,6,11,7,16,13,10,20,6,6,12,3,3,9,4,0,4,0,0,0,50,43,95,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,37,40,78,5,0,9,43,40,89,0,0,0,41,40,83,0,0,0,3,11,12,0,0,0,0,0,0,0,0,0,12,18,34,4,3,9,10,11,24,7,0,7,0,0,0,0,0,0,46,42,87,3,4,8
POA6513,121,101,218,11,4,12,17,26,39,9,3,15,3,3,8,7,12,22,22,16,44,18,15,29,18,14,32,9,6,16,5,0,8,0,3,3,116,90,202,7,5,19,11,15,25,0,0,0,0,0,0,11,15,25,99,86,188,3,3,14,107,87,192,3,4,13,107,89,199,3,0,3,13,25,40,4,0,4,0,0,0,0,0,0,41,40,82,6,13,13,27,11,42,6,0,6,0,4,3,0,0,3,114,92,200,12,5,14
POA6514,350,292,648,22,11,33,29,29,59,12,4,21,9,15,20,28,18,42,28,27,53,49,41,88,78,84,161,70,56,124,22,16,39,4,3,5,286,258,539,67,35,105,10,8,18,0,0,0,0,0,0,10,8,18,279,224,508,37,35,71,320,261,586,5,10,13,310,254,569,4,0,4,27,26,48,8,0,12,0,3,3,0,4,4,65,68,134,26,32,59,138,108,244,33,22,52,7,5,14,0,0,0,280,248,523,43,45,90
POA6515,160,124,284,9,3,14,10,15,30,9,0,9,0,3,6,23,18,34,19,16,35,26,22,47,30,21,56,24,17,41,9,8,17,0,0,3,149,121,274,11,0,10,5,5,11,0,0,0,0,0,0,5,5,11,138,100,242,12,19,31,156,118,273,3,0,3,152,111,258,3,3,3,10,13,29,9,0,12,0,0,0,0,3,3,59,43,105,14,9,28,44,33,80,10,7,13,0,3,4,0,0,0,153,122,273,15,13,29
POA6516,894,867,1761,48,50,95,95,92,188,39,35,78,20,28,52,85,93,173,108,96,207,123,122,242,156,155,311,136,120,260,66,65,125,8,17,28,764,776,1543,124,90,211,23,22,45,0,0,0,0,0,0,23,25,49,701,662,1368,101,110,208,801,767,1563,19,26,47,789,751,1539,8,6,17,89,83,171,22,21,43,0,3,3,10,13,23,192,249,437,87,87,170,248,232,480,72,48,120,55,35,90,0,0,0,754,759,1513,137,117,256
POA6517,214,184,405,9,14,23,31,17,47,6,3,12,15,11,26,25,25,49,27,19,44,26,25,58,53,34,86,18,16,34,10,10,23,0,4,3,195,167,365,23,18,33,4,10,11,3,0,3,0,0,0,7,10,17,156,126,288,28,31,61,185,153,341,10,8,23,175,139,316,4,0,6,32,19,48,4,0,7,0,0,0,0,0,0,67,63,127,12,21,28,55,36,93,11,9,18,9,8,17,0,0,0,192,152,342,38,26,61
POA6518,110,102,209,4,3,10,9,14,24,4,7,5,3,5,9,17,14,24,13,11,24,21,20,41,15,12,22,23,14,38,3,9,9,0,0,0,99,89,193,10,11,20,4,5,6,0,0,0,0,0,0,4,5,6,90,77,162,16,16,28,106,91,200,0,4,7,103,93,195,0,0,0,14,14,23,4,0,5,0,3,3,0,0,4,34,30,62,9,12,26,30,22,54,5,9,12,6,0,9,0,0,0,100,89,195,37,24,61
POA6519,306,290,594,31,24,50,48,45,99,12,3,14,11,14,26,36,43,73,29,39,68,35,32,68,42,46,87,46,32,76,7,3,18,4,8,17,275,266,544,31,23,51,14,30,47,0,0,0,0,0,0,19,30,48,236,212,447,48,54,98,261,251,516,13,10,28,261,235,498,7,3,8,44,41,82,4,0,8,0,0,3,4,8,5,78,111,184,30,19,46,65,47,109,18,11,29,13,11,18,0,0,0,270,254,524,48,34,82
POA6521,186,167,352,3,12,15,16,21,37,8,8,11,8,6,17,23,28,53,14,18,30,31,30,61,36,23,56,31,28,55,8,4,14,0,0,3,178,153,327,12,11,25,3,3,7,0,0,0,0,0,0,3,3,7,147,118,263,29,35,65,166,155,320,8,5,14,160,136,296,0,0,0,16,18,30,4,0,5,0,0,4,0,6,6,81,82,158,14,15,28,45,28,70,9,3,17,7,3,14,0,0,0,162,156,320,37,21,59
POA6522,257,199,455,13,21,36,37,16,54,12,9,22,11,14,16,37,25,62,25,33,54,33,26,62,57,30,85,20,23,41,4,10,16,7,0,7,232,186,416,24,12,36,8,10,25,0,0,0,0,0,0,8,10,25,212,157,372,21,19,39,233,183,413,5,0,0,226,174,400,3,3,3,33,12,46,5,0,8,0,0,0,3,6,12,69,77,149,21,18,41,58,33,89,16,8,21,11,6,19,0,0,0,223,190,420,98,62,158
POA6525,1799,1772,3569,66,91,156,253,198,452,110,80,196,59,50,104,139,149,288,175,212,385,250,238,491,289,298,591,269,295,564,136,122,262,51,34,85,1588,1645,3229,210,132,336,40,46,84,0,0,0,0,0,0,40,46,84,1418,1370,2782,224,260,485,1640,1615,3256,25,48,70,1610,1560,3166,17,20,33,223,177,400,69,66,126,5,12,13,12,43,64,423,522,945,181,206,388,492,457,942,129,103,227,96,60,161,8,3,8,1563,1633,3193,274,210,482
POA6528,203,205,405,9,13,15,27,28,52,3,13,21,8,8,15,14,16,31,26,27,55,36,35,76,44,32,70,18,19,42,10,11,28,0,3,3,184,193,376,23,15,31,3,4,15,0,0,0,0,0,0,3,4,15,152,150,302,19,35,53,173,177,351,3,13,16,169,176,343,0,0,0,20,29,45,4,11,17,0,0,0,0,0,0,49,64,111,19,27,43,58,33,88,14,7,23,8,7,19,0,0,0,172,187,356,18,15,35
POA6530,15959,16492,32455,1051,1064,2115,2316,2297,4609,1162,1147,2311,939,921,1858,1876,2002,3879,1953,2107,4060,2291,2378,4673,1964,1987,3948,1375,1420,2794,769,858,1625,251,332,582,14608,15571,30176,1352,926,2276,1444,1623,3067,5,6,13,21,13,36,1475,1641,3122,12155,12501,24654,2362,2610,4972,13397,13874,27269,1188,1365,2554,13544,14085,27633,189,195,387,2088,2058,4142,679,735,1417,81,167,252,228,564,790,4291,5329,9625,1672,1792,3464,3565,3318,6891,909,721,1634,675,572,1251,60,64,120,13946,14860,28804,1695,1672,3368
POA6532,3470,3250,6725,253,224,475,462,494,951,213,198,413,201,161,358,448,407,855,505,463,969,541,532,1068,432,434,870,296,238,536,108,75,185,25,27,48,3183,3070,6252,287,179,470,304,188,495,3,6,6,16,4,20,321,198,516,2759,2516,5278,379,433,817,2794,2754,5547,128,150,278,2762,2746,5507,55,36,88,410,438,854,141,141,281,13,28,37,28,122,152,824,1080,1903,359,347,713,763,605,1365,168,112,285,101,70,164,3,3,8,2798,2888,5686,678,475,1152
POA6535,836,761,1596,46,48,93,80,81,163,31,28,53,25,23,52,59,56,115,84,75,154,117,120,235,181,153,331,136,103,239,57,62,119,18,20,41,768,690,1462,68,71,134,41,54,94,3,0,3,0,0,0,43,54,95,661,585,1249,76,91,164,749,674,1429,10,18,26,742,659,1409,11,12,22,69,71,146,13,15,30,0,3,3,0,16,14,191,222,417,63,74,139,240,181,422,63,35,94,59,37,93,0,0,3,732,676,1412,134,129,265
POA6536,800,759,1557,26,22,45,90,85,175,35,32,65,42,33,73,59,59,120,67,98,170,121,122,244,168,132,300,147,117,268,45,41,85,10,6,19,690,683,1367,113,74,191,37,32,65,0,0,0,0,0,0,40,32,71,585,538,1125,100,132,232,691,655,1345,19,26,42,678,644,1321,7,7,7,76,78,159,25,21,46,3,3,3,6,17,20,216,234,454,79,75,153,225,189,420,42,38,76,26,23,48,0,0,0,652,649,1303,658,637,1298
POA6537,492,421,910,37,36,70,51,41,92,7,11,15,19,24,39,59,65,119,70,64,131,60,56,114,78,56,136,84,56,135,19,13,31,10,5,14,447,402,845,44,16,63,37,31,68,0,0,0,0,0,0,37,31,68,350,294,645,84,86,169,406,350,759,32,31,64,400,344,747,8,10,14,48,36,86,5,3,6,0,0,4,4,7,12,129,152,277,48,42,97,126,80,209,25,26,56,15,3,26,0,0,0,426,391,817,611,526,1138
POA6556,1041,996,2034,50,43,95,170,121,293,90,63,152,54,50,111,99,97,195,105,133,235,181,184,373,158,152,314,91,87,186,24,40,69,12,11,23,964,954,1922,71,42,114,10,9,21,0,0,0,0,0,0,13,9,21,742,686,1430,227,227,457,943,898,1845,33,29,65,906,860,1770,15,12,21,153,115,268,56,45,102,14,13,30,4,36,42,293,388,676,119,109,231,270,217,494,47,31,79,16,12,30,0,0,0,959,935,1895,44,52,95
POA6558,2255,392,2642,34,17,48,58,59,114,40,26,63,262,20,281,694,28,720,575,67,644,330,73,406,154,62,213,87,35,121,23,9,39,0,0,0,2223,381,2600,31,15,47,533,3,533,0,0,0,25,0,25,554,3,563,1720,258,1975,478,85,559,329,323,656,24,27,49,326,325,655,10,3,12,51,54,101,9,22,24,3,4,5,0,7,8,105,143,244,42,29,72,102,84,186,14,15,34,10,3,12,0,0,0,340,356,692,1887,37,1928
POA6560,662,689,1352,37,25,66,80,92,174,49,50,101,40,30,76,61,75,139,81,88,169,98,102,206,103,116,213,61,75,135,35,29,61,3,3,8,605,655,1262,53,35,84,28,20,52,0,0,0,0,0,0,28,20,52,467,472,939,134,154,287,556,598,1156,49,41,96,551,588,1136,3,3,7,72,81,154,21,29,53,0,0,4,9,24,29,138,214,346,61,71,133,192,169,353,58,43,108,28,15,45,3,0,3,586,628,1211,50,44,93
POA6562,646,607,1257,39,27,67,107,71,174,25,31,63,27,12,40,55,65,119,74,72,146,85,102,188,108,110,219,97,80,178,30,20,53,0,7,10,606,585,1188,43,20,66,15,9,26,0,0,0,0,0,0,15,9,26,475,438,912,116,123,239,586,546,1136,11,18,33,561,532,1093,6,5,12,93,62,162,11,25,37,3,4,3,10,23,31,137,201,342,77,66,147,180,145,326,35,32,68,19,18,34,0,0,0,584,567,1151,45,35,81
POA6564,168,145,310,7,4,8,12,18,29,5,4,10,7,3,7,24,18,42,15,14,26,17,24,41,41,39,74,23,21,41,16,7,26,3,0,5,154,143,300,9,5,14,4,4,8,3,0,3,0,0,0,3,4,10,122,107,228,29,29,65,156,139,296,3,3,6,143,122,271,5,0,5,17,13,30,0,0,3,0,3,3,0,0,3,42,42,86,15,21,43,47,41,88,14,5,13,10,4,14,0,0,0,158,141,303,7,3,7
POA6566,1642,1631,3275,83,68,149,182,169,349,86,76,157,60,50,110,99,134,229,141,145,286,243,297,538,314,322,640,306,258,567,124,97,212,11,16,27,1495,1526,3026,151,103,249,49,39,86,3,0,3,0,0,0,47,42,90,1102,1119,2219,338,345,677,1413,1423,2837,58,58,114,1375,1383,2758,17,17,32,151,145,298,48,46,89,4,9,12,8,49,64,465,530,996,139,159,294,433,397,829,89,81,172,76,59,133,0,3,6,1407,1443,2852,187,183,370
POA6567,217,200,417,9,10,18,19,21,42,13,12,25,3,3,9,5,9,15,22,14,39,32,52,81,39,40,82,50,32,80,12,12,25,0,0,3,199,196,392,17,3,21,10,14,16,0,0,0,0,0,0,10,14,16,134,114,244,52,55,110,191,176,362,0,6,6,183,168,347,0,0,0,19,11,31,7,11,11,0,0,0,0,11,13,61,82,143,21,11,31,66,47,115,15,5,21,9,3,13,0,0,0,188,189,376,18,23,42
POA6568,123,100,226,6,3,6,10,10,21,10,7,16,8,3,9,8,10,15,13,14,23,32,28,56,22,14,34,13,15,21,3,3,5,0,0,0,113,95,204,8,5,19,3,3,5,0,0,0,0,0,0,3,3,5,104,83,186,11,10,24,119,99,217,0,0,0,114,89,208,0,0,0,10,10,21,8,11,11,0,0,0,0,7,7,35,34,69,13,14,27,41,34,71,8,3,10,7,3,11,0,0,0,114,100,215,0,0,0
POA6569,149,120,272,12,8,26,14,16,34,9,9,16,3,3,9,17,12,31,22,13,30,24,18,43,20,18,40,11,15,28,8,5,13,0,0,0,134,118,255,14,3,16,7,6,11,0,0,0,0,0,0,7,6,11,107,95,203,19,21,39,132,116,244,0,3,7,118,103,218,0,3,3,10,19,30,6,0,12,0,0,0,3,0,3,34,35,75,16,11,34,33,28,56,7,4,8,10,3,12,0,0,0,132,118,253,12,4,17
POA6571,32,39,75,0,0,0,0,9,15,0,0,0,0,3,4,3,5,8,4,4,9,7,3,11,4,8,12,4,6,9,0,0,0,0,0,0,33,42,69,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,24,33,57,4,8,11,29,39,68,0,5,5,29,38,67,0,0,0,0,9,15,0,0,0,0,0,0,0,4,4,14,12,25,4,3,9,13,8,17,0,0,3,0,0,0,0,0,0,33,43,71,0,0,0
