POA_CODE_2016,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
POA6000,10,152,1300,611,324,189,47,11,4,2644,25,128,336,96,50,64,25,3,0,723,0,9,49,29,13,12,5,3,0,128,0,8,10,10,4,3,0,0,0,39,37,297,1704,746,388,269,74,15,4,3538,3,22,70,48,26,26,0,0,0,203,18,31,25,11,6,3,8,0,0,97,21,55,94,60,33,31,8,0,0,304,56,351,1799,805,427,300,80,12,4,3840,67,150,187,85,81,140,146,77,22,952,15,86,347,161,106,95,41,16,9,875,136,593,2333,1052,607,534,274,108,32,5660,9,152,899,323,187,103,21,4,0,1691,37,187,407,133,80,67,26,3,0,930,0,7,54,21,7,8,6,0,0,106,0,3,9,4,8,0,3,0,0,34,46,350,1366,482,274,177,50,6,0,2758,0,18,50,33,15,5,0,0,0,137,18,32,50,14,5,10,0,0,0,118,15,49,100,45,27,14,3,0,0,259
POA6003,3,47,374,180,96,52,14,0,0,770,7,35,121,35,28,17,6,0,0,251,0,0,14,3,6,3,0,0,0,33,0,0,12,0,0,3,0,0,0,15,11,81,516,218,132,79,25,4,0,1070,0,3,17,8,8,14,0,0,0,48,8,7,10,0,0,0,0,0,0,26,8,10,19,8,8,13,0,0,0,76,16,93,540,232,142,93,24,4,0,1143,15,18,36,26,15,41,51,24,9,242,7,41,140,64,37,28,10,5,0,331,35,157,713,319,200,160,88,38,9,1716,3,52,330,100,57,42,4,0,0,590,14,57,127,41,26,21,11,0,0,298,3,3,11,3,3,4,0,0,0,34,0,6,8,0,0,0,0,0,0,17,19,117,474,146,81,72,19,0,0,930,0,5,14,14,4,4,0,0,0,44,0,7,9,0,4,0,0,0,0,27,0,14,27,14,8,5,0,0,0,70
POA6004,3,158,1111,497,341,272,60,10,0,2451,23,131,259,83,51,47,48,7,0,650,0,6,39,20,17,14,3,3,0,111,0,9,21,8,13,3,0,0,0,52,28,305,1436,612,421,338,110,16,0,3268,0,19,66,44,34,33,9,0,0,207,16,27,26,11,5,4,8,0,0,99,21,46,96,54,40,38,12,0,0,310,47,350,1530,667,456,379,125,22,0,3577,73,117,142,41,69,116,205,111,31,907,19,79,316,124,73,89,46,32,7,782,140,540,1990,830,595,585,377,158,40,5265,9,171,793,282,221,150,27,0,0,1646,29,135,343,111,78,90,44,4,0,834,3,11,43,24,11,16,8,0,0,107,0,7,15,3,5,0,0,0,0,41,43,329,1187,422,309,258,77,3,0,2621,3,17,57,33,8,4,0,0,0,121,11,28,42,19,11,3,3,0,0,119,16,47,101,55,18,12,3,0,0,242
POA6005,3,92,635,286,156,115,25,8,0,1320,13,65,115,53,29,27,23,5,3,326,0,7,25,9,10,5,7,0,0,53,0,4,12,3,3,0,0,0,0,22,14,157,783,351,195,147,54,13,3,1718,0,9,36,30,32,6,6,0,0,113,3,15,15,7,0,0,0,0,0,38,3,27,46,29,32,6,8,0,0,157,18,186,830,384,230,153,61,12,3,1876,25,52,80,34,39,52,113,73,18,487,5,39,145,71,50,28,31,14,3,390,53,273,1053,489,317,229,208,98,27,2754,0,93,521,152,112,62,15,0,0,963,14,66,174,74,37,42,17,3,0,433,0,0,25,5,7,5,0,0,0,45,3,4,19,3,3,0,0,0,0,31,23,163,739,233,154,111,36,8,0,1464,0,3,26,11,7,0,0,0,0,55,8,10,22,9,7,3,0,0,0,70,13,15,45,21,15,3,0,0,0,124
POA6006,12,102,535,485,427,229,45,0,0,1827,51,83,128,70,59,71,42,7,0,496,0,3,15,13,6,4,0,0,0,42,0,0,10,3,10,0,3,0,0,30,64,185,681,569,498,310,87,5,0,2396,5,15,22,19,26,24,3,0,0,113,15,12,7,0,5,4,0,0,0,51,23,26,29,20,31,31,5,0,0,167,86,208,716,591,534,340,91,9,0,2568,83,36,56,45,70,100,169,146,75,794,4,12,63,40,42,35,23,15,12,234,174,256,832,678,641,477,286,173,83,3593,5,90,441,236,268,123,16,4,0,1178,63,127,183,255,205,139,39,7,0,1014,4,4,38,32,9,7,3,0,0,88,0,3,3,5,4,3,0,0,0,19,76,218,664,521,488,271,55,4,0,2307,0,5,18,8,8,9,0,0,0,44,17,7,14,10,11,9,0,0,0,68,21,8,33,22,15,11,0,0,0,115
POA6007,4,63,590,405,275,182,36,0,0,1559,28,86,109,63,39,40,38,3,0,420,0,5,23,19,7,5,0,0,0,54,0,0,6,7,0,0,0,0,0,13,38,154,729,492,319,234,73,6,0,2046,4,6,25,28,12,19,0,0,0,89,12,13,13,3,3,0,0,0,0,44,13,23,38,31,14,19,0,0,0,138,53,175,766,523,336,248,75,6,0,2186,55,43,44,21,41,63,135,76,43,516,8,25,89,47,29,19,22,4,3,247,119,238,901,593,400,339,233,90,44,2948,0,96,514,228,183,122,15,5,0,1157,46,108,150,172,114,101,52,3,0,739,0,3,34,22,13,10,4,0,0,78,4,4,15,4,3,0,0,0,0,25,52,205,707,420,308,229,69,3,0,1997,8,4,23,7,3,3,0,0,0,50,10,9,15,8,10,3,3,0,0,57,21,17,34,15,16,3,3,0,0,107
POA6008,4,114,799,751,637,454,102,9,0,2878,109,161,143,83,99,141,152,30,0,918,3,6,22,14,16,11,9,3,0,90,3,3,18,3,9,3,3,0,0,45,114,295,984,856,761,616,262,43,3,3927,0,16,37,40,38,32,8,0,0,182,23,16,16,3,9,3,7,3,0,82,24,39,50,42,52,35,13,3,0,258,141,329,1037,901,812,649,274,41,3,4186,172,83,106,58,84,182,417,253,76,1431,18,21,109,81,56,67,72,32,21,470,334,432,1247,1041,949,903,760,330,97,6088,6,143,701,355,407,276,43,3,0,1934,110,166,215,328,338,275,125,10,0,1573,6,6,52,37,18,14,11,0,0,150,0,3,11,8,8,6,0,3,0,41,128,323,980,726,777,574,182,10,0,3698,0,7,30,31,14,4,0,0,0,94,27,21,11,28,10,6,3,0,0,122,30,29,41,63,30,14,3,0,0,215
POA6009,13,122,462,621,786,558,180,11,0,2751,192,373,179,100,94,150,170,57,7,1319,20,25,17,7,15,18,10,5,0,113,8,24,16,10,6,3,5,0,0,78,237,543,679,737,898,728,356,72,6,4269,5,20,27,20,37,24,3,0,0,139,81,112,47,12,5,7,11,0,0,276,88,139,76,33,45,30,12,0,0,411,322,683,757,770,944,755,369,75,8,4681,481,584,351,93,64,151,412,307,133,2576,20,59,63,50,56,49,39,25,13,369,824,1326,1171,912,1060,957,825,407,157,7627,8,123,315,278,383,286,65,3,0,1460,239,343,194,363,387,312,137,29,0,2004,24,29,30,27,17,29,6,0,0,158,19,16,3,6,5,3,3,3,0,64,292,514,540,675,788,632,220,38,0,3683,7,19,21,22,15,7,0,0,0,94,76,81,45,22,32,9,3,0,0,273,80,99,67,47,44,19,6,0,0,366
POA6010,13,129,543,662,764,489,172,20,0,2803,147,227,108,59,98,155,179,53,6,1019,6,15,17,13,9,18,3,0,0,84,5,7,6,14,4,12,7,0,0,48,171,379,674,743,881,672,365,74,6,3960,7,10,26,28,33,17,8,0,0,126,30,24,7,3,4,7,5,3,0,94,37,36,34,31,35,23,10,3,0,215,206,411,703,773,914,694,373,80,6,4175,507,129,68,47,56,188,411,362,167,1931,20,31,90,80,84,77,64,41,10,494,740,576,861,900,1048,955,842,481,191,6595,3,105,399,251,412,282,56,4,0,1525,180,190,187,359,439,359,161,22,0,1904,10,9,42,22,17,13,8,0,0,113,3,0,11,7,5,10,4,0,0,36,192,307,639,638,874,665,234,32,0,3579,6,6,19,17,29,13,0,0,0,79,27,27,13,22,32,16,9,0,0,139,34,31,32,40,59,28,9,0,0,220
POA6011,0,52,324,346,461,360,101,12,0,1652,75,104,64,33,52,95,90,26,7,548,0,0,8,15,7,14,7,0,0,55,0,7,3,3,4,0,3,0,0,22,78,167,397,394,522,472,196,37,7,2269,0,10,16,8,18,15,0,0,0,72,21,5,3,0,6,3,4,3,0,50,23,19,18,7,18,21,4,3,0,115,100,184,415,401,548,496,198,44,7,2387,161,60,31,27,45,94,236,153,69,872,15,17,50,29,48,50,27,15,3,259,270,257,499,456,637,636,467,214,76,3513,3,78,309,158,193,127,30,3,0,909,109,97,97,151,260,218,75,14,3,1026,0,3,24,21,10,18,8,0,0,81,6,3,7,5,3,4,0,0,0,29,117,186,430,341,469,370,114,14,3,2041,0,7,8,5,12,3,0,0,0,28,17,8,9,10,7,6,3,0,0,59,17,16,19,15,18,10,3,0,0,89
POA6012,6,54,302,336,420,257,71,10,0,1456,69,102,85,48,57,68,86,15,0,528,4,3,7,20,9,9,0,0,0,57,0,3,3,10,3,5,0,0,0,31,81,162,401,417,484,335,161,29,3,2068,3,15,23,18,18,17,0,0,0,101,10,8,0,6,0,7,4,0,0,37,15,19,26,29,26,21,3,0,0,138,94,184,430,438,507,362,163,29,3,2206,178,37,37,23,58,102,240,148,50,875,13,11,54,42,44,44,51,28,22,307,282,228,521,507,617,512,456,200,70,3394,0,54,276,172,215,106,26,0,0,848,74,113,154,198,238,168,88,12,0,1042,5,3,26,7,4,17,0,0,0,69,3,3,7,9,5,4,0,0,0,35,81,174,462,385,468,287,114,15,0,1998,0,10,18,7,9,4,0,0,0,39,25,10,13,14,14,4,7,0,0,84,23,18,30,21,17,8,7,0,0,123
POA6014,18,201,838,1057,1021,624,98,10,0,3864,165,236,232,163,123,179,100,27,0,1232,10,16,22,18,30,28,7,0,0,128,3,4,20,10,8,3,3,0,0,49,194,453,1116,1252,1176,833,204,37,4,5275,8,18,48,54,42,40,4,0,0,215,40,34,17,14,8,7,3,0,0,121,53,51,64,62,47,51,7,0,0,333,242,506,1179,1315,1225,890,209,37,4,5612,319,85,89,50,73,159,423,318,185,1697,18,39,94,80,71,49,49,45,36,491,576,633,1362,1452,1372,1100,681,395,224,7802,3,159,617,419,521,301,51,0,0,2070,216,259,388,638,548,375,112,17,0,2555,4,14,71,48,28,22,10,0,0,198,4,9,15,12,10,12,3,0,0,68,236,437,1091,1116,1107,708,165,20,3,4889,4,17,41,22,18,12,3,0,0,111,38,23,40,51,27,17,0,0,0,205,39,46,81,71,46,29,3,0,0,315
POA6015,6,63,105,212,409,261,39,16,0,1102,85,87,22,19,57,69,56,25,4,426,3,0,7,0,10,10,5,0,0,34,0,0,0,7,5,8,0,0,0,17,93,155,131,231,478,342,97,41,8,1580,3,6,9,8,19,13,3,0,0,52,21,3,0,3,4,3,6,0,0,44,24,12,7,10,17,16,4,0,0,96,120,166,145,241,497,358,108,41,8,1679,148,44,8,9,30,67,136,196,98,743,7,3,17,7,26,13,10,11,3,104,276,216,172,262,547,436,257,249,111,2527,3,34,68,89,168,93,16,4,0,469,104,103,35,131,231,124,44,23,0,798,6,7,4,7,13,7,6,0,0,50,5,9,3,3,5,0,0,0,0,26,121,151,108,227,410,225,64,23,0,1343,0,3,0,0,3,0,0,0,0,8,20,6,0,11,9,3,4,0,0,58,19,7,0,17,10,8,4,0,0,64
POA6016,10,77,577,553,465,245,29,0,0,1964,58,108,175,107,67,83,40,0,0,632,0,0,18,19,13,11,4,0,0,67,0,5,9,13,8,3,0,0,0,35,69,192,784,687,550,345,74,3,0,2698,4,18,31,33,29,18,0,0,0,131,15,12,23,5,0,4,0,0,0,63,16,29,51,39,30,22,0,0,0,197,86,222,829,730,583,370,72,3,0,2900,115,44,48,53,45,80,178,99,48,697,17,19,66,43,28,26,25,12,3,236,214,285,951,820,657,472,276,115,51,3836,4,102,450,282,231,134,22,0,0,1224,90,140,253,344,257,118,38,3,0,1242,4,4,48,38,18,16,4,0,0,121,0,4,4,8,11,5,4,0,0,33,103,241,750,672,514,268,68,3,0,2622,0,10,23,6,11,0,0,0,0,57,18,13,34,22,20,9,0,0,0,119,18,30,58,30,30,12,0,0,0,173
POA6017,0,58,421,200,109,74,13,0,0,880,16,61,122,47,21,17,9,3,0,296,0,5,16,7,3,6,0,0,0,37,0,3,13,5,3,0,0,0,0,22,15,130,568,256,129,102,30,3,0,1229,0,6,23,19,15,11,0,0,0,75,3,8,10,11,3,5,3,0,0,36,9,17,37,29,15,9,3,0,0,114,26,145,602,284,149,113,31,3,0,1350,17,24,32,43,27,52,81,49,23,360,5,18,42,31,17,22,15,4,0,167,47,182,680,360,196,184,131,61,30,1869,7,57,282,111,75,54,12,0,0,588,15,73,150,61,54,42,11,3,0,405,0,0,20,6,4,3,0,0,0,39,0,0,6,7,3,3,0,0,0,19,15,129,461,181,133,101,23,3,0,1049,0,6,23,7,5,3,0,0,0,59,4,7,11,7,6,4,0,0,0,38,6,12,34,21,12,7,0,0,0,96
POA6018,55,330,1995,1962,1731,962,163,18,0,7223,301,330,327,203,229,254,195,40,3,1888,15,24,65,56,49,45,7,3,0,260,15,11,58,22,24,15,6,3,0,141,384,698,2445,2244,2024,1280,373,64,3,9517,17,49,104,84,94,72,12,0,0,430,79,35,23,15,13,19,10,4,0,193,97,79,129,100,108,90,18,4,0,622,475,784,2573,2344,2132,1371,393,65,3,10141,486,145,145,152,169,399,850,737,296,3380,48,49,227,178,136,115,65,56,43,910,1002,966,2945,2674,2435,1882,1308,862,349,14432,28,344,1608,845,909,577,80,3,0,4395,397,408,699,1084,962,631,186,28,0,4385,21,18,160,90,50,49,4,0,0,409,7,3,21,14,21,11,9,0,3,98,455,772,2487,2040,1938,1269,279,29,4,9280,14,26,59,45,53,26,0,0,0,218,81,33,47,79,49,28,7,0,0,327,88,61,100,129,100,53,11,0,0,544
POA6019,28,255,1531,1218,972,540,89,12,0,4653,134,222,258,166,119,166,116,25,0,1202,8,11,44,48,26,22,7,0,0,165,3,6,38,16,5,4,4,3,0,84,173,493,1877,1443,1131,735,212,39,0,6099,15,26,61,63,54,45,4,0,0,271,43,29,18,13,14,3,5,3,0,130,58,56,79,75,72,50,8,3,0,404,231,549,1958,1515,1195,787,225,36,0,6506,330,87,99,84,119,191,420,358,116,1803,17,43,218,121,105,79,48,33,11,685,584,684,2274,1722,1425,1057,692,436,127,8994,18,252,1274,624,563,332,45,5,0,3118,163,245,511,556,481,339,128,24,0,2452,8,15,75,61,23,28,9,0,0,215,5,5,20,10,9,11,0,0,0,59,192,515,1887,1249,1077,719,181,33,0,5846,8,11,37,26,22,23,0,0,0,130,34,34,35,46,26,21,7,0,0,196,43,46,73,71,50,45,11,0,0,330
POA6020,59,167,576,962,1094,838,162,5,0,3867,184,221,109,87,146,215,206,25,9,1200,7,6,18,25,34,39,20,3,0,156,5,8,9,23,18,9,4,0,0,71,262,399,709,1096,1287,1098,390,31,6,5289,9,16,42,38,42,48,3,0,0,207,60,33,6,0,3,15,6,0,0,135,70,56,55,43,44,65,12,0,0,345,329,457,765,1141,1335,1162,404,31,6,5635,308,69,51,35,70,282,852,385,119,2184,18,17,55,58,59,83,62,23,11,396,660,547,870,1237,1464,1533,1316,442,140,8210,13,169,382,334,541,424,56,0,0,1930,246,213,244,642,629,604,190,17,0,2784,11,11,52,41,33,46,13,0,0,211,4,4,11,8,19,10,7,0,0,66,284,396,693,1027,1216,1087,263,19,3,4981,5,5,16,10,26,18,0,0,0,83,42,21,17,31,42,24,3,0,0,179,47,26,36,41,67,39,9,3,0,261
POA6021,42,223,1091,986,814,542,117,11,0,3825,128,210,205,116,131,126,99,25,0,1041,10,12,29,25,23,14,11,0,0,121,9,8,27,19,12,6,3,0,0,82,185,453,1357,1146,973,692,227,39,0,5079,11,28,69,46,71,52,6,0,0,286,32,26,21,12,5,11,9,0,0,114,40,56,95,62,82,65,13,0,0,407,227,512,1455,1204,1055,754,242,39,0,5477,264,97,100,100,121,208,545,527,144,2107,26,29,120,62,79,49,44,67,52,536,515,641,1665,1362,1261,1014,836,623,199,8128,28,188,689,454,448,271,45,5,0,2130,157,211,382,498,475,330,99,10,0,2150,8,8,60,43,30,31,3,0,0,185,5,3,15,13,12,12,3,4,0,69,201,403,1152,1013,956,642,152,16,0,4528,7,12,38,18,28,16,0,0,0,124,36,23,39,32,30,18,0,0,0,180,45,38,80,48,58,30,3,0,0,301
POA6022,5,44,254,261,202,120,31,0,0,922,40,46,35,32,36,55,39,3,0,284,0,3,9,9,8,3,3,0,0,41,3,0,3,6,6,8,5,0,0,25,46,94,302,307,253,188,80,5,0,1273,6,8,12,20,9,10,0,0,0,63,6,3,0,4,3,4,0,0,0,21,9,10,14,24,18,11,0,0,0,86,59,107,317,327,267,196,80,5,0,1358,63,16,24,17,26,60,227,121,25,574,3,4,17,11,14,6,13,5,5,83,129,131,361,353,314,265,316,128,25,2019,6,30,144,110,107,86,15,0,0,501,47,45,90,150,96,97,38,0,0,565,4,0,23,12,5,16,3,0,0,66,0,0,3,4,3,3,0,0,0,11,54,76,261,271,212,203,60,0,0,1137,3,3,9,4,11,3,0,0,0,28,12,4,3,13,3,0,0,0,0,36,17,5,7,17,10,3,0,0,0,64
POA6023,26,169,418,845,812,496,114,3,0,2889,153,138,81,70,81,150,134,14,0,814,13,14,15,10,22,32,9,0,0,113,3,6,8,11,12,8,0,0,0,55,194,320,527,942,930,689,255,15,4,3877,7,18,24,34,31,35,3,0,0,162,55,14,7,8,10,13,3,0,0,99,62,39,34,44,36,49,4,0,0,262,255,360,556,987,968,734,261,15,4,4137,247,56,48,31,44,174,529,274,90,1493,12,13,34,35,36,31,28,5,8,215,514,425,642,1057,1050,947,820,292,101,5844,12,107,250,255,383,299,41,0,0,1341,191,157,202,528,485,350,106,3,0,2029,12,10,35,34,16,30,8,0,0,144,3,4,7,11,6,5,0,0,0,38,214,278,493,823,896,682,157,6,0,3553,10,11,14,17,20,11,0,0,0,77,30,9,8,33,26,18,3,0,0,129,41,16,24,48,50,30,3,0,0,208
POA6024,46,142,617,684,577,388,90,0,0,2553,104,97,114,90,97,106,99,11,0,718,4,3,27,30,28,31,10,0,0,131,0,4,14,11,4,6,4,0,0,55,157,249,778,811,709,536,197,13,0,3452,7,33,37,47,36,28,3,0,0,202,34,6,9,4,5,5,3,0,0,77,47,46,42,54,40,34,7,0,0,277,205,291,824,870,745,576,207,19,0,3732,170,38,46,65,62,153,584,247,70,1433,9,15,43,42,40,29,29,14,5,230,389,344,920,974,849,759,821,274,76,5394,5,90,352,280,332,210,41,0,0,1318,137,129,240,397,299,276,98,8,0,1574,5,6,55,23,26,28,15,0,0,158,3,7,3,7,7,9,0,0,0,38,147,234,644,703,669,526,157,10,0,3084,6,11,20,22,17,13,0,0,0,87,29,7,25,29,10,13,0,0,0,119,41,15,46,45,27,32,0,0,0,206
POA6025,85,361,1313,1495,1507,1019,169,9,0,5949,274,275,216,176,219,271,193,21,0,1649,11,14,62,41,43,51,19,3,0,251,3,12,28,38,23,14,3,3,0,123,375,662,1614,1745,1793,1361,392,30,3,7969,37,68,85,76,83,80,7,0,0,450,86,43,9,7,12,17,10,0,0,182,123,111,98,84,95,96,16,0,0,629,495,776,1712,1828,1885,1454,410,29,3,8598,461,114,124,109,124,349,982,431,145,2836,33,41,109,104,89,72,62,30,10,550,986,926,1945,2035,2107,1885,1452,490,155,11979,31,301,768,606,720,575,65,7,0,3071,372,363,471,789,871,671,192,5,0,3736,14,30,110,61,48,50,12,0,0,328,4,9,14,13,11,10,5,0,0,75,424,700,1362,1480,1648,1311,275,12,3,7219,9,21,32,37,42,22,0,0,0,160,82,26,35,57,47,34,3,0,0,287,94,43,70,95,85,58,3,0,0,449
POA6026,80,282,655,1036,1205,1027,130,6,0,4416,262,239,122,96,118,212,138,12,0,1192,4,10,38,37,40,64,15,0,0,208,9,3,6,20,20,13,3,0,0,78,355,533,827,1180,1376,1323,285,21,0,5896,28,42,45,42,53,51,5,0,0,266,91,22,8,8,6,20,5,0,0,159,119,63,59,52,57,66,14,0,0,427,471,599,883,1231,1433,1391,291,23,0,6319,373,85,71,45,88,283,666,357,201,2175,20,16,39,55,40,60,43,10,13,297,865,693,988,1331,1565,1736,997,388,216,8785,26,184,382,374,680,484,54,0,0,2193,353,279,294,630,702,640,128,10,0,3035,5,11,63,50,43,40,10,0,0,229,4,11,6,8,13,5,5,0,0,50,399,480,740,1062,1437,1178,193,12,0,5501,10,22,24,9,30,15,0,0,0,119,66,18,28,41,31,24,6,0,0,210,78,38,46,54,59,44,9,0,0,332
POA6027,171,603,1812,1913,2139,1486,215,8,0,8351,404,473,393,200,264,388,203,18,0,2339,16,24,79,80,64,86,19,0,0,375,14,35,61,35,31,30,5,0,0,214,603,1129,2347,2219,2503,1990,442,34,4,11277,51,105,174,125,130,121,18,0,0,712,112,77,39,15,12,25,12,0,0,293,158,182,214,138,137,146,25,3,0,1004,769,1317,2563,2359,2646,2136,463,33,4,12281,588,283,249,172,185,470,1086,567,175,3765,69,68,153,148,143,144,92,35,19,871,1423,1667,2960,2678,2972,2740,1641,632,193,16916,80,464,1054,819,1255,819,80,4,0,4571,597,542,742,1074,1137,907,217,13,0,5228,21,33,131,76,74,68,16,0,0,422,16,20,28,31,27,25,7,3,0,161,719,1056,1956,2003,2492,1816,315,19,0,10383,21,51,64,62,64,30,3,0,0,297,146,76,88,99,62,19,7,0,0,497,165,129,148,159,125,50,8,0,0,788
POA6028,105,369,658,1158,1655,829,83,0,0,4865,323,251,121,106,156,157,61,9,0,1193,11,16,26,40,44,41,7,0,0,187,3,13,17,22,20,16,0,0,0,90,443,656,817,1330,1874,1044,153,13,0,6332,38,44,63,49,86,64,5,0,0,351,95,32,5,3,0,11,4,0,0,159,127,77,71,51,88,76,10,0,0,508,570,728,892,1378,1969,1116,172,11,0,6840,455,89,79,44,76,190,387,201,49,1586,23,27,45,66,64,56,17,17,14,320,1054,841,1014,1492,2108,1366,575,232,65,8742,53,258,367,510,855,342,35,0,0,2429,434,353,328,709,849,403,66,9,0,3147,15,25,48,45,47,30,6,0,0,211,7,11,11,11,20,10,3,0,0,68,514,644,758,1272,1776,786,105,9,0,5852,19,18,27,28,45,18,0,0,0,160,79,25,37,65,42,21,3,0,0,272,94,44,61,93,91,40,4,0,0,431
