region_id,Australia_M,Australia_F,Australia_P,Bosnia_Herzegovina_M,Bosnia_Herzegovina_F,Bosnia_Herzegovina_P,Cambodia_M,Cambodia_F,Cambodia_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Frmr_Yug_Repc_Mac_FYROM_M,Frmr_Yug_Repc_Mac_FYROM_F,Frmr_Yug_Repc_Mac_FYROM_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_Tot,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Malta_M,Malta_F,Malta_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africa_P,South_Eastern_Europe_nfd_M,South_Eastern_Europe_nfd_F,South_Eastern_Europe_nfd_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Thailand_M,Thailand_F,Thailand_P,Turkey_M,Turkey_F,Turkey_P,UK_Channel_Islands_Isle_Man_M,UK_Channel_Islands_Isle_Man_F,UK_Channel_Islands_Isle_Man_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,Tot_M,Tot_F,Tot_P
POA6000,1885,1495,3380,15,11,26,5,0,5,41,39,80,82,100,182,8,6,14,8,0,8,3,5,8,4,7,11,35,40,75,13,10,23,53,39,92,131,86,217,54,75,129,8,0,8,190,121,311,56,58,114,44,46,90,63,66,129,6,4,10,115,106,221,0,0,0,14,19,33,179,127,306,39,44,83,23,30,53,47,80,127,54,44,98,11,7,18,14,10,24,34,44,78,5,0,5,555,281,836,60,63,123,82,85,167,466,381,847,825,481,1306,5227,4010,9237
POA6003,652,511,1163,5,6,11,0,6,6,3,16,19,25,41,66,0,6,6,3,3,6,0,3,3,4,10,14,13,11,24,4,0,4,20,11,31,30,23,53,4,10,14,3,0,3,64,37,101,24,21,45,9,14,23,39,43,82,4,0,4,23,22,45,0,0,0,9,4,13,47,45,92,8,9,17,17,12,29,8,11,19,15,10,25,7,4,11,4,3,7,4,16,20,0,0,0,150,88,238,11,15,26,41,41,82,158,140,298,205,148,353,1613,1340,2953
POA6004,1479,1199,2678,8,12,20,0,0,0,22,26,48,108,132,240,8,8,16,4,5,9,3,4,7,3,0,3,25,25,50,6,9,15,36,32,68,152,74,226,40,105,145,12,5,17,137,77,214,33,23,56,38,50,88,68,78,146,5,0,5,154,155,309,3,0,3,19,13,32,140,113,253,30,57,87,22,30,52,80,82,162,45,45,90,5,0,5,18,16,34,14,37,51,4,4,8,429,268,697,24,27,51,33,39,72,500,410,910,770,550,1320,4477,3710,8187
POA6005,1093,927,2020,8,4,12,3,5,8,18,14,32,57,63,120,5,3,8,10,8,18,3,5,8,3,6,9,20,15,35,14,7,21,26,15,41,88,59,147,9,19,28,0,0,0,83,60,143,36,36,72,32,46,78,23,24,47,0,0,0,50,42,92,0,0,0,8,10,18,96,82,178,19,33,52,17,10,27,32,35,67,32,41,73,3,0,3,7,10,17,6,21,27,6,3,9,266,181,447,28,21,49,10,25,35,226,215,441,441,345,786,2778,2390,5168
POA6006,2541,2664,5205,6,0,6,0,4,4,12,24,36,28,43,71,12,12,24,0,6,6,0,5,5,26,27,53,18,26,44,57,71,128,16,14,30,38,40,78,5,7,12,4,3,7,61,45,106,199,241,440,16,23,39,9,18,27,6,3,9,30,31,61,3,5,8,14,15,29,90,68,158,21,13,34,13,19,32,15,25,40,35,30,65,13,13,26,10,6,16,0,19,19,3,0,3,320,260,580,20,27,47,77,91,168,190,189,379,311,238,549,4219,4325,8544
POA6007,1826,1979,3805,0,3,3,0,3,3,15,24,39,15,20,35,5,3,8,3,4,7,3,5,8,5,3,8,16,24,40,4,9,13,14,16,30,84,60,144,3,6,9,3,0,3,100,125,225,73,82,155,12,33,45,6,13,19,0,0,0,33,38,71,3,3,6,10,20,30,97,83,180,7,10,17,8,16,24,17,23,40,33,32,65,3,0,3,9,11,20,3,6,9,0,3,3,350,270,620,26,28,54,30,27,57,163,198,361,316,275,591,3295,3455,6750
POA6008,3977,4162,8139,6,16,22,0,4,4,49,41,90,47,64,111,14,6,20,7,8,15,3,5,8,0,3,3,44,53,97,6,10,16,25,26,51,73,78,151,24,32,56,3,3,6,92,76,168,37,37,74,35,56,91,15,20,35,3,3,6,97,124,221,3,0,3,31,38,69,157,155,312,19,40,59,14,35,49,70,68,138,82,105,187,4,4,8,9,19,28,18,27,45,5,7,12,853,735,1588,89,102,191,13,31,44,363,430,793,475,474,949,6762,7097,13859
POA6009,4619,4872,9491,4,0,4,4,5,9,41,55,96,255,243,498,9,7,16,12,8,20,5,4,9,3,0,3,31,49,80,9,10,19,66,83,149,127,110,237,68,95,163,7,3,10,41,46,87,34,23,57,31,44,75,16,18,34,0,0,0,341,387,728,3,3,6,42,45,87,114,114,228,8,22,30,14,22,36,241,232,473,138,155,293,3,5,8,44,53,97,9,19,28,7,3,10,752,724,1476,132,122,254,25,35,60,445,509,954,374,371,745,8074,8496,16570
POA6010,4724,5234,9958,3,3,6,0,0,0,46,58,104,48,53,101,7,7,14,5,3,8,5,9,14,4,0,4,59,59,118,4,3,7,30,40,70,78,72,150,18,28,46,3,0,3,56,47,103,33,35,68,18,34,52,8,16,24,0,0,0,74,104,178,5,0,5,50,38,88,132,135,267,9,22,31,12,26,38,69,83,152,172,169,341,3,3,6,16,24,40,11,20,31,4,5,9,828,826,1654,88,91,179,4,11,15,302,362,664,561,372,933,7489,7992,15481
POA6011,2893,3110,6003,0,0,0,0,0,0,21,23,44,4,20,24,3,7,10,0,3,3,3,0,3,0,4,4,24,29,53,3,7,10,11,9,20,19,9,28,5,10,15,0,0,0,32,36,68,23,15,38,4,10,14,3,3,6,0,0,0,13,20,33,0,0,0,18,19,37,74,80,154,8,8,16,3,4,7,20,36,56,73,85,158,3,3,6,4,6,10,3,8,11,0,0,0,415,404,819,56,77,133,0,0,0,150,151,301,409,432,841,4297,4628,8925
POA6012,2412,2860,5272,4,7,11,0,0,0,16,20,36,17,38,55,8,6,14,6,0,6,3,3,6,0,0,0,23,31,54,3,4,7,15,23,38,47,36,83,15,24,39,3,0,3,43,58,101,18,20,38,6,24,30,5,14,19,0,3,3,35,51,86,4,0,4,19,23,42,121,102,223,18,35,53,17,25,42,28,60,88,70,88,158,3,0,3,4,10,14,7,14,21,3,0,3,432,477,909,51,74,125,3,7,10,232,253,485,252,265,517,3943,4655,8598
POA6014,5997,6294,12291,3,8,11,0,3,3,59,46,105,77,102,179,16,16,32,3,7,10,3,7,10,3,3,6,47,42,89,17,19,36,23,32,55,259,239,498,25,36,61,4,0,4,139,118,257,66,54,120,11,41,52,13,17,30,5,0,5,103,118,221,3,4,7,55,47,102,203,163,366,43,74,117,12,25,37,55,70,125,142,162,304,7,6,13,40,36,76,6,17,23,4,4,8,823,765,1588,74,66,140,24,33,57,474,495,969,488,488,976,9326,9657,18983
POA6015,2074,2143,4217,0,3,3,0,0,0,23,20,43,9,15,24,0,0,0,5,7,12,3,0,3,3,0,3,12,25,37,17,12,29,9,15,24,26,28,54,12,12,24,3,0,3,11,20,31,37,29,66,3,11,14,3,4,7,0,6,6,38,51,89,4,0,4,24,25,49,50,51,101,4,11,15,3,9,12,34,34,68,87,71,158,4,0,4,0,5,5,5,7,12,0,0,0,335,310,645,68,76,144,4,4,8,101,106,207,111,122,233,3122,3232,6354
POA6016,2777,2949,5726,7,14,21,0,0,0,14,21,35,45,49,94,7,12,19,3,6,9,3,0,3,18,20,38,21,30,51,23,42,65,18,15,33,232,160,392,6,10,16,3,3,6,92,58,150,109,114,223,17,18,35,48,29,77,5,0,5,44,70,114,3,3,6,12,17,29,112,94,206,18,24,42,27,20,47,14,30,44,32,42,74,3,13,16,9,14,23,6,20,26,0,3,3,409,276,685,30,23,53,19,41,60,230,252,482,354,301,655,4770,4793,9563
POA6017,889,863,1752,9,6,15,0,0,0,4,7,11,26,38,64,12,21,33,0,4,4,0,0,0,6,6,12,6,6,12,9,9,18,9,9,18,189,128,317,4,20,24,15,8,23,25,21,46,48,64,112,7,11,18,6,5,11,0,0,0,22,26,48,0,0,0,5,3,8,75,50,125,35,45,80,7,10,17,12,10,22,16,23,39,3,0,3,13,14,27,4,10,14,0,3,3,122,111,233,7,11,18,22,19,41,167,149,316,324,240,564,2098,1950,4048
POA6018,10602,11722,22324,12,14,26,3,3,6,63,79,142,143,182,325,40,33,73,16,20,36,4,5,9,13,11,24,102,108,210,29,37,66,57,60,117,234,217,451,53,87,140,3,5,8,198,153,351,191,172,363,33,75,108,16,27,43,0,6,6,153,237,390,7,6,13,66,88,154,459,412,871,36,65,101,43,66,109,105,142,247,348,402,750,22,35,57,48,52,100,17,41,58,5,12,17,1545,1502,3047,121,98,219,43,69,112,732,764,1496,904,909,1813,16466,17916,34382
POA6019,6159,6046,12205,4,4,8,0,0,0,59,67,126,39,58,97,18,14,32,10,8,18,7,4,11,10,8,18,75,96,171,5,13,18,19,13,32,80,54,134,20,48,68,3,8,11,186,163,349,86,55,141,19,49,68,5,14,19,0,3,3,65,73,138,6,0,6,41,42,83,486,350,836,18,31,49,20,35,55,42,42,84,250,228,478,4,3,7,12,20,32,7,22,29,4,7,11,959,914,1873,87,91,178,9,14,23,465,542,1007,1023,713,1736,10302,9852,20154
POA6020,6700,6861,13561,6,3,9,0,0,0,27,46,73,23,19,42,22,13,35,13,15,28,3,0,3,16,9,25,69,66,135,20,12,32,17,20,37,55,62,117,7,24,31,3,3,6,95,92,187,84,79,163,12,25,37,3,3,6,5,3,8,48,81,129,3,6,9,50,53,103,243,237,480,15,29,44,17,44,61,35,63,98,315,340,655,9,9,18,14,7,21,0,15,15,4,3,7,1237,1203,2440,53,63,116,21,19,40,322,342,664,434,413,847,10000,10282,20282
POA6021,5434,5632,11066,39,36,75,0,0,0,20,25,45,92,111,203,106,113,219,27,20,47,0,0,0,146,166,312,36,42,78,144,168,312,43,41,84,281,190,471,28,62,90,20,12,32,58,41,99,642,684,1326,18,50,68,9,14,23,11,7,18,101,114,215,7,6,13,32,28,60,179,182,361,41,58,99,33,65,98,52,47,99,100,120,220,26,31,57,9,9,18,11,28,39,9,6,15,484,492,976,28,25,53,106,110,216,537,568,1105,496,442,938,9405,9745,19150
POA6022,1749,1731,3480,3,3,6,3,3,6,8,12,20,8,18,26,9,4,13,4,4,8,3,3,6,23,21,44,6,11,17,5,5,10,4,0,4,32,32,64,4,4,8,3,3,6,30,20,50,33,26,59,0,5,5,0,0,0,4,0,4,17,13,30,3,3,6,12,8,20,106,76,182,3,5,8,3,3,6,9,9,18,19,14,33,0,7,7,4,3,7,3,10,13,3,3,6,213,251,464,6,8,14,8,13,21,81,90,171,69,72,141,2490,2493,4983
POA6023,4795,4873,9668,3,3,6,0,0,0,23,24,47,14,22,36,11,10,21,4,9,13,3,3,6,3,4,7,53,43,96,13,11,24,6,15,21,50,57,107,8,13,21,3,3,6,70,79,149,65,53,118,5,17,22,5,9,14,4,4,8,68,84,152,3,7,10,31,31,62,199,176,375,11,26,37,16,28,44,30,37,67,328,303,631,7,6,13,7,8,15,4,22,26,0,0,0,1077,1048,2125,41,41,82,11,10,21,293,313,606,184,185,369,7448,7577,15025
POA6024,4381,4609,8990,5,5,10,0,3,3,12,21,33,39,53,92,26,12,38,4,4,8,0,0,0,12,13,25,47,46,93,16,7,23,3,8,11,81,59,140,5,12,17,0,0,0,72,56,128,66,46,112,10,16,26,5,6,11,3,0,3,45,50,95,3,3,6,38,30,68,270,197,467,24,40,64,11,17,28,34,42,76,117,115,232,6,10,16,12,11,23,7,22,29,3,0,3,765,721,1486,18,24,42,33,23,56,242,268,510,233,229,462,6648,6778,13426
POA6025,8935,8884,17819,26,19,45,0,5,5,54,49,103,38,58,96,16,28,44,29,31,60,4,5,9,15,11,26,111,133,244,11,16,27,25,34,59,96,121,217,22,47,69,3,0,3,181,168,349,99,56,155,10,29,39,0,14,14,10,11,21,72,73,145,4,6,10,85,55,140,560,472,1032,24,72,96,62,56,118,56,73,129,412,495,907,5,15,20,10,8,18,8,34,42,4,5,9,2458,2501,4959,67,67,134,26,36,62,603,684,1287,717,568,1285,14858,14939,29797
POA6026,6959,7389,14348,11,7,18,0,3,3,23,21,44,24,44,68,14,16,30,0,6,6,3,3,6,11,8,19,58,54,112,8,12,20,19,20,39,89,82,171,9,23,32,0,0,0,105,97,202,71,61,132,9,17,26,5,10,15,5,6,11,65,89,154,4,4,8,47,48,95,256,265,521,12,40,52,23,36,59,30,40,70,288,321,609,6,8,14,11,14,25,0,34,34,3,0,3,1986,1972,3958,28,20,48,14,24,38,354,395,749,347,339,686,10897,11528,22425
POA6027,11090,11352,22442,13,15,28,4,8,12,63,68,131,142,153,295,28,24,52,51,52,103,3,10,13,12,20,32,149,144,293,24,18,42,28,26,54,173,150,323,27,42,69,10,11,21,320,340,660,93,72,165,13,33,46,16,19,35,4,7,11,102,164,266,12,11,23,101,105,206,713,709,1422,53,103,156,84,121,205,102,145,247,649,648,1297,9,7,16,19,26,45,24,72,96,8,7,15,4620,4521,9141,84,69,153,47,58,105,951,1072,2023,1030,823,1853,20871,21225,42096
POA6028,4852,4872,9724,4,0,4,0,4,4,16,34,50,27,41,68,12,14,26,25,37,62,3,3,6,13,13,26,37,34,71,6,4,10,16,19,35,69,55,124,14,37,51,0,3,3,153,141,294,31,14,45,7,21,28,4,15,19,0,3,3,66,76,142,4,5,9,35,39,74,263,258,521,44,71,115,39,49,88,70,102,172,598,616,1214,5,4,9,8,5,13,3,15,18,4,0,4,2731,2771,5502,55,41,96,19,20,39,457,473,930,298,215,513,9988,10124,20112
POA6029,928,994,1922,3,0,3,0,0,0,3,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,3,0,3,0,0,0,3,3,6,0,3,3,0,0,0,9,10,19,15,11,26,0,4,4,0,0,0,0,0,0,3,7,10,0,0,0,9,11,20,33,28,61,3,3,6,3,0,3,0,4,4,30,29,59,0,0,0,3,0,3,0,3,3,0,0,0,114,112,226,13,9,22,0,0,0,39,37,76,81,77,158,1303,1361,2664
POA6030,9525,9932,19457,22,21,43,20,23,43,33,31,64,37,49,86,16,15,31,32,26,58,6,9,15,11,3,14,76,104,180,13,12,25,7,14,21,93,88,181,26,45,71,13,7,20,133,160,293,55,41,96,8,31,39,11,6,17,3,3,6,77,99,176,15,10,25,49,64,113,851,827,1678,70,105,175,56,70,126,70,72,142,690,703,1393,13,13,26,7,8,15,23,59,82,7,0,7,4011,4075,8086,76,69,145,32,43,75,873,917,1790,1449,1326,2775,18509,19080,37589
POA6031,2820,3025,5845,3,5,8,0,0,0,8,14,22,9,12,21,4,0,4,5,8,13,5,7,12,0,4,4,17,28,45,0,0,0,7,6,13,44,62,106,14,14,28,4,4,8,58,45,103,5,5,10,0,5,5,4,9,13,0,0,0,24,25,49,3,3,6,6,12,18,261,237,498,32,57,89,15,19,34,23,32,55,191,204,395,4,7,11,0,0,0,0,13,13,3,0,3,1365,1361,2726,8,18,26,12,12,24,298,334,632,274,218,492,5526,5805,11331
POA6032,71,74,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,13,34,0,0,0,3,0,3,3,5,8,6,4,10,113,99,212
POA6033,246,185,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,6,6,4,10,3,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3,5,8,0,0,0,0,0,0,15,11,26,0,0,0,0,0,0,3,0,3,7,11,18,0,0,0,3,0,3,0,0,0,0,0,0,58,62,120,3,0,3,6,10,16,7,9,16,33,29,62,404,333,737
POA6035,1206,1156,2362,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,21,21,42,0,0,0,0,0,0,7,6,13,0,0,0,0,0,0,12,13,25,7,4,11,0,4,4,0,0,0,3,3,6,4,3,7,0,3,3,6,19,25,87,86,173,9,10,19,3,3,6,3,0,3,23,31,54,0,3,3,0,0,0,0,4,4,0,0,0,499,560,1059,8,6,14,0,4,4,41,67,108,156,135,291,2103,2144,4247
POA6036,2495,2648,5143,0,0,0,3,3,6,10,18,28,3,7,10,3,4,7,14,15,29,3,0,3,4,0,4,12,25,37,0,0,0,4,6,10,25,24,49,3,4,7,3,4,7,52,49,101,6,0,6,0,4,4,0,0,0,0,0,0,12,12,24,3,0,3,14,20,34,258,251,509,28,27,55,7,12,19,24,30,54,233,264,497,5,0,5,0,0,0,3,16,19,0,0,0,1580,1554,3134,21,12,33,4,4,8,227,273,500,243,245,488,5302,5531,10833
POA6037,749,737,1486,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,7,14,0,0,0,0,0,0,3,0,3,0,3,3,0,0,0,3,3,6,4,4,8,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,7,5,12,44,50,94,3,9,12,4,4,8,3,3,6,7,14,21,0,0,0,0,0,0,0,5,5,0,0,0,147,178,325,11,3,14,0,3,3,29,19,48,95,67,162,1122,1120,2242
POA6041,443,438,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,7,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,9,0,9,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,4,5,9,26,16,42,0,5,5,3,3,6,0,0,0,3,3,6,5,0,5,0,0,0,0,0,0,0,0,0,113,113,226,4,0,4,0,0,0,16,15,31,63,46,109,709,658,1367
POA6042,31,30,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,3,9,0,0,0,0,0,0,0,0,0,4,3,7,41,39,80
POA6043,77,74,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,4,10,14,0,0,0,0,0,0,0,3,3,14,10,24,104,103,207
POA6044,515,428,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,6,12,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,23,17,40,3,3,6,4,5,9,0,0,0,5,5,10,0,0,0,0,0,0,0,0,0,3,0,3,51,47,98,0,5,5,6,4,10,25,30,55,159,108,267,815,661,1476
POA6050,4417,4889,9306,4,9,13,0,0,0,15,36,51,31,61,92,12,12,24,8,3,11,0,0,0,18,15,33,46,50,96,28,42,70,17,19,36,140,104,244,22,26,48,3,5,8,109,79,188,176,202,378,13,30,43,8,22,30,3,3,6,58,73,131,5,0,5,21,31,52,172,134,306,12,34,46,41,49,90,41,52,93,100,102,202,5,13,18,30,21,51,8,25,33,5,4,9,670,633,1303,53,47,100,61,76,137,390,389,779,445,440,885,7187,7730,14917
POA6051,3028,2943,5971,15,17,32,0,0,0,14,23,37,108,123,231,22,24,46,8,0,8,3,3,6,5,7,12,43,47,90,9,4,13,20,22,42,496,324,820,42,49,91,7,0,7,108,76,184,57,56,113,7,42,49,33,34,67,3,0,3,91,75,166,5,4,9,29,15,44,189,156,345,48,69,117,35,60,95,43,40,83,58,54,112,18,15,33,33,32,65,19,23,42,6,4,10,550,429,979,25,35,60,69,82,151,565,532,1097,677,446,1123,6488,5865,12353
POA6052,3259,3459,6718,6,14,20,3,6,9,8,9,17,47,63,110,10,13,23,3,5,8,3,3,6,7,6,13,24,35,59,23,27,50,8,20,28,92,92,184,14,25,39,5,0,5,50,31,81,97,106,203,6,19,25,18,19,37,0,0,0,44,80,124,3,0,3,22,12,34,110,119,229,16,28,44,20,26,46,27,32,59,38,52,90,11,17,28,18,7,25,7,32,39,3,4,7,426,335,761,14,19,33,69,80,149,259,319,578,311,248,559,5081,5362,10443
POA6053,4035,4411,8446,11,14,25,0,8,8,25,14,39,40,53,93,13,9,22,5,3,8,3,6,9,3,3,6,39,47,86,4,6,10,16,16,32,198,167,365,12,25,37,6,3,9,84,53,137,115,97,212,7,20,27,14,19,33,3,3,6,49,53,102,13,4,17,37,40,77,225,161,386,52,54,106,41,46,87,23,44,67,35,62,97,12,12,24,25,18,43,18,43,61,6,3,9,579,581,1160,28,25,53,80,84,164,324,293,617,478,367,845,6658,6867,13525
POA6054,6450,6509,12959,54,57,111,11,12,23,6,13,19,68,62,130,53,53,106,8,5,13,3,3,6,19,21,40,54,57,111,11,5,16,13,20,33,200,182,382,19,34,53,21,17,38,81,52,133,101,101,202,13,21,34,6,11,17,3,3,6,63,79,142,22,27,49,59,39,98,348,263,611,81,115,196,39,54,93,33,32,65,53,62,115,24,21,45,25,13,38,12,44,56,3,0,3,819,818,1637,25,28,53,116,138,254,427,399,826,553,499,1052,9896,9869,19765
POA6055,4126,3908,8034,0,4,4,8,3,11,18,12,30,9,12,21,39,31,70,3,0,3,0,0,0,6,5,11,35,31,66,3,4,7,5,7,12,69,71,140,7,11,18,9,3,12,30,16,46,72,55,127,6,6,12,0,10,10,0,3,3,21,46,67,4,3,7,29,30,59,198,182,380,31,55,86,13,18,31,30,34,64,70,82,152,5,4,9,6,8,14,9,12,21,3,0,3,562,599,1161,18,16,34,18,28,46,157,329,486,406,393,799,6025,6031,12056
POA6056,12624,12703,25327,23,20,43,0,6,6,26,35,61,43,61,104,108,137,245,5,6,11,8,12,20,13,8,21,107,120,227,10,13,23,7,14,21,223,183,406,13,29,42,0,0,0,52,61,113,319,311,630,5,20,25,5,15,20,0,3,3,61,78,139,9,7,16,81,96,177,767,725,1492,211,258,469,51,85,136,21,40,61,121,117,238,29,22,51,25,18,43,14,37,51,3,3,6,1526,1609,3135,66,51,117,18,29,47,469,470,939,1386,1222,2608,18449,18624,37073
POA6057,5732,5651,11383,0,0,0,0,0,0,0,10,10,9,16,25,6,7,13,3,5,8,0,0,0,0,0,0,41,33,74,6,0,6,0,3,3,57,54,111,8,17,25,0,0,0,46,47,93,56,42,98,0,8,8,0,3,3,5,0,5,25,38,63,3,5,8,32,32,64,377,306,683,66,62,128,8,9,17,27,25,52,61,57,118,5,4,9,0,4,4,11,33,44,3,3,6,819,832,1651,12,24,36,6,6,12,168,208,376,528,450,978,8120,7994,16114
POA6058,3941,4001,7942,0,3,3,0,0,0,6,11,17,11,14,25,0,6,6,3,3,6,3,6,9,0,0,0,24,36,60,3,4,7,0,3,3,50,76,126,19,32,51,3,0,3,31,35,66,27,27,54,3,4,7,3,7,10,0,0,0,16,29,45,3,3,6,38,37,75,296,245,541,52,74,126,10,10,20,34,37,71,60,57,117,5,4,9,10,13,23,3,12,15,0,0,0,557,626,1183,17,16,33,3,3,6,218,203,421,389,336,725,5838,5973,11811
POA6059,6098,6570,12668,42,44,86,8,3,11,25,25,50,159,159,318,41,41,82,25,31,56,4,0,4,84,97,181,45,64,109,90,109,199,32,49,81,291,273,564,28,39,67,35,45,80,78,63,141,361,344,705,12,31,43,15,27,42,9,8,17,173,196,369,3,3,6,42,48,90,207,182,389,67,117,184,47,69,116,40,69,109,428,442,870,20,23,43,36,36,72,21,57,78,33,18,51,624,643,1267,48,37,85,356,413,769,691,797,1488,530,499,1029,10848,11671,22519
POA6060,5335,6173,11508,50,47,97,6,11,17,24,44,68,157,174,331,38,52,90,10,11,21,7,5,12,56,66,122,39,57,96,63,67,130,42,44,86,458,358,816,21,46,67,44,28,72,156,123,279,344,384,728,22,58,80,28,46,74,7,4,11,123,172,295,6,6,12,32,38,70,292,264,556,84,109,193,53,66,119,52,78,130,201,218,419,23,23,46,51,41,92,19,41,60,5,3,8,737,633,1370,46,40,86,148,181,329,939,895,1834,871,690,1561,10589,11296,21885
POA6061,7934,8107,16041,149,150,299,20,33,53,18,13,31,210,211,421,72,66,138,47,39,86,16,20,36,232,249,481,66,77,143,80,95,175,72,61,133,506,366,872,62,93,155,227,191,418,97,63,160,180,164,344,20,46,66,18,17,35,27,22,49,163,186,349,8,8,16,42,54,96,475,430,905,209,279,488,89,95,184,66,90,156,119,95,214,50,41,91,49,50,99,111,169,280,27,27,54,780,798,1578,40,31,71,520,620,1140,2432,2373,4805,1588,1445,3033,16821,16874,33695
POA6062,8568,8512,17080,80,78,158,19,16,35,17,30,47,247,267,514,67,68,135,27,20,47,4,7,11,56,57,113,68,87,155,99,82,181,64,64,128,507,460,967,31,62,93,50,50,100,78,68,146,534,484,1018,17,51,68,18,16,34,14,13,27,246,311,557,19,20,39,79,71,150,486,424,910,169,213,382,79,93,172,105,137,242,245,261,506,36,42,78,64,71,135,30,91,121,20,20,40,1008,993,2001,32,27,59,555,655,1210,1038,1072,2110,712,634,1346,15488,15627,31115
POA6063,4043,3844,7887,70,71,141,21,24,45,5,11,16,63,82,145,43,25,68,8,8,16,3,14,17,16,13,29,28,32,60,8,4,12,25,30,55,249,228,477,8,26,34,84,71,155,24,28,52,47,33,80,0,10,10,5,4,9,10,5,15,104,111,215,7,5,12,19,13,32,226,190,416,85,135,220,25,22,47,43,40,83,93,80,173,13,13,26,46,41,87,30,54,84,3,0,3,368,397,765,11,11,22,240,268,508,611,596,1207,415,359,774,7099,6898,13997
POA6064,8456,8477,16933,88,79,167,48,59,107,9,13,22,73,85,158,109,96,205,36,36,72,0,6,6,258,239,497,46,41,87,43,36,79,35,26,61,245,239,484,30,39,69,122,90,212,53,40,93,175,198,373,6,22,28,8,13,21,14,14,28,126,144,270,14,10,24,44,51,95,383,358,741,148,183,331,42,48,90,66,63,129,63,87,150,31,24,55,40,37,77,85,99,184,3,3,6,956,978,1934,33,22,55,855,958,1813,1511,1583,3094,901,788,1689,15155,15284,30439
