region_id,Australia_M,Australia_F,Australia_P,Bosnia_Herzegovina_M,Bosnia_Herzegovina_F,Bosnia_Herzegovina_P,Cambodia_M,Cambodia_F,Cambodia_P,Canada_M,Canada_F,Canada_P,China_excl_SARs_Taiwan_M,China_excl_SARs_Taiwan_F,China_excl_SARs_Taiwan_P,Croatia_M,Croatia_F,Croatia_P,Egypt_M,Egypt_F,Egypt_P,Fiji_M,Fiji_F,Fiji_P,Frmr_Yug_Repc_Mac_FYROM_M,Frmr_Yug_Repc_Mac_FYROM_F,Frmr_Yug_Repc_Mac_FYROM_P,Germany_M,Germany_F,Germany_P,Greece_M,Greece_F,Greece_P,Hong_Kong_SAR_China_M,Hong_Kong_SAR_China_F,Hong_Kong_SAR_China_P,India_M,India_F,India_P,Indonesia_M,Indonesia_F,Indonesia_P,Iraq_M,Iraq_F,Iraq_P,Ireland_M,Ireland_F,Ireland_P,Italy_M,Italy_F,Italy_P,Japan_M,Japan_F,Japan_Tot,Korea_Republic_South_M,Korea_Republic_South_F,Korea_Republic_South_P,Lebanon_M,Lebanon_F,Lebanon_P,Malaysia_M,Malaysia_F,Malaysia_P,Malta_M,Malta_F,Malta_P,Netherlands_M,Netherlands_F,Netherlands_P,New_Zealand_M,New_Zealand_F,New_Zealand_P,Philippines_M,Philippines_F,Philippines_P,Poland_M,Poland_F,Poland_P,Singapore_M,Singapore_F,Singapore_P,South_Africa_M,South_Africa_F,South_Africa_P,South_Eastern_Europe_nfd_M,South_Eastern_Europe_nfd_F,South_Eastern_Europe_nfd_P,Sri_Lanka_M,Sri_Lanka_F,Sri_Lanka_P,Thailand_M,Thailand_F,Thailand_P,Turkey_M,Turkey_F,Turkey_P,UK_Channel_Islands_Isle_Man_M,UK_Channel_Islands_Isle_Man_F,UK_Channel_Islands_Isle_Man_P,United_States_America_M,United_States_America_F,United_States_America_P,Vietnam_M,Vietnam_F,Vietnam_P,Born_elsewhere_M,Born_elsewhere_F,Born_elsewhere_P,Country_birth_not_stated_M,Country_birth_not_stated_F,Country_birth_not_stated_P,Tot_M,Tot_F,Tot_P
POA6642,543,397,940,0,0,0,0,0,0,3,0,3,4,3,7,0,0,0,0,0,0,0,3,3,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,39,19,58,3,7,10,0,0,0,0,3,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,35,16,51,3,0,3,0,0,0,19,3,22,159,97,256,819,555,1374
POA6646,497,247,744,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,7,10,17,3,0,3,0,4,4,0,0,0,0,0,0,5,0,5,3,0,3,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,4,0,4,79,19,98,5,0,5,3,3,6,3,0,3,9,4,13,0,0,0,0,0,0,0,0,0,0,0,0,56,9,65,0,0,0,0,0,0,23,12,35,105,34,139,817,345,1162
POA6701,2131,2002,4133,3,4,7,0,0,0,3,3,6,5,8,13,26,18,44,0,0,0,4,3,7,3,3,6,12,11,23,0,3,3,4,3,7,6,9,15,3,11,14,0,0,0,6,3,9,12,7,19,4,3,7,0,5,5,0,0,0,4,3,7,0,0,0,18,9,27,44,52,96,3,17,20,3,3,6,3,4,7,16,17,33,5,0,5,0,0,0,3,5,8,3,0,3,128,110,238,0,12,12,74,74,148,94,79,173,342,343,685,2962,2824,5786
POA6705,118,103,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,11,0,0,0,0,0,0,0,0,0,13,6,19,139,112,251
POA6707,972,845,1817,3,0,3,0,0,0,3,0,3,0,3,3,0,0,0,3,0,3,0,0,0,0,0,0,6,14,20,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,4,7,6,5,11,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,29,22,51,15,17,32,0,0,0,0,3,3,8,3,11,0,3,3,4,3,7,0,4,4,0,0,0,83,60,143,9,12,21,0,0,0,19,27,46,111,69,180,1285,1108,2393
POA6710,930,412,1342,0,0,0,0,0,0,5,3,8,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,3,6,4,0,4,3,0,3,8,3,11,4,0,4,0,0,0,17,4,21,3,3,6,0,0,0,0,0,0,0,0,0,3,3,6,3,0,3,10,3,13,153,44,197,17,0,17,0,0,0,3,0,3,14,3,17,0,0,0,3,0,3,3,3,6,0,0,0,135,27,162,13,0,13,0,0,0,35,10,45,376,108,484,1751,629,2380
POA6713,462,392,854,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,33,22,55,0,6,6,0,0,0,0,0,0,7,5,12,0,0,0,0,0,0,3,9,12,0,0,0,40,32,72,0,0,0,0,0,0,16,8,24,117,97,214,688,577,1265
POA6714,5903,4524,10427,5,5,10,41,0,41,8,16,24,262,23,285,8,0,8,3,0,3,6,4,10,12,5,17,31,14,45,3,4,7,6,4,10,120,78,198,19,7,26,0,0,0,64,22,86,8,4,12,3,9,12,12,7,19,0,0,0,36,25,61,3,4,7,22,15,37,634,350,984,214,158,372,14,9,23,9,14,23,123,103,226,8,0,8,15,6,21,27,47,74,3,0,3,519,293,812,23,12,35,7,9,16,247,158,405,2658,1269,3927,11076,7198,18274
POA6716,269,201,470,0,0,0,0,0,0,0,0,0,0,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,6,0,0,0,0,3,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,45,19,64,3,7,10,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,3,6,0,3,3,15,12,27,0,0,0,0,0,0,7,0,7,14,20,34,371,283,654
POA6718,348,320,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,16,13,29,3,4,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,4,17,0,3,3,0,0,0,8,0,8,39,36,75,433,380,813
