POA_CODE_2016,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
POA6000,3,6,6,3,5,9,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,15,10,19,13,10,85,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,3,0,4,3,0,0,0,0,7,13,15,13,11,19,17,10,94,18,9,6,3,3,4,0,57,0,0,0,0,0,0,0,0,31,23,27,17,20,19,10,145
POA6003,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,3,4,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,6,3,4,3,4,3,20,0,7,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,12,0,3,4,4,3,34
POA6004,3,6,3,8,0,3,3,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,11,16,13,8,7,8,7,72,0,0,0,0,0,0,0,5,0,3,3,0,0,0,0,10,0,3,4,0,0,0,0,15,15,13,15,8,9,10,6,84,7,3,6,5,6,3,3,34,0,0,0,0,0,0,0,0,22,20,19,16,15,13,6,114
POA6005,0,7,0,4,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,3,4,6,6,3,44,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,4,0,3,0,4,0,0,0,4,6,12,3,8,10,11,3,48,11,5,3,5,5,0,0,25,0,0,0,0,0,0,0,0,14,18,3,12,17,11,3,74
POA6006,6,6,9,3,7,8,0,51,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,20,21,14,24,25,3,119,0,0,0,0,0,0,0,7,0,3,0,0,0,3,0,12,0,3,0,6,0,3,0,17,11,22,22,16,24,24,5,131,3,4,3,5,5,0,3,30,0,0,0,0,0,0,0,0,19,35,28,24,30,25,9,162
POA6007,3,17,10,0,9,0,0,37,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,15,31,23,9,14,7,8,111,0,0,3,0,0,0,0,3,0,0,3,0,3,0,0,8,0,0,5,0,5,0,0,12,15,36,25,9,22,7,8,120,3,16,4,6,4,0,0,30,0,0,0,0,0,0,0,0,13,47,30,16,24,8,9,150
POA6008,6,21,26,14,15,13,6,116,3,0,0,0,3,0,3,11,0,0,0,0,0,0,0,0,25,45,63,54,61,35,20,306,0,7,3,7,4,3,0,23,0,5,3,4,0,0,0,15,0,14,8,9,3,3,0,37,25,59,71,60,69,41,20,345,12,27,19,10,11,6,4,82,0,0,0,0,0,0,0,0,37,79,86,69,79,43,22,426
POA6009,13,23,22,18,15,13,11,115,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,3,21,36,48,41,73,42,28,277,3,4,0,0,3,0,0,15,4,0,3,0,3,4,3,14,4,5,4,0,6,3,3,31,23,44,50,41,79,44,28,306,17,25,12,8,17,12,7,95,0,0,0,0,0,0,0,0,36,64,63,49,99,56,40,405
POA6010,7,30,17,22,33,12,16,141,0,0,3,0,4,6,0,14,0,0,0,0,0,0,0,6,19,56,53,45,77,44,27,317,0,0,0,0,3,7,0,13,0,3,4,3,3,0,4,17,0,5,4,4,10,4,4,31,19,56,61,48,83,50,37,351,17,24,19,26,22,15,10,128,0,0,0,0,0,0,0,0,34,80,82,71,108,58,43,480
POA6011,4,20,13,13,25,14,3,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,37,23,39,16,16,177,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,8,3,0,3,3,0,0,0,8,7,33,42,29,45,16,16,185,9,9,13,6,10,3,8,58,0,0,0,0,0,0,0,0,15,38,52,36,52,20,17,241
