region_id,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Churche_Christ_M,Christianity_Churche_Christ_F,Christianity_Churche_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,No_Religion_M,No_Religion_F,No_Religion_P,Other_religious_affiliation_M,Other_religious_affiliation_F,Other_religious_affiliation_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
POA6000,241,258,499,408,279,687,0,0,0,50,34,84,0,3,3,1050,912,1962,7,9,16,93,69,162,9,14,23,8,3,11,38,25,63,3,3,6,23,22,45,25,31,56,73,69,142,9,4,13,4,3,7,61,89,150,126,146,272,9,9,18,1996,1724,3720,150,95,245,152,104,256,14,18,32,0,3,3,53,29,82,53,32,85,1617,1179,2796,70,26,96,934,574,1508,5227,4010,9237
POA6003,86,105,191,122,91,213,0,0,0,9,11,20,0,0,0,353,313,666,3,0,3,39,32,71,3,0,3,0,0,0,4,3,7,0,0,0,3,12,15,0,4,4,9,13,22,0,4,4,0,0,0,18,23,41,40,34,74,3,0,3,606,540,1146,20,16,36,26,28,54,5,9,14,0,0,0,17,7,24,17,7,24,583,458,1041,41,11,52,229,167,396,1613,1341,2954
POA6004,192,243,435,415,404,819,0,0,0,55,60,115,0,0,0,859,851,1710,5,14,19,75,52,127,10,4,14,8,3,11,23,23,46,5,5,10,10,19,29,30,32,62,85,64,149,3,4,7,0,0,0,109,91,200,87,103,190,9,6,15,1788,1735,3523,178,94,272,191,135,326,26,15,41,0,3,3,53,41,94,53,44,97,1150,814,1964,48,14,62,845,616,1461,4471,3710,8181
POA6005,80,125,205,268,238,506,0,0,0,28,27,55,0,0,0,551,539,1090,11,9,20,57,58,115,5,9,14,3,3,6,25,16,41,4,3,7,7,9,16,15,22,37,59,32,91,3,3,6,3,3,6,39,40,79,46,41,87,0,0,0,1124,1052,2176,69,50,119,71,53,124,13,12,25,0,0,0,13,13,26,13,13,26,839,663,1502,41,11,52,527,412,939,2777,2391,5168
POA6006,126,153,279,408,506,914,0,0,0,30,38,68,0,0,0,1275,1342,2617,4,7,11,196,236,432,12,13,25,4,0,4,8,18,26,0,0,0,6,3,9,11,19,30,44,52,96,4,7,11,5,4,9,71,100,171,58,85,143,9,3,12,2145,2433,4578,22,16,38,30,22,52,43,50,93,0,0,0,19,25,44,19,25,44,1385,1269,2654,59,17,76,390,340,730,4219,4325,8544
POA6007,87,79,166,362,473,835,0,0,0,26,25,51,0,0,0,764,1009,1773,4,13,17,56,69,125,3,4,7,0,0,0,11,13,24,3,0,3,9,11,20,17,15,32,42,53,95,4,0,4,0,0,0,68,100,168,49,67,116,7,12,19,1425,1864,3289,61,46,107,31,32,63,15,15,30,0,0,0,37,19,56,37,19,56,1186,1027,2213,63,20,83,386,353,739,3291,3455,6746
POA6008,154,179,333,1129,1372,2501,0,0,0,54,59,113,0,4,4,1355,1587,2942,30,45,75,97,106,203,17,23,40,5,5,10,45,57,102,0,0,0,15,17,32,17,22,39,115,130,245,0,4,4,8,5,13,203,298,501,109,152,261,8,11,19,3207,3897,7104,52,45,97,83,92,175,33,53,86,3,0,3,48,54,102,51,54,105,2367,2023,4390,84,54,138,730,699,1429,6761,7096,13857
POA6009,203,275,478,1609,1933,3542,0,0,0,98,89,187,0,5,5,1513,1744,3257,19,27,46,108,118,226,13,12,25,9,11,20,31,47,78,3,3,6,21,35,56,43,57,100,178,204,382,13,15,28,8,10,18,397,516,913,170,188,358,11,8,19,4244,5022,9266,155,142,297,234,209,443,62,61,123,3,3,6,52,45,97,55,48,103,2439,2085,4524,73,29,102,610,625,1235,8075,8496,16571
POA6010,85,121,206,1734,2218,3952,0,0,0,60,83,143,0,0,0,1612,1878,3490,31,33,64,56,66,122,3,8,11,0,8,8,41,56,97,3,8,11,19,21,40,44,42,86,181,228,409,3,8,11,3,11,14,336,457,793,112,131,243,11,3,14,4249,5259,9508,59,54,113,50,42,92,39,39,78,0,0,0,44,49,93,44,49,93,2045,1767,3812,80,43,123,839,618,1457,7490,7992,15482
POA6011,27,50,77,1131,1306,2437,0,0,0,18,24,42,0,0,0,845,982,1827,8,6,14,59,53,112,4,5,9,5,0,5,12,29,41,0,0,0,5,9,14,14,16,30,110,142,252,4,0,4,0,0,0,139,202,341,51,48,99,9,3,12,2414,2825,5239,15,13,28,6,9,15,24,16,40,0,0,0,13,19,32,13,19,32,1246,1126,2372,39,28,67,513,542,1055,4297,4628,8925
POA6012,70,81,151,907,1236,2143,0,0,0,35,54,89,0,0,0,830,1146,1976,6,5,11,53,55,108,3,5,8,3,0,3,24,19,43,5,0,5,19,14,33,19,28,47,101,137,238,4,0,4,0,5,5,137,182,319,71,91,162,5,6,11,2222,2983,5205,55,38,93,44,36,80,3,11,14,0,0,0,28,28,56,28,28,56,1086,1063,2149,50,22,72,385,392,777,3943,4654,8597
POA6014,149,186,335,1645,1920,3565,0,0,0,81,100,181,3,0,3,2425,2759,5184,52,53,105,179,209,388,22,26,48,7,5,12,55,55,110,4,7,11,28,32,60,64,70,134,157,160,317,15,13,28,7,0,7,324,415,739,143,187,330,13,15,28,5224,6026,11250,234,214,448,124,118,242,19,19,38,0,0,0,53,61,114,53,61,114,2695,2294,4989,112,54,166,716,685,1401,9326,9657,18983
POA6015,32,45,77,709,801,1510,0,0,0,23,22,45,0,0,0,839,885,1724,4,7,11,103,116,219,0,3,3,3,9,12,24,21,45,6,4,10,14,13,27,20,21,41,70,78,148,0,4,4,3,0,3,120,181,301,38,58,96,5,7,12,1981,2230,4211,16,12,28,11,7,18,25,23,48,0,0,0,24,15,39,24,15,39,818,674,1492,30,12,42,186,213,399,3123,3231,6354
POA6016,99,136,235,555,631,1186,0,0,0,43,50,93,0,0,0,1343,1450,2793,10,15,25,156,167,323,6,19,25,8,9,17,19,21,40,6,5,11,6,10,16,36,37,73,43,43,86,7,14,21,0,0,0,75,106,181,91,101,192,4,6,10,2408,2684,5092,196,139,335,64,63,127,11,19,30,3,0,3,53,48,101,56,48,104,1437,1281,2718,60,33,93,440,390,830,4771,4793,9564
POA6017,73,65,138,184,178,362,0,0,0,31,37,68,0,0,0,489,568,1057,3,14,17,47,44,91,7,3,10,4,4,8,5,10,15,0,0,0,8,19,27,14,17,31,20,28,48,9,0,9,3,3,6,33,38,71,47,51,98,11,9,20,915,1023,1938,134,99,233,86,79,165,3,3,6,0,0,0,47,39,86,47,39,86,470,366,836,20,12,32,351,264,615,2099,1950,4049
POA6018,214,333,547,2819,3534,6353,0,0,0,185,218,403,6,5,11,4509,5160,9669,76,127,203,319,368,687,40,62,102,28,45,73,93,121,214,20,15,35,49,55,104,186,212,398,287,399,686,25,41,66,18,24,42,542,753,1295,307,410,717,27,25,52,9536,11574,21110,230,204,434,138,152,290,28,42,70,0,0,0,95,96,191,95,96,191,4649,4113,8762,198,91,289,1377,1310,2687,16465,17915,34380
POA6019,119,141,260,1758,1967,3725,0,0,0,96,89,185,3,0,3,2393,2527,4920,35,46,81,123,121,244,37,46,83,17,19,36,52,73,125,7,7,14,21,24,45,62,72,134,178,213,391,8,11,19,17,10,27,277,383,660,214,223,437,6,8,14,5304,5839,11143,92,65,157,78,80,158,35,41,76,3,5,8,54,47,101,57,52,109,3128,2587,5715,173,71,244,1315,974,2289,10301,9850,20151
POA6020,90,115,205,2122,2507,4629,0,0,0,143,149,292,0,3,3,2626,2836,5462,43,57,100,172,167,339,41,41,82,10,10,20,57,60,117,6,5,11,23,26,49,98,114,212,238,251,489,15,12,27,5,3,8,430,502,932,187,234,421,15,13,28,6231,6990,13221,42,47,89,43,46,89,30,36,66,0,0,0,44,58,102,44,58,102,2623,2205,4828,116,78,194,782,706,1488,10001,10281,20282
POA6021,192,239,431,870,1065,1935,0,0,0,97,112,209,3,0,3,3828,4028,7856,16,33,49,878,885,1763,41,70,111,6,11,17,38,43,81,17,16,33,32,31,63,88,98,186,107,145,252,16,19,35,13,25,38,160,215,375,158,220,378,3,12,15,6371,7028,13399,243,199,442,183,163,346,18,22,40,0,0,0,97,81,178,97,81,178,1565,1401,2966,71,33,104,665,580,1245,9405,9746,19151
POA6022,37,36,73,439,518,957,3,0,3,49,45,94,0,5,5,610,648,1258,14,22,36,84,66,150,0,7,7,3,3,6,8,18,26,0,0,0,5,9,14,36,41,77,56,41,97,17,19,36,3,0,3,90,123,213,54,62,116,9,4,13,1480,1631,3111,15,15,30,13,14,27,9,5,14,0,0,0,21,19,40,21,19,40,751,612,1363,27,20,47,141,139,280,2494,2491,4985
POA6023,69,83,152,1583,1761,3344,0,0,0,138,145,283,9,8,17,1796,1912,3708,58,56,114,118,123,241,36,35,71,22,18,40,49,55,104,0,6,6,19,12,31,85,107,192,201,236,437,7,8,15,4,10,14,395,511,906,200,214,414,5,16,21,4725,5233,9958,44,49,93,36,36,72,12,11,23,0,0,0,19,33,52,19,33,52,2105,1736,3841,53,15,68,385,381,766,7448,7577,15025
POA6024,84,111,195,1333,1402,2735,0,0,0,89,83,172,5,3,8,1737,1871,3608,44,71,115,107,99,206,19,23,42,16,20,36,28,42,70,3,0,3,15,22,37,73,95,168,138,144,282,17,17,34,10,16,26,258,368,626,157,171,328,10,8,18,4059,4455,8514,37,18,55,56,57,113,10,12,22,0,0,0,37,44,81,37,44,81,1860,1636,3496,79,46,125,426,400,826,6648,6779,13427
POA6025,135,194,329,3274,3695,6969,0,0,0,220,222,442,6,9,15,3570,3793,7363,47,63,110,195,207,402,49,59,108,40,41,81,93,100,193,28,23,51,24,20,44,189,234,423,368,394,762,23,36,59,16,23,39,419,553,972,331,375,706,16,22,38,8908,9869,18777,100,113,213,140,145,285,25,26,51,0,0,0,82,90,172,82,90,172,4111,3418,7529,202,100,302,1154,984,2138,14857,14939,29796
POA6026,83,146,229,2498,2868,5366,0,0,0,181,206,387,10,5,15,2669,2919,5588,89,114,203,105,125,230,32,33,65,47,51,98,59,72,131,0,0,0,23,21,44,159,180,339,300,316,616,17,31,48,12,18,30,438,617,1055,267,316,583,8,17,25,6914,7909,14823,73,70,143,40,46,86,16,16,32,0,0,0,42,58,100,42,58,100,2927,2542,5469,69,35,104,733,706,1439,10897,11528,22425
POA6027,250,318,568,4481,4973,9454,0,0,0,454,463,917,11,15,26,4695,5292,9987,76,87,163,211,232,443,67,95,162,72,99,171,137,138,275,48,43,91,72,61,133,247,352,599,517,547,1064,38,51,89,21,29,50,547,704,1251,464,561,1025,42,41,83,12200,13783,25983,125,107,232,201,206,407,20,20,40,3,0,3,112,137,249,115,137,252,5979,5075,11054,253,129,382,1729,1448,3177,20872,21223,42095
POA6028,83,113,196,2421,2652,5073,0,0,0,277,293,570,0,0,0,2532,2719,5251,23,35,58,89,81,170,36,49,85,38,34,72,34,21,55,53,55,108,26,30,56,139,164,303,274,297,571,6,14,20,11,18,29,281,353,634,275,305,580,10,11,21,6525,7131,13656,67,50,117,126,120,246,16,22,38,0,3,3,96,105,201,96,108,204,2463,2075,4538,88,58,146,524,448,972,9988,10125,20113
POA6029,10,17,27,277,309,586,0,0,0,8,19,27,0,0,0,350,397,747,12,10,22,10,17,27,5,6,11,0,0,0,15,15,30,0,0,0,3,3,6,4,3,7,14,20,34,3,3,6,0,0,0,46,69,115,23,26,49,3,6,9,773,903,1676,3,3,6,4,0,4,3,5,8,0,0,0,0,0,0,0,0,0,354,308,662,15,9,24,141,117,258,1303,1362,2665
POA6030,192,283,475,4061,4552,8613,0,0,0,404,432,836,3,0,3,3559,3996,7555,31,67,98,122,135,257,103,129,232,162,155,317,97,99,196,36,33,69,53,63,116,254,265,519,386,468,854,41,53,94,36,34,70,389,522,911,518,560,1078,48,46,94,10303,11609,21912,95,78,173,298,285,583,20,25,45,0,0,0,80,99,179,80,99,179,5308,4757,10065,199,125,324,2013,1819,3832,18508,19080,37588
POA6031,38,58,96,1215,1324,2539,0,0,0,137,143,280,0,0,0,1185,1326,2511,17,17,34,40,52,92,19,30,49,56,55,111,15,20,35,7,10,17,19,22,41,95,112,207,130,132,262,8,15,23,6,14,20,160,187,347,137,190,327,8,14,22,3254,3663,6917,38,48,86,84,92,176,0,3,3,0,0,0,54,44,98,54,44,98,1558,1459,3017,62,43,105,437,396,833,5525,5806,11331
POA6032,0,0,0,22,27,49,0,0,0,0,0,0,0,0,0,15,15,30,7,4,11,4,0,4,0,0,0,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,5,8,6,9,15,0,0,0,68,64,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,32,62,3,3,6,10,3,13,111,102,213
POA6033,16,14,30,65,61,126,0,0,0,0,5,5,0,0,0,96,79,175,0,0,0,11,7,18,0,0,0,13,6,19,4,5,9,3,0,3,3,3,6,3,4,7,8,8,16,0,0,0,0,0,0,8,5,13,5,3,8,0,0,0,219,186,405,0,3,3,8,3,11,0,0,0,0,0,0,0,3,3,0,3,3,110,76,186,3,3,6,47,47,94,403,335,738
POA6035,14,30,44,483,559,1042,0,0,0,40,33,73,0,0,0,351,366,717,3,5,8,12,12,24,5,10,15,13,14,27,16,10,26,3,0,3,5,6,11,12,13,25,47,40,87,3,6,9,4,0,4,27,49,76,49,77,126,4,8,12,1077,1208,2285,6,4,10,4,7,11,3,0,3,0,0,0,5,7,12,5,7,12,690,606,1296,21,7,28,283,274,557,2103,2143,4246
POA6036,35,63,98,1269,1419,2688,0,0,0,105,112,217,0,0,0,1121,1259,2380,6,4,10,32,26,58,30,48,78,50,68,118,28,22,50,14,10,24,13,15,28,79,95,174,100,113,213,3,10,13,8,7,15,99,136,235,164,195,359,13,11,24,3134,3550,6684,15,18,33,62,45,107,5,6,11,0,0,0,23,24,47,23,24,47,1541,1411,2952,78,35,113,408,380,788,5301,5532,10833
POA6037,7,9,16,259,296,555,0,0,0,4,8,12,0,0,0,196,223,419,3,0,3,9,4,13,4,0,4,3,5,8,4,10,14,0,0,0,3,3,6,5,9,14,30,24,54,4,3,7,0,0,0,19,32,51,18,11,29,0,0,0,561,628,1189,0,0,0,0,0,0,3,0,3,0,3,3,8,13,21,8,16,24,388,339,727,9,7,16,147,120,267,1123,1119,2242
POA6041,3,4,7,176,194,370,0,0,0,12,16,28,0,0,0,125,128,253,0,3,3,7,6,13,4,0,4,3,3,6,4,4,8,0,0,0,0,0,0,0,4,4,14,15,29,0,3,3,3,3,6,24,20,44,28,33,61,3,3,6,403,435,838,0,0,0,0,0,0,0,3,3,0,0,0,0,4,4,0,4,4,186,130,316,8,5,13,111,77,188,711,658,1369
POA6042,0,3,3,12,8,20,0,0,0,0,0,0,0,0,0,11,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,27,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,6,12,8,20,0,0,0,4,0,4,43,37,80
POA6043,0,0,0,27,24,51,0,0,0,0,0,0,0,0,0,23,21,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,3,3,6,0,0,0,0,0,0,4,5,9,0,5,5,0,0,0,60,61,121,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,31,27,58,0,3,3,9,11,20,104,102,206
POA6044,4,7,11,169,144,313,0,0,0,10,12,22,0,0,0,131,119,250,3,3,6,12,3,15,0,0,0,3,0,3,3,6,9,0,0,0,0,3,3,3,0,3,18,19,37,3,0,3,0,3,3,32,38,70,16,8,24,0,0,0,403,358,761,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,210,152,362,6,3,9,192,136,328,815,661,1476
POA6050,152,184,336,935,1160,2095,0,0,0,66,75,141,0,0,0,1893,2178,4071,8,24,32,221,254,475,8,11,19,6,9,15,44,50,94,5,5,10,18,21,39,39,62,101,86,113,199,14,10,24,4,15,19,171,249,420,107,141,248,13,17,30,3638,4394,8032,91,61,152,112,74,186,246,269,515,0,0,0,56,40,96,56,40,96,2161,2028,4189,96,55,151,633,624,1257,7185,7729,14914
POA6051,177,219,396,626,702,1328,0,0,0,56,75,131,0,0,0,1403,1417,2820,15,20,35,127,128,255,31,30,61,12,17,29,36,30,66,30,28,58,25,32,57,48,56,104,91,104,195,8,0,8,12,24,36,126,158,284,130,161,291,14,11,25,2790,2993,5783,340,199,539,240,167,407,27,27,54,3,3,6,138,100,238,141,103,244,1848,1526,3374,97,44,141,828,587,1415,6488,5865,12353
POA6052,142,173,315,655,816,1471,0,0,0,53,60,113,0,0,0,1565,1779,3344,10,20,30,173,191,364,13,21,34,7,12,19,25,30,55,0,3,3,12,9,21,50,71,121,56,54,110,4,5,9,8,7,15,101,141,242,85,126,211,4,14,18,2821,3359,6180,39,29,68,96,84,180,19,33,52,0,0,0,44,32,76,44,32,76,1432,1268,2700,66,27,93,423,356,779,5082,5361,10443
POA6053,128,196,324,891,1122,2013,0,0,0,78,85,163,5,0,5,1779,1923,3702,27,37,64,73,93,166,18,28,46,7,5,12,34,41,75,7,3,10,11,17,28,53,43,96,115,108,223,9,17,26,3,8,11,155,213,368,142,178,320,11,19,30,3418,3940,7358,129,108,237,129,75,204,14,8,22,0,0,0,61,51,112,61,51,112,2006,1867,3873,94,52,146,679,572,1251,6658,6869,13527
POA6054,258,304,562,1494,1677,3171,0,0,0,102,136,238,5,0,5,2582,2768,5350,45,64,109,171,173,344,37,62,99,25,25,50,43,65,108,0,3,3,28,32,60,95,125,220,175,213,388,28,54,82,10,20,30,203,259,462,270,278,548,30,32,62,5343,5986,11329,74,67,141,208,135,343,15,11,26,3,3,6,86,88,174,89,91,180,2941,2485,5426,116,73,189,852,718,1570,9896,9870,19766
POA6055,75,82,157,1253,1371,2624,0,0,0,90,110,200,0,0,0,1479,1447,2926,30,32,62,44,44,88,26,23,49,30,28,58,40,34,74,3,4,7,7,18,25,102,96,198,102,107,209,23,25,48,11,18,29,152,162,314,166,190,356,18,7,25,3576,3716,7292,31,28,59,51,33,84,6,3,9,0,3,3,13,20,33,13,23,36,1628,1385,3013,59,30,89,587,728,1315,6026,6028,12054
POA6056,147,168,315,3219,3723,6942,0,0,0,275,290,565,22,15,37,4652,5032,9684,85,94,179,119,120,239,100,161,261,79,125,204,82,97,179,0,4,4,49,52,101,218,267,485,361,370,731,58,94,152,76,120,196,412,510,922,566,638,1204,48,48,96,10421,11760,22181,90,72,162,86,74,160,11,10,21,6,6,12,110,142,252,116,148,264,5173,4328,9501,269,153,422,2136,1911,4047,18449,18624,37073
POA6057,52,89,141,1701,1826,3527,0,0,0,145,154,299,38,33,71,1885,1898,3783,31,39,70,45,55,100,17,34,51,37,40,77,33,35,68,4,5,9,16,16,32,62,65,127,186,180,366,22,22,44,67,73,140,182,247,429,231,266,497,45,37,82,4747,5025,9772,14,15,29,69,62,131,6,0,6,0,3,3,24,38,62,24,41,65,2298,1987,4285,112,77,189,799,697,1496,8121,7993,16114
POA6058,44,64,108,1100,1267,2367,0,0,0,123,118,241,7,3,10,1115,1248,2363,30,48,78,31,27,58,22,24,46,13,16,29,26,37,63,7,3,10,18,20,38,73,85,158,143,150,293,19,17,36,35,51,86,164,228,392,179,258,437,23,37,60,3128,3637,6765,27,26,53,89,92,181,3,4,7,3,3,6,19,29,48,22,32,54,1868,1561,3429,74,43,117,583,514,1097,5838,5973,11811
POA6059,467,558,1025,1262,1536,2798,0,0,0,110,137,247,0,5,5,3517,4003,7520,40,55,95,642,711,1353,17,29,46,19,28,47,36,50,86,13,19,32,19,24,43,48,55,103,133,163,296,9,18,27,18,24,42,238,311,549,199,254,453,11,16,27,6331,7438,13769,153,127,280,314,305,619,718,774,1492,0,0,0,104,110,214,104,110,214,1932,1619,3551,75,43,118,756,697,1453,10850,11671,22521
POA6060,357,432,789,1005,1304,2309,0,0,0,134,135,269,8,7,15,2874,3494,6368,27,43,70,434,480,914,52,84,136,26,33,59,41,56,97,6,8,14,26,35,61,96,139,235,158,182,340,8,13,21,21,29,50,199,311,510,199,250,449,19,22,41,5333,6625,11958,339,268,607,377,304,681,305,344,649,0,0,0,155,126,281,155,126,281,2419,2210,4629,140,61,201,1164,926,2090,10589,11296,21885
POA6061,810,933,1743,1685,1909,3594,0,0,0,562,578,1140,3,5,8,3691,4019,7710,51,82,133,841,857,1698,117,181,298,61,56,117,59,72,131,53,39,92,74,65,139,250,271,521,233,221,454,46,47,93,48,69,117,204,292,496,445,475,920,44,46,90,8467,9284,17751,315,262,577,1600,1420,3020,38,29,67,8,3,11,254,192,446,262,195,457,3322,2926,6248,177,101,278,1830,1724,3554,16821,16874,33695
POA6062,755,876,1631,1917,2152,4069,0,0,0,242,247,489,8,9,17,5177,5441,10618,56,72,128,533,555,1088,59,67,126,29,42,71,66,86,152,11,9,20,25,42,67,142,172,314,199,251,450,43,50,93,34,47,81,324,436,760,314,383,697,42,36,78,9221,10097,19318,215,175,390,515,507,1022,256,281,537,0,0,0,167,139,306,167,139,306,3157,2578,5735,157,73,230,1047,901,1948,15490,15627,31117
POA6063,437,438,875,951,1049,2000,0,0,0,154,142,296,0,6,6,1780,1886,3666,26,27,53,157,153,310,36,42,78,18,17,35,17,24,41,16,20,36,20,20,40,93,105,198,102,107,209,37,42,79,12,20,32,103,120,223,208,221,429,9,6,15,3739,4007,7746,146,133,279,541,493,1034,12,9,21,3,3,6,65,74,139,68,77,145,1512,1191,2703,57,29,86,586,522,1108,7098,6899,13997
POA6064,1178,1290,2468,1873,2074,3947,0,0,0,430,458,888,3,5,8,3776,4002,7778,61,59,120,892,841,1733,86,111,197,36,46,82,47,64,111,52,44,96,52,71,123,277,309,586,189,235,424,40,66,106,52,66,118,247,334,581,380,466,846,37,42,79,8530,9293,17823,89,70,159,805,777,1582,7,6,13,0,3,3,81,93,174,81,96,177,3054,2597,5651,172,90,262,1240,1064,2304,15156,15283,30439
POA6065,579,631,1210,4566,5163,9729,0,3,3,556,595,1151,15,18,33,6465,6756,13221,103,114,217,682,688,1370,134,173,307,95,124,219,104,122,226,40,26,66,95,90,185,642,701,1343,510,560,1070,69,84,153,38,38,76,587,799,1386,766,864,1630,37,42,79,15504,16960,32464,575,515,1090,572,588,1160,28,29,57,3,3,6,223,276,499,226,279,505,6281,5509,11790,232,128,360,1772,1668,3440,25769,26307,52076
POA6066,514,565,1079,1432,1649,3081,0,0,0,136,169,305,0,7,7,2617,2729,5346,33,51,84,242,280,522,39,43,82,66,67,133,32,43,75,3,7,10,27,25,52,136,155,291,130,146,276,33,39,72,23,15,38,154,201,355,229,273,502,7,11,18,5339,5910,11249,70,61,131,514,535,1049,37,42,79,0,0,0,57,59,116,57,59,116,2068,1755,3823,95,60,155,686,584,1270,9380,9571,18951
POA6067,6,3,9,11,12,23,0,0,0,3,0,3,0,0,0,12,16,28,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,7,12,0,0,0,0,0,0,35,41,76,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,7,11,18,0,0,0,14,7,21,62,68,130
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,136,183,319,2482,2928,5410,0,0,0,243,274,517,4,5,9,2751,3006,5757,22,22,44,113,127,240,73,79,152,70,64,134,61,76,137,7,4,11,41,50,91,240,247,487,242,267,509,58,76,134,22,20,42,254,338,592,466,535,1001,31,35,66,7180,8153,15333,93,92,185,194,189,383,25,14,39,0,0,0,46,65,111,46,65,111,3706,3250,6956,148,90,238,921,889,1810,12449,12925,25374
POA6070,13,17,30,383,443,826,0,0,0,44,40,84,0,3,3,271,281,552,6,3,9,11,3,14,24,15,39,10,13,23,13,8,21,0,0,0,0,7,7,9,12,21,30,36,66,3,3,6,5,11,16,43,62,105,64,78,142,3,9,12,919,1027,1946,0,5,5,6,6,12,3,3,6,0,0,0,14,21,35,14,21,35,614,560,1174,28,17,45,143,127,270,1740,1783,3523
POA6071,18,23,41,332,390,722,0,0,0,41,44,85,6,4,10,287,287,574,8,11,19,11,9,20,10,11,21,0,0,0,6,13,19,0,0,0,6,4,10,4,7,11,31,37,68,3,3,6,8,10,18,60,55,115,56,69,125,0,4,4,869,958,1827,3,3,6,3,3,6,5,4,9,0,0,0,9,9,18,9,9,18,605,558,1163,12,9,21,215,215,430,1739,1782,3521
POA6072,0,4,4,84,104,188,0,0,0,6,11,17,0,0,0,69,70,139,9,11,20,3,0,3,3,5,8,0,3,3,4,4,8,3,0,3,0,0,0,3,3,6,6,5,11,0,0,0,4,0,4,15,28,43,25,18,43,3,3,6,237,265,502,0,0,0,4,0,4,0,0,0,0,0,0,0,5,5,0,5,5,116,91,207,5,0,5,55,49,104,417,414,831
POA6073,18,20,38,318,406,724,0,0,0,24,32,56,26,26,52,262,289,551,10,19,29,5,4,9,12,12,24,3,0,3,6,5,11,0,0,0,4,0,4,5,7,12,28,30,58,5,3,8,11,3,14,52,57,109,47,50,97,3,5,8,821,948,1769,3,5,8,0,0,0,0,0,0,0,0,0,8,17,25,8,17,25,436,400,836,14,11,25,157,157,314,1457,1558,3015
