region_id,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
POA6101,178,509,1355,1044,697,445,92,3,0,4323,3,4,0,0,0,4,0,0,0,11,3,13,61,34,15,4,0,0,0,130,5,13,37,26,21,10,3,0,0,115,0,3,8,10,3,7,0,0,0,31,0,11,37,19,11,10,3,0,0,91,3,13,33,19,19,12,0,0,0,99,56,71,84,56,41,30,3,0,0,341,39,85,95,37,25,20,0,0,0,301,0,8,28,24,18,7,0,0,0,85,4,3,12,8,4,7,0,0,0,38,0,15,52,38,28,6,0,0,0,139,6,12,25,22,7,9,3,0,0,84,3,40,164,82,51,31,3,0,0,374,7,23,48,39,32,8,3,0,0,160,3,17,79,87,80,45,3,0,0,314,6,23,109,114,97,56,16,3,0,424,12,66,184,146,133,87,17,0,0,645,3,9,28,21,7,3,0,0,0,71,0,32,46,30,19,21,4,0,0,152
POA6102,140,577,1085,577,351,240,55,10,7,3042,0,0,0,0,0,0,0,0,0,0,0,7,37,11,6,6,0,0,0,67,6,15,29,19,19,15,3,0,0,106,0,0,4,3,3,0,0,0,0,10,0,10,25,14,9,3,3,0,0,64,3,13,29,10,7,9,0,0,0,71,39,107,66,35,21,9,0,0,0,277,58,147,102,24,18,6,3,0,0,358,3,9,15,11,7,8,0,0,0,53,0,6,13,3,0,3,3,0,0,28,0,9,33,19,8,3,3,0,0,75,0,7,13,3,4,7,0,0,0,34,3,32,77,29,20,11,0,0,0,172,5,11,39,16,16,8,3,0,0,98,0,20,52,40,24,15,3,0,0,154,3,27,67,54,57,29,6,0,0,243,13,67,140,93,84,53,14,0,0,464,3,18,13,0,3,5,3,0,0,45,4,22,17,12,16,6,0,0,0,77
POA6103,75,290,828,551,389,273,52,6,0,2464,0,3,0,0,4,0,0,0,0,7,0,8,46,20,9,6,0,0,0,89,3,6,24,25,25,6,0,0,0,89,0,0,9,3,0,0,0,0,0,12,3,9,19,10,11,4,0,0,0,56,3,5,24,8,5,11,3,0,0,59,21,40,47,27,27,7,4,0,0,173,19,47,61,30,25,12,0,0,0,194,0,11,29,13,13,7,0,0,0,73,0,3,11,3,4,3,0,0,0,24,0,11,31,9,9,3,0,0,0,63,0,3,7,4,3,6,0,0,0,23,3,14,69,49,19,9,0,0,0,163,0,18,24,12,24,12,0,0,0,90,0,12,34,42,32,13,7,0,0,140,4,13,44,41,36,31,5,0,0,174,5,31,97,60,62,39,6,0,0,300,3,15,16,7,10,3,0,0,0,54,3,7,18,15,7,4,5,0,0,59
POA6104,156,381,1011,846,664,458,114,10,0,3640,0,0,0,0,4,0,3,0,0,7,0,8,53,32,13,7,0,0,0,113,3,11,21,45,26,14,3,0,0,123,0,3,8,6,3,7,0,0,0,27,4,8,34,25,11,11,0,0,0,93,3,14,32,23,24,14,3,0,0,113,54,59,82,47,54,43,9,3,0,351,55,39,56,51,26,30,3,0,0,260,3,17,30,29,34,23,0,0,0,136,8,6,14,5,3,6,0,0,0,42,3,10,44,35,15,8,0,0,0,115,0,13,10,14,14,11,0,0,0,62,3,28,73,45,36,15,3,0,0,203,3,13,29,44,36,18,3,0,0,146,3,24,56,51,48,30,0,0,0,212,0,10,57,58,91,32,4,0,0,252,11,41,112,82,102,96,9,3,0,456,5,14,33,27,11,14,3,0,0,107,5,21,31,16,20,18,0,3,0,114
POA6105,166,380,947,839,713,412,99,6,0,3562,0,0,0,4,3,3,0,0,0,10,3,10,51,12,10,3,0,0,0,89,5,10,30,32,35,12,3,0,0,127,0,3,5,9,0,3,0,0,0,20,0,14,26,21,12,8,3,0,0,84,6,7,27,22,26,15,3,0,0,106,68,58,62,61,59,33,9,0,0,350,24,51,63,33,41,26,4,0,0,242,4,12,26,29,26,23,4,0,0,124,3,4,5,5,5,6,0,0,0,28,0,21,47,25,17,10,0,0,0,120,0,9,12,15,14,9,0,0,0,59,4,18,55,39,21,16,5,0,0,158,0,14,28,30,27,19,0,0,0,118,0,11,51,47,47,35,6,0,0,197,3,9,47,76,79,41,8,0,0,263,14,43,107,97,90,79,11,3,0,444,13,10,18,14,8,8,0,0,0,71,14,10,36,26,21,9,0,0,0,116
POA6106,0,0,0,3,6,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6107,460,1308,3119,2182,1620,1168,263,17,6,10143,0,4,6,9,9,7,0,0,3,38,4,23,98,35,19,10,0,0,0,189,17,47,113,78,81,57,8,0,0,401,3,5,12,12,12,4,0,0,0,48,3,20,82,50,46,23,7,0,0,231,12,29,75,59,37,28,4,0,0,244,173,210,235,181,133,86,11,3,0,1032,113,157,137,79,73,51,0,0,0,610,6,28,70,51,63,42,9,0,0,269,3,12,28,6,17,8,4,0,0,78,4,34,114,78,42,28,0,0,0,300,6,18,28,25,21,12,0,0,0,110,13,63,214,109,72,56,14,0,0,541,13,64,99,71,62,44,8,0,0,361,10,38,159,123,142,76,10,0,0,558,22,53,208,176,181,115,28,3,0,786,35,136,390,287,289,217,32,3,0,1389,11,25,46,21,27,14,3,0,0,147,20,49,97,67,67,32,8,0,0,340
POA6108,400,653,1349,1323,1269,1092,198,15,0,6299,0,0,4,4,3,5,0,0,0,16,0,12,30,19,23,10,0,0,0,94,14,23,66,80,70,59,3,0,0,315,0,0,10,10,16,0,0,0,0,36,3,20,37,30,29,27,3,0,0,149,8,15,42,63,68,28,0,0,0,224,178,112,148,126,157,104,4,0,0,829,94,59,43,52,65,26,4,0,0,343,11,14,33,40,45,21,3,0,0,167,4,7,13,14,6,6,0,0,0,50,6,22,49,36,41,19,4,0,0,177,10,14,22,18,24,22,3,0,0,113,7,35,87,68,42,33,6,3,0,281,7,26,42,37,41,34,3,0,0,190,6,26,57,73,110,70,5,0,0,347,5,35,86,141,167,107,9,0,0,550,23,84,152,175,235,213,29,3,0,914,9,12,17,10,9,11,5,0,0,73,21,40,37,52,40,25,3,0,0,218
POA6109,148,268,701,560,495,404,97,8,0,2681,3,0,0,3,4,0,0,0,0,10,0,0,16,7,8,5,3,0,0,39,6,9,27,20,34,22,0,0,0,118,0,0,5,3,0,3,3,0,0,14,0,3,15,15,18,5,0,0,0,56,4,10,27,20,21,11,0,0,0,93,38,44,62,54,51,31,3,0,0,283,27,31,33,24,22,15,3,0,0,155,6,7,14,16,16,16,4,0,0,79,0,0,13,3,0,0,0,0,0,16,4,6,12,13,8,0,4,0,0,47,0,5,10,7,4,5,0,0,0,31,5,7,27,23,22,8,0,0,0,92,0,4,16,11,24,15,0,0,0,70,4,6,32,26,27,10,3,0,0,108,3,9,33,45,47,39,3,0,0,179,11,45,80,59,88,86,16,0,0,385,0,10,7,8,0,5,0,0,0,30,10,10,25,14,23,9,4,0,0,95
POA6110,558,891,2243,2068,1760,1255,261,17,0,9053,3,4,7,13,3,3,0,3,0,36,3,19,53,35,25,10,3,0,0,148,25,33,91,105,109,66,3,0,0,432,3,0,21,14,14,4,0,0,0,56,12,16,63,75,48,40,9,0,0,263,10,32,64,86,81,37,6,0,0,316,199,169,241,247,204,96,15,0,0,1171,124,81,79,84,73,45,0,0,0,486,6,32,63,68,62,43,3,0,0,277,5,11,21,18,4,5,0,0,0,64,8,33,83,75,34,20,6,0,0,259,12,15,47,27,34,11,4,3,0,153,15,61,136,76,60,32,6,0,0,386,9,21,69,64,64,35,3,0,0,265,11,40,92,110,129,86,5,0,0,473,7,47,153,197,209,135,10,0,0,758,39,136,297,265,341,238,34,0,0,1350,13,12,28,20,13,10,0,3,0,99,27,49,81,59,45,43,10,0,0,314
